src_word	trg_word	src_ctx
approach	contacter	If a running Action is of interest to a Canadian researcher, they should approach the Chair of the Action's Management Committee and the appropriate Scientific Officer at the Commission's Secretariat.
approach	faire des démarches	"In that regard, the Board urged Parks Canada to approach the owning department, other government agencies such as the National Museums, and the private sector and explore with them the feasibility of developing the ""Diefenbunker"", through co-management or otherwise, as an operational national historic site."
approach	passage	Stuck between childhood and adolescence, this age group doesn't appreciate a heavy-handed approach.
approach	s'approcher	Mariners are also cautioned not to approach close to, or pass close in front of, a seaplane that is stopped in the water because the pilot may be preoccupied in trying to start his engine(s) which could cause the aircraft to surge ahead.  4.
appropriate	approprié	Furthermore, it would be appropriate to make reference to the process begun at the recent meeting called by President Clinton, attended by the political leaders of the various persuasions, including pro-independence.
appropriate	consacrer	The additional military planners, police, political officers and logistics and finance experts recruited in 2002-2003, after a comprehensive assessment by external management consultants of appropriate staffing levels, have been important in managing the latest surge of new missions, although this task has deflected such staff from the training, planning and policy-development tasks they were initially envisaged to undertake.
appropriate	convenable	In the case of lawful evictions, Roma must be provided with appropriate alternative accommodation if needed, except in cases of force majeure.
appropriate	convient	When appropriate, also use explanatory text to clarify the nature of the federal contribution to the work of such bodies. Contact Communications and Marketing Branch for additional guidance.
arm	bras	There they had to wear a dark triangle and a Z was tattooed to their arm.
arm	manche	A single miniature cloth, metallic, embroidered badge, sewn on the left breast, 10 cm (4 in.) down from the shoulder seam to the top edge of the badge, and centred between the edge of the lapel and the arm seam;  g.
arrest	appréhender	Under the Maritime Security Act 2003, the Defence Forces have powers of detention, search and arrest at the request of the Irish police authorities of persons engaged in any activity which may, inter alia, put shipping or offshore platforms at risk.
arrest	arrêt	A Spanish court, more concerned over the fate of its fellow citizens than many European bodies, has put out an international warrant for the arrest of the suspect, General Pinochet, and this warrant has been relayed by Interpol, which does not take these warrants lightly.
associate	associer	• 2.0 How to associate labels with form controls
associate	associé	The Committee of Ministers, Recalling its decision, expressed at its 8th Session in May 1951, to consult the Parliamentary Assembly before inviting a State to become a member or associate member of the Council of Europe in conformity with the provisions of the Statute; Considering that the Government of Romania, in its letter of 16 December 1991 addressed to the Secretary General of the Council of Europe, expressed the wish to be invited to become a Member of the Council of Europe and declared its readiness to respect the principles stated in Article 3 of the Statute; Having noted with satisfaction the interest shown by Romania in acceding to the Organisation, Invites the Parliamentary Assembly to express its opinion on the matter.
associate	uni	Ruth also holds a Research Associate position at the Centre for Child-Focused Research, Brunel University, UK.
attack	attaquer	The Socialists - apparently not only the Hungarian, but also the European Socialists - have not been able to swallow the decision of the Hungarian citizens, so they take every opportunity to attack the Hungarian Government.
attempt	attentat	Attempt on the life of a State official or a public figure (article 294): no cases;
attempt	essayer	Political thugs linked to the president resorted to strong-arm tactics in an attempt to remove one of the governors, angry that he had not given them lucrative public contracts.
attempt	tenter	KFN and Yukon Attempt to harmonize the terms and conditions of their proposed Project Agreements.
award	accorder	As the remaining transport costs were incurred after 2 March 1991, the Panel recommends no award of compensation in respect thereof.
award	prix	Why choose a granite or marble award?
award	récompense	Thanks to its classical elegance, its highest quality services, the hotel is a member of the Leading Hotels of the World and honoured with the International Five Star Diamond Award.
award	sentence arbitrale	It follows that it will be a prerequisite to establish that that is in fact the case, namely that, for some reason, the claim resulting in the award, judgment or settlement did not raise or resolve the subject matter of the claim being put before the Commission.
balance	balance	Canada - Venezuela Bilateral Trade (2005) Venezuela Total Trade $41.2 billion Exports $14.7 billion Imports $26.5 billion Trade balance ($11.8 billion) Canada-Venezuela Trade $2.5 billion Exports $686 million Imports $1.8 billion Trade balance ($1.1 billion) Canada-Venezuela Ag Trade $175.4 million Exports $174.7 million Imports $782,000 Trade balance $173.9 million
balance	compenser	Another innovation is to balance individual incentives with group incentives: under a fee-forservice payment regime, the unit value decreases as the collective volume increases.
balance	solde	It is understood that the loan balance was $3.2 million in October 2003 when the National Transitional Government took over, but had come down to $0.65 million by September 2004.
balance	équilibre	Reasons for this can be the lack of development of services facilitating the balance between private life and work activities, as well as the tough competitive environment in which networks matter very much.
balance	équilibrer	To balance the flow through the NO2 - NO converter C and the by-pass.
band	bande	The altered oligosaccharide structure did not affect the sensitivity of band 3 to proteolytic digestion in intact red cells but a greater amount of HEMPAS band 3 was associated with the cytoskeleton.
band	fanfare	My congratulations to the members of the band and the choir on your great performances.
band	groupe	When Vince Clarke departed the band in 1981 after their debut album Speak & Spell, Gore became the main songwriter of Depeche Mode .
band	orchestre	After dinner you will start the cruise to discover the most beautiful monuments of Paris that you will see throughout the large windows while listening to the jazz band or from the upper deck. A warm atmosphere for this original cruise.
band	troupe	Increasingly, the local band is being 'forced' into urban environments around Radium that mimic their natural winter habitat lawns, highway verges, and golf courses.
bank	grève	Health care and education in the West Bank are badly affected by a strike that continued for several months - a strike against the non-payment of salaries by the Palestinian Authority (PA) since March, but also a protest against the international community for withholding funding from the PA.
bank	rang	However, with the Bank’s new strategic orientation in 2005, health has been de facto categorised as a secondary priority, which was reflected in the 2007-2009 Corporate Operations Plan (COP).
bank	relever	This assistance, however, should not be used to secure bank profits. It should go to the countries and the people affected, and should be used, transparently, to help those branches of the economy that are in difficulties to get back on their feet again.
bar	bar	The survey found that most smokers were not willing to travel more than 30 minutes to smoke in a bar.
bar	barre	Financial Consumer Agency of Canada www.fcac.gc.ca Skip to content | Skip to institutional links Common menu bar links
bar	barrette	In August 1944 a bar was created to be awarded for additional periods of 18 years of service.
base	appui	• You entered into a written agreement before 1979 to acquire the building, and footings or other base supports of the building were started before 1979.
base	bas	Proportional losses in stem radius and cross-sectional area remained approximately constant or declined slightly from tree top to base; losses differed at all stem levels among the infestations.
base	base	These amounts are not subject to tax in the hands of the unitholders, but reduce the adjusted cost base of the units for purposes of determining capital gains or losses on disposition.
base	baser	The Council's decision to increase the abatement rate to a relatively high level and to base it on current rate of vacant posts could potentially create some unnecessary problems especially in the event that successful candidates would not be employed due to lack of appropriation.
base	fonder	In order to successfully carry out our mandate, we must base decisions on a thorough understanding of these factors.
base	point de départ	The foregoing is not a complete listing of all of the issues facing women in sport but it does provide a starting point from which to base the federal government's policy.
basic	de base	As to the signatory, the Model Law elaborates on the basic principle that the signatory should apply reasonable care with respect to its electronic signature creation data.
basic	de première nécessité	Population growth, structure and distribution are important aspects of environmental stress insofar as everyone requires the basic necessities of water, food, clothing, shelter and energy, which directly or indirectly affect the ecosystems (World Resources Institute, United Nations Environment Programme, United Nations Development Programme and World Bank, 2000).
basic	essentiel	The handbook answers basic questions and provides practical examples to explain sentence calculation rules, including parole eligibility dates that apply to offenders serving penitentiary sentences (two years or more).
basic	fondamental	 While Large clarified the law as it relates to the subjective element and  with respect to the role of reasonable alternatives, it does not alter the  basic test for BFOR's established in Etobicoke. We are satisfied, on all of the evidence, that the Respondent has  satisfied the subjective aspect of the two-pronged Etobicoke test.
basic	principal	We would expect more substantial steps in this direction but, of course, the basic problem is the lack of a legal basis in the Treaty.
battle	combat	On 1 April, FANT engaged rebels affiliated with the Alliance Nationale in a four-hour battle near Adé, located at the border with the Sudan some 160 kilometres south-east of Abéché.
battle	guerre	British Invasion - Battle for a Continent - Fortress Louisbourg Select
bay	anse	Three females were tracked in 2 consecutive years, and two of them nested at the same bay in both years (The third was not gravid in the second year) (Edmonds and Brooks unpubl. data).
bay	golfe	On 23 February the Council also adopted a regulation establishing a multiannual plan for the sustainable exploitation of the stock of sole in the Bay of Biscay ( 15 ), followed, on 1 June, by a regulation concerning blue whiting and herring ( 16 ).
bay	laurier	Typically made from pork or chicken or a combination of both, it is slowly cooked in soy sauce, vinegar, crushed garlic, bay leaf, and black peppercorns, and often browned in the oven or pan-fried afterwards to get the desirable crisped edges.
beat	battre	Students should understand that this is historical fiction and they need to respect the historical realities of the time period, e.g.; they can't write about Jimmy hopping on a jet ski to beat the brigade to Fort Langley!
beat	ronde	Print Version Media Room - Canadians Making a Difference in the World - Canadian police experts ‘walk the beat’ in Afghanistan Canadian police experts ‘walk the beat’ in Afghanistan
beat	secteur	The new direction will provide such an approach, helping our farmers in rural communities and other members of the sector meet and beat the competition today and giving them the edge to continue to thrive in the future.
bed	base	In this regard, we will take such actions as the distribution of malaria bed nets, including free distribution, where appropriate, and effective anti-malarial treatments, the expansion of local school meal programmes, using home-grown foods where possible, and the elimination of user fees for primary education and, where appropriate, health-care services.
bed	lit	This en-suite room is equipped with 1 double bed and 1 single bed and all standard amenities.
bed	plateau	The small double room did not have an actual double bed, hard for 2 people to sleep in. Staff unfriendly.
before	auparavant	With special 14- and 16-gauge paper-wrapped wire, a couple metres of yellow and red polyester and some help from his five-year-old daughter Faith, Olsen had answered a question no one had ever really asked before: What would the world’s first Christmas-light illuminated, fuzzy Cormorant replica look like?
before	avant	It appears that the transitional measure in question consists of extending the time limit for approval until the end of January 2004, which in truth does not solve the problem, because both Commissioner Schreyer and Commissioner Reding have said very explicitly that, if the legal bases have not been approved before the end of January, the appropriations will not be able to be executed.
before	devant	Furthermore, the representative subsequently provided a power of attorney signed by Abbassi Madani, expressly and unequivocally authorizing him to represent him before the Committee in the case in question.
before	sur	As before, central public authorities that are responsible for environmental monitoring and information in EECCA and other UNECE countries will be the main target audience.
below	au-dessous	If to desire in following them, the profile is more below.
below	en bas	"Tip: Due to huge list of ""...litte dogs..."" related keyword pages listed on this page, use the ""Find in Page"" function below."
below	en dessous	Click the arrow below the Now Playing tab, point to Visualizations, and then click Album Art.
below	plus bas	• Utah's median age in 2004 was 26.7 years, well below the national figure of 35.2 years.
belt	région	The rocks on the property are Archean in age and belong to the Harricana-Turgeon Belt of the Abitibi Subprovince in the Superior Province.
belt	zone	Why should Inuit in the Northwest Territories be concerned about the Russian heartland or the Mexican coffee belt?
benefit	acquitter	Depending upon the success rate of examinees, Canadian shipowners will benefit in that they will be able to waive the customary pilotage charges in these specific waters.
benefit	avantage	For those claims processed by the Commission in 2004–2005, and based on information provided by claimants, the collective economic benefit resulting from the protection of claimed trade secret information was estimated to be in the order of $400 million.
benefit	gagner	(e) The Pension Fund may benefit from considering new asset classes;
benefit	gain	Concurrent federal and provincial tax audits would benefit both parties through partnership efficiencies.
benefit	intérêt	The Delegation further held that the final objective should be the enrichment of traditional knowledge for the benefit of all humanity. and that developing countries should benefit from the exploitation of traditional knowledge when putting their traditional knowledge in the public domain.
benefit	prestation	Among those eligible for the benefit are families with no wage earner, and families whose wage-earners work for low wages.
benefit	profiter	Issues that would be considered include: cost for visitors to the park, cost and revenues to Parks Canada, and effect on local, regional and national economies and market conditions. used to determine the extent to which the proposed change imposes risks or dangers to participants or others. seeks to ensure that all citizens have a fair, reasonable, and equitable opportunity to participate in, and benefit from, the range of appropriate activities and experiences available in Mount Revelstoke National Park, Glacier National Park and Rogers Pass National Historic Site.
besides	en plus de	Besides seeing the contents of the queue, you can also freeze or unfreeze messages, or remove messages from the queue, which will then be returned to the sender.
besides	hormis	Besides the central distribution centres around Prague, Bramko supplies wholesale vegetable stores within 800 km on a daily basis.
besides	outre	Besides the actual bombing, the noise of supersonic military aircraft flying over Iraqi cities and villages causes panic and other psychological problems in children.
besides	à part	It gives more reasons besides information for people to come to the Web site.
bid	tentative	In a bid to increase profitability, the concentration of capital is being promoted through capitalist restructurings, public private partnerships, the selling off of the nation's wealth to tourist business groups and the exploitation by private capital of cultural and architectural heritage everywhere.
black	couleur noire	• Adults are black in colour with white areas near the chin, eyelids, flipper insertions, ano-genital area, tail stock and flukes Distribution The Bowhead Whale has a nearly circumpolar distribution in the northern hemisphere and ranges from 54o to 85oN latitude.
black	mauvais	Stedfast Black Diamond incorporates neoprene coatings for absolute protection from foul weather while adding a layer of UV protection against the effects of sunlight.
black	noir	The ventral scutes are most often yellow and strongly checkered with black.
black	noircir	Companies may black-out all confidential financial information.
black	sombre	The band’s sound and imagery is undoubtedly that of black metal; lyrics, concept and ideology are inspired by the ancient Rus lore, which refers Welicoruss to pagan.
blend	alliance	Denmark, Sweden, Norway and Iceland consistently win over experienced globe trotters with their unique blend of cosmopolitan flair and laid-back lifestyle.
blend	incorporer	Add the lemon zest, and blend in the eggs one at a time.
blend	mélange	Most vehicles registered in the EU can technically run on a blend of fuel of up to 15% bioethanol.
blend	mélanger	Weigh 25 g into sterile blender, add 225 mL Lactose broth and blend 2 minutes.
block	bloc	SRSP-510 provides information on channelling plans, out-of-block emission limits, permissible effective isotropic radiated power (EIRP) and antenna heights.
block	bloquer	Looking at the possible consequences, it would make it so much easier for a small minority to block an initiative and hamstring the Union.
block	bâtiment	KAFCO's fuel depot and refuelling facilities include nine storage tanks, a safety and security office, vehicle sun protection canopies, an office block, an inspection bay, a maintenance workshop, a pump house, a store, a drum store, a generator house, two switch rooms, two transformer shelters, a gymnasium and training centre, a guard shack, an operations building, an equipment shelter, a sub-depot office and an open yard.
block	entraver	While we do not underestimate the complex nature of this question, we regret that the Council has not been able to agree on timely and urgent measures to address the situations that continue to block progress towards a comprehensive and durable solution to this issue.
