src_word	trg_word	src_ctx
alone	solamente	The total damage caused by natural disasters to the economy of the Republic during 1999 alone is estimated at US$ 19 million.
alone	sólo	During the month of June 1999 alone, the number of Kosovars who arrived spontaneously in Western Europe to seek asylum (nearly 20,000) almost equalled the total number of asylum-seekers from all other nationalities during the same month.
alone	único	In addition to its stand-alone projects in trade capacity-building, small and medium enterprises development, environment and cleaner production that are part of the One Programme, UNIDO is working with other participating organizations for the development of joint programmes in these areas.
amount	ascender	Possible annual debt service would amount to $36 to 47 million, depending on the repayment period selected and phasing options chosen.
amount	cantidad	This edition, the amount of applications received exceeded the ones from previous editions.
amount	valor	Takes note of the status of contributions to the Force as at 30 April 2006, including the contributions outstanding in the amount of 71 million United States dollars, representing some 2 per cent of the total assessed contributions, notes with concern that only thirty Member States have paid their assessed contributions in full, and urges all other Member States, in particular those in arrears, to ensure payment of their outstanding assessed contributions;
anger	cólera	The post-election violence, which has caused the deaths of more than 600 people and the displacement of more than 250 000, has obviously highlighted the frustration and anger felt by the Kenyan people about the profound problems of socioeconomic inequality and corruption undermining Kenyan society, with the risk of confrontation on ethnic lines.
anger	enfado	If you do not know how to express an emotion, use one of these - be it irritation, surprise, joy or anger.
anger	enojo	Wo unto such, for mine d anger is e kindled against them.
anger	furia	Consumed with legitimate anger, Palestinians and Arabs failed to come up with a serious approach to reach out to Israelis and failed to devise a workable political strategy that would address Palestinian daily needs and national aspirations.
anger	ira	He had joined other teenagers after school to express his anger following the death of one of his schoolmates the previous day.
annex	anexionar	We must also try to clarify the real reasons that led Sharon to dismantle the Gaza settlements, when we know that he was chiefly responsible for devising and implementing the policy of the expansion and consolidation of the Israeli occupation, including the settlements and the wall that seeks to annex further territories on the West Bank.
annex	anexo	I should be grateful if you would have this letter and its annex circulated as a document of the General Assembly under agenda items 106, 107 and 108, and of the Security Council.
answer	contestación	Answer speech by the Académico Numerario Excmo.
answer	realizar	Secondly, Russia will not be at the donors' conference, to give you a clear answer, but I think the time will come when the question of damages might have to be brought to the fore, and an international investigation then held.
answer	réplica	We sincerely thank you for giving us this official answer. I would like to put a supplementary question: what genuine instruments does the Council wish to implement in order to respond more satisfactorily to Chinese economic pressure, which is genuine pressure?
answer	solución	There is no real answer.
any	algún	Should there be any case with significantly questionable chances of success, a decision will have to be taken whether to withdraw the indictment or indictments.
any	cualquier	There were also measures to ensure respect for human dignity and to protect young people, and any publication which failed to comply could be withdrawn from circulation.
any	cualquiera	According to article 57 of the Constitution, any violation of any of the constitutionally guaranteed rights and freedoms of individuals constitutes an offence in respect of which civil or criminal proceedings are not statute-barred and the State guarantees compensation.
any	ninguno	The summary of the debate held during the Workshop is presented under the same topics of the six round tables that composed the agenda of the meeting and does not prejudice or prioritize any of the issues discussed.
appeal	solicitar	(g) To protection of their rights and legitimate interests, including the right to appeal for protection of their rights to the authorities responsible for tutelage and guardianship and, on attaining the age of 16, to the courts;
appropriate	apropiado	34 It should be realized that displacement has occurred in Eritrea during 1998-2008 and the internally displaced children have been reintegrated and rehabilitated in their respective communities through appropriate psychosocial and long-term economic support.
appropriate	conveniente	Considering that in order further to achieve the purposes of the Convention on the Rights of the Child and the implementation of its provisions, especially articles 1, 11, 21, 32, 33, 34, 35 and 36, it would be appropriate to extend the measures that States Parties should undertake in order to guarantee the protection of the child from the sale of children, child prostitution and child pornography,
appropriate	correspondiente	Where the rights of the child as guaranteed under section 3-14 of Act 560 and Chapter 5 of the Constitution, is infringed or violated, the child shall have recourse to the enforcement and realisation of such rights by bringing an application before the Family Tribunal, Circuit Court, High Court or CHRAJ for the appropriate remedy under section 35 & 65 of Act 560 and section 7 (1) (d) Act 456 and Article 218 (d) of the 1992 Constitution.
appropriate	destinar	The National Cultural Radio and Television Network (SINART), an official state network, will be able to devote up to an hour of its programming at an appropriate time each day to broadcasts on the subject of ethnic and cultural minorities.
arrest	arrestar	Yesterday, 24 May 2006, the Israeli occupying forces raided the city of Ramallah to provide reinforcements for an undercover unit of soldiers that had been operating in the city, reportedly to carry out the arrest of alleged militants.
assault	amenaza	Drug trafficking is global threat that constitutes an assault on democracy and its institutions and imperils comprehensive human development.
assault	asalto	Entertaining gossip has mutated into an assault on privacy, with newspapers claiming that any attempt to keep them out of people’s bedrooms is an assault on free speech.
assault	ataque	Mr. Botnaru (Republic of Moldova): The terrorist acts perpetrated in New York, Washington, D.C., and Pennsylvania on 11 September are an assault not only on the United States but also on all of humankind.
associate	asociar	First, I should like to associate the delegation of Mali with the tribute that was paid to Mr. Bernard Kouchner, the Special Representative of the Secretary-General, and to all the teams he has set up.
attempt	atentado	"They are killed between September 8 and 9, 1986, by armed civilians calling themselves the ""September 11 Commando"" who claim to be taking vengeance for a failed attempt the day before on Pinochet’s life by members of the Manuel Rodríguez Patriotic Front (FPMR)."
attempt	esfuerzo	The proposed amendments to the draft resolution were simply an attempt by States that wished to retain the death penalty to have their views reflected in a more balanced text.
attempt	procurar	(b) Whenever possible, an attempt must be made to secure the collaboration of the child and his family in the protection measure;
attempt	tentativa	Any attempt to divide up Chinese territory was doomed to failure even though the autonomy of regions populated by ethnic minorities was a basic principle under the Constitution.
average	avería	(c) (iii) any contribution in general average due to the carrier relating to the goods
average	media	If the provisional sales report is not received from a sales partner by end-of-year closure, gross proceeds are accrued on the basis of that sales partner's average sales-to-delivery ratio for the current year.
average	medio	Again, the realities of life on islands and in other remote regions make this test very difficult to satisfy, as no appropriate comparator may be available and the small size of the market creates problems where the average level of return for a given sector is concerned.
award	galardón	Suriname hopes that this distinguished award will encourage the United Nations to continue its important work for human rights, peace, social justice, human development, human-rights education and economic prosperity for all the peoples of the world.
award	premiar	In recognition of the rights and welfare of women in forest development in the Philippines, a programme to award the most gender-sensitive female project implementer was organized to further encourage and strengthen women to assert their significant role in attaining sustainable forest management.
award	premio	Report of the Executive Director of the United Nations Population Fund on the United Nations Population Award (2007)
award	sentencia	One response stated that the award was to be authenticated by an entity of the State where the award was made, and a diplomatic official of the State where the award was to be enforced should confirm the power of such entity to authenticate the award.
baby	bebé	Publish news about cloning Dolly the sheep, has triggered fears of a possible rapid creation of a human clone baby.
baby	hijo	This particularly becomes very beneficial in the event of the birth of a child when the women of the expectant mother's own family will prepare her mats whilst the husband's sisters and cousins will prepare the mats for the newborn baby.
balance	balance	Cells within the SN produce and release a chemical called dopamine, a neurotransmitter that controls movement and balance and is essential to the proper functioning of the central nervous system (CNS). begin to malfunction and die.
balance	balanza	Trade in ICT-enabled services carried out through the foreign affiliates of multinational companies largely exceeds conventional export and import flows of such services as measured by IMF balance-of-payments statistics.
balance	equilibrio	A model of democracy founded upon multinationality and multi-ethnic structures, which is what the European Union is, can be a winner when it comes to exporting peace to the world, because balance and acceptance are at the heart of the European Union – the balance between large and small and the acceptance of minorities in particular.
balance	sopesar	There is no question of that, but the reason for my question was first of all to reflect the action that you have already taken and that Parliament wants to see taken, but also to get into balance the fact that there are emissions from homes, from waste and all sorts of other areas other than just aircraft and that the Commission, working with Parliament, emphasises that this is a partnership across all of the deleterious effects of CO2 emissions so that we do not just emphasise air flights and then just miss out the emissions of shipping and vehicles.
ball	baile	Highlight: the Austrian Ball in the Palais Liechtenstein.
band	banda	The direction of the band could not be better, listening to an EP of such quality as this.
band	venda	After the conversion the Christ of the vocalista Rodolfo Abrantes in 2001, the Raimundos band finished, however almost all the musicians who were part of the Raimundos had formed the Rodox band.
bank	orilla	On the right bank of the Nistru river democratization of social and political life, efforts for real promotion and protection of human rights and freedoms are taking place, whereas on the left bank of the Nistru the process of establishing a totalitarian regime continues.
bank	ribera	The number of Israel Defense Forces-manned and unmanned physical obstacles in the West Bank has increased by 43 per cent since Israel's disengagement from Gaza, despite the terms of the Agreement on Movement and Access, which are designed to achieve exactly the contrary.
bar	abogacía	In all cantons, women must meet the same criteria as men in order to be called to the bar.
bar	bar	BAR AND BAT MITZVAHS- Invite your family and friends to celebrate your special simcha at this great location.
battle	batalla	We need to gather together all the forces for good in the battle against harmful, addictive substances.
battle	lucha	Real parties do not come into being because the structures of a state have a need for organising a competitive battle during elections, but because there are groups of people who share the same ideas, interests and activities.
battle	luchar contra	Nonetheless, rather than determining the extent to which hurricane Katrina or other weather phenomena were caused by human activity, it is more important that we draw lessons from these weather phenomena, so that we can win the battle against climate change.
beat	derrotar	You then have the opportunity to fold or increase your bet to see if you beat the dealer's hand.
beat	golpear	“in Berlin at these large rallies, somehow the police are always managing to beat people up… fun makes it more difficult for them…You dance around and confuse the police, who can never be quite sure: is this a political action or a cultural action?
beat	ritmo	Their impressive compositions and melodies are supported by a consolidated base rhythm produced by Carlos Zubikoa and Gorka Baskaran who have developed a simple and effective contribution to the band with a contagious beat that is recognizable as nothing other than Sagarroi.
beat	sonido	The tracks blend well together and give a sense of wholeness and polish to the album. The electronic instrumental music with its lively beat gives you strength to make it down your long road.
beat	vencer	Because they swarm and multiply on the canvas, the charlatans of the recovery of domain names tend to serve the stick (which is already) to novices or even some insiders to beat those who were able to detect and believe in the value one of the sources of life on Internet domain name.
bed	alojar	The Bed and Breakfast Keflavik Airport is located at a former U.S. Military Base, in a newly restored building that used to house the soldiers and their families.
bed	cama	The rooms are equipped with a bed, bathroom and furniture.
bed	cauce	Also worthy of mention are the Windmills of Guadaira , located mainly along the bed of the River Guadaíra, although there are less important ones close to springs.
before	anterior	It was noticeable that the Commission initially refused to support some of the amendments which the Council accepted, but in any event the common position now before us is a considerable improvement on what we had before.
before	en presencia de	The traditional Wednesday evening danzón dance shifted from in front of the Catedrál at the zócalo to the plaza at Santo Domingo, where earnest couples danced before an audience seated on folding chairs.
best	mejor	At the very least, a multilateral negotiation would provide an occasion to recognize the existence of the problem, reflect on how best to coordinate investments, and help move development assistance accordingly.
best	más	I would advise Mr Lamberts that the best way to minimise tax evasion is to have simpler taxes and lower tax rates.
best	vencer	Semi finalists today and placing equal 3rd and also posting their best ever results were young Sydney surfer Davey Cathels (Narrabeen) and NZ powerhouse surfer Richard Christie (Gisborne).
bid	declaración	The stronger the commitment of the business leaders who accept the International BID Award, the better the results obtained for shareholders, employees and collaborators of the awarded company.
bid	intento	The EU, USA and ΝΑΤΟ are jointly promoting the application of the NATO 'Middle East' plan in a bid to subjugate countries and peoples.
bid	oferta	The focus on development in the South African bid and the commitment to foster a more inclusive and prosper society, however, do not appear to match reality.
bill	lista	Here is the roster of those Democrats and Independent that voted in favor of 21st Century Slavery in June 7th's roll call of shame: Sen. Barbara Boxer (D-CA), Sen. Bernie Sanders (I-VT), Sen. Jeff Bingaman (D-NM), Senators Jay Rockefeller and Robert Byrd (D-WV), Sen. Mary Landreiu (D-LA), Sen. Max Baucus (D-MT), Sen. Byron Dorgan (D-ND), Sen. Mark Pryor (D-AK), Sen. John Tester (D-MT), and Sen. Jim Webb (D-VA) failed to join with 38 of their Democratic Colleagues in voting for cloture (to bring the bill to a roll call vote) in the last round of the immigration reform bill, on June 7.
block	bloquear	In other words, if Council committees have the right to block the Commission and refer a measure back then Parliament should also have that right.
block	cuadra	"Located within walking distance of the Regency Casino ""and a block from the main square, make it an option worthy of being chosen."
block	grupo	Nerve agents are the most deadly as they block the enzyme cholinesterase, effectively short-circuiting the neuromuscular system and killing the victim almost immediately, and are also of most interest to a group or individual intending to kill large numbers of people.
block	obstaculizar	And to prevent any departure from this line, to block any form of new experiment, they endlessly hold forth about compliance with the UN conventions which are so ill-adapted to present-day society that very few countries are able to apply them.
block	plataforma	The rail has a system of mechanical block of the pulley during the processing phase.
blow	soplar	At the command of the leader players start to blow on a snowflake, trying to dump it from a table from outside the contender.
board	abordar	The Standing Committee should refrain from taking up the study of proposals that were an affront to the values of many Member States, unless and until the Board received a clear request from the General Assembly to do so.
board	cartón	DUPOL produces multilayer barrier products, mainly paper and carton board based, and supplies laminated products for packaging, used in such product areas such as food, industrial, detergents, healthcare and hygiene.
board	comisión	PRONAPLUCAN has a general assembly, a board of directors, an oversight commission and a management team.
board	cuadro	Claramunt extruder, 60 mm 20 D, with broken screw 25 Hp motor, with electrical table board to fix.
board	junta	On 5 May 2009, the Secretary-General submitted to the Security Council a summary of the report by the United Nations Board of Inquiry into incidents affecting the United Nations personnel, premises and operations during the recent conflict in Gaza and southern Israel.
bond	enlace	These two alcohols, unsaturated, differ by the position of the double bond: yuxtacíclico at 20.30 or 20.21 in intracíclico; are accompanied by their acetate and its derivative hydroxylated at 16: arnidiol and faradiol.
bond	garantizar	To guarantee fully the payment amounts claimed on account of irregularities in a TIR operation, IRU has negotiated a surety bond with a pool of international insurance companies.
bottom	fondo	We are opposed to the inclusion of bottom set gill nets because, as everyone is aware, these are static nets. By their very nature, they do not erode the sea bottom.
bottom	fundamental	The bottom line is that no one State alone can deal with the intricate problems facing our world — be it the dysfunction of the collective security system, an interlocking economic, monetary, financial and trade grid, the challenges of globalization, international terrorism, environmental degradation, new diseases, trans-border organized crime, and so on.
bottom	pie	The bottom of steep cape between Sandy and Angular has a spacious nudist beach on which having a rest come from both villages on pleasant tracks among vineyards.
bound	destinado	Any other kind of decision is bound to fail, just as all the other agreements and understandings have failed, from Oslo to Camp David.
bowl	anfiteatro	De Vere Venues Branksome is a listed property situated within 32 acres of beautiful Surrey countryside and woodlands, a mere stones throw from the famous Devils Punch Bowl.
bowl	taza	On the front upper face of the main entrance of the former Government Palace (renovated as a museum) an enormous canvas has been suspended, colored with spray paint, and depicting URO with his pants down sitting on one side of a toilet bowl (Fox is on the other) expelling the whole rottenness that smothers the state of Oaxaca.
bowl	tazón	In a small bowl, mix them together with a little 'salt and pepper.
box	caja	Cardboard carton with metal box and bag containing slides.
box	cajetín	You can also find a hostel using the search box located in the top right corner of the screen.
box	estuche	Hardcover, 6 vols. in a box, 22.3 x 31.2 cm (8.8 x 12.3 in.
box	palco	The visit includes the chapel, the TV room, the Foundation zone and the presidential box.
branch	brazo	In the area of the Advanced Oil Recovery Technology Program (PRAVAP), the technological branch of the E&P area’s Mature Fields Recovery Enhancement Program (RECAGE), the results have been promising, haven’t they?
branch	rama	(b) Culture and education of a general nature or applied to the relevant branch of work;
branch	ramal	Actually the branch road is not in circulation.
branch	sucursal	Plaza Banks Kent Branch is designed to serve the needs of the Latino community and the retail and business banking communities in South King County.
brief	breve	I must add a brief reference to the World Summit on the Information Society, to which our Committee of Ministers addressed a message before last year's Geneva meeting.
brief	instrucciones	The questionnaire included brief instructions.
brief	resumir	So, in brief, I would like to know, firstly, whether the Council shares the philosophy of the letter and, secondly, what would the Council consider a reasonable period of time to elapse before some other measures are taken. Indeed, if Congress does not amend Title IV of the Act and the United States therefore does not keep its part of the bargain, what action would the European Union contemplate?
bright	alegre	Having made my classroom bright with song.
bright	brillante	The apartment has a bright and colorful interior, outfitted with facilities such as satellite TV, a DVD player and air conditioning.
brown	marrón	The major symptom is a red-brown, scaly or crusted patch on the skin which resembles psoriasis or dermatitis.
brown	moreno	The first step in making sake is to polish (mill) the rice, to remove the protein and fatty substances in the outer part of what started out as brown rice.
brown	pardo	COLOUR : Lion yellow, red, reddish brown, also sandy (pale yellow, cream coloured) and all combinations in between, always with a black mask. Black hair tips are permitted; however, black must not determine the dog’s basic colour.Lightening up of the basic colour on the underside of the tail, the mane, the feathering on the front legs and the breeches on the hind legs must not be so pronounced as to interfere with the harmony of the main colour.
build	estructura	The NDC directs the whole armed forces and defence build-up of the State and is accountable to the SPA.
build	fortalecer	The Counter-Terrorism Committee is mandated to include in its dialogue with States their efforts to implement resolution 1624 (2005) and to help build States' capacities in this area.
build	preparar	First, under the pretext of self-defence and ensuring its own security, Israel had begun to build a separation wall beyond the limits of the 1949 demarcation line, the true goal of which was to isolate the Palestinian people and pave the way for the complete undermining of their political and socio-economic unity; the construction of the wall had already led to the separation of a large number of Palestinian families and the confiscation of Palestinian agricultural land.
build	tipo	Diversity must be respected, and the country must be seen as a mosaic of cultures in which only respect for these cultures and collaboration among them will make it possible to build a Peru offering equal opportunities for all without any discrimination in respect of sex, age, ethnic origin or religion or discrimination of any other kind.
build	trazar	I added, and I quote: 'We are a great community within which we shall together build our destiny to better harness history in the interest of all.'
but	excepto	In their eyes, this leaves them with virtually no choice but to hold on to power at all costs.
but	menos	Governments, parliaments, social organizations, churches, the private sector, municipalities and, last but not least, the people themselves have to work together to achieve this goal.
but	pero	Member State governments have sovereignty in this area, but this initiative must be seen as an important step towards the construction of a social Europe.
but	que	But still, the brain drain is a question which we have to address very seriously.
but	salvo	“He is Allaah, beside Whom Laa ilaaha illa Huwa (none has the right to be worshipped but He) the All-Knower of the unseen and the seen.
but	sin	But what is money without the power to protect yourself?
but	sino	The proposed regulation does not therefore mean an additional burden for the Member States, but it simply intends to ensure the continuity of work and extend it to the new member countries of the Union.
but	solamente	Fortress Europe is, unfortunately, nothing but a political fantasy of the Left.
calm	calma	Yet we must face the situation there, which is calm but fragile.
calm	tranquilidad	We also welcome the proposed 7 June parliamentary elections in Lebanon and call on all parties to ensure calm and stability during the electoral period.
capital	capital	The experience of many developing countries that had tried, without success, to strengthen capital accumulation and growth by increasing foreign direct investment, reducing public investment and relaxing government intervention indicated that the prescription of a single and predetermined set of policies for all developing countries was not appropriate.
capital	capitel	The plain shaft and capital with acanthus leaves and scrolls are seated on a squared base, the latter being decorated with a skull on its front part.
capital	mayor	In a field like this, linked to the free movement of capital, we think it would have been more appropriate to identify a larger number of precise common rules.
capital	primero	First of all, we do not believe that there is any benefit at all to be derived from short-term capital controls.
capital	principal	Expresses its regret that security concerns and space requirements were not duly considered at an earlier stage of the capital master plan and that the decision to maintain the Security Council within the main complex of buildings had not been part of the initial planning, thus resulting in delays, significant changes in project design and additional costs;
capture	captar	Beyond these core indicators, Governments, civil society and national youth organizations can also gather data on additional indicators, as necessary, to better capture and monitor the progress of individual countries in youth development.
capture	rendición	Developing indicators that capture the concept of accountability would require measuring inputs, processes and outputs for the realization of the constituent elements of the right to adequate housing.
capture	toma	According to the Hema authorities, the area around Kasenyi and Tchomia, both located by Lake Albert, became subject to insecurity after the capture of Bogoro by Lendu militia at the end of February 2003.
case	asunto	With regard to the duration of their custody, the Government notes that this is a complex case which has necessitated the intervention of the Security Council and the creation of an international investigation commission, whose investigator has just requested a six-month extension, which the Security Council has granted.
case	caso	On the other hand, the requirement that the provider utilize trustworthy systems would have stronger legal consequences, since utilization was an act that could be verified whereas, in the case of a declaration, it would have to be proved that what had been declared was not in conformity with what was being asserted.
case	pleito	We have had the case of Boston Scientific in Denmark, we have had Renault, and now we have Kellogg's: businesses which move around in Europe, all depending on where conditions are most favourable with regard to capital.
cast	elenco	Starring renowned Mexican actor, Alejandro Camacho (Bajo la Misma Piel), and a stellar cast that includes Blanca Guerra (Amarte es mi Pecado), Jorge Poza (Contra Viento y Marea), Martha Julia (Destilando Amor), Adri�n Uribe (La Hora Pico), Alberto Estrella (Pasi�n), and Adamari L�pez (Bajo las Riendas del Amor), among others.
cause	motivo	However, the absence of effective policing in the mining areas remains a cause for concern as it creates a vacuum that could constitute a serious security challenge in these strategically important areas.
caution	advertencia	The words of caution about educational programmes merit repeating: “Forcing a prejudiced person to read or hear exhortations on tolerance may only increase his prejudice.
caution	precaución	It is for that reason that this matter as a whole must be addressed with the highest degree of caution, rigour, impartiality and patience, while the approach must be strictly legal.
caution	prudencia	I would like, however, to sound a word of caution on a number of fronts.
center	centro	Some examples of activities of the Center are organizing conferences on children's rights; organizing for a e.g. a forum was conducted to advocate for the passage of the Juvenile Justice Welfare Act of 2006; conducting children participation projects e.g. drawing contests for children and including their drawings as designs for the 2009 calendar; providing legal assistance to children e.g. writing affidavit of complaints, giving legal advice to inquiries.
center	corazón	"Located on the small, peaceful island of Gomera, these typical Canarian apartments allow you to enjoy a tranquil break in the fresh air by the swimming pool. While staying in ""Hotel Los Telares"" you live in the old center of one of the most populated and richest valleys of the island."
center	nudo	Face to the new scenery of the world trade, the Mediterranean area becomes an important center of exchange.
center	núcleo	Its urban center is developed at the banks of the great Valira River, one of the jewels of this Principality .
chair	cátedra	"18 Dr. Pedro Alvarez (George R. Brown Professor and Chair of Civil and Environmental Engineering, Rice University), Dr. Douglas MacKay (Adjunct Professor Land, Air & Water Resources at University of California at Davis and Consulting Professor in Civil and Environmental Engineering at Stanford University and Dr. Robert Hinchee (Environmental Engineer with over 30 years of experience in petroleum contamination and remediation) had this to say in their April 28, 2006 report (Hereinafter ""Alvarez Report"") to the Superior Court of Nueva Loja: ""The lower barium criterion recommended by Maest et al."
chair	presidencia	In the absence of the President, Mr. Pamir (Turkey), Vice-President, took the Chair.
chair	silla	The Belloch chair was created at the beginning of 2009 by the Lagranja Design studio for Santa & Cole's headquarters in Parc de Belloch, where a chair for everyday use was needed.
challenge	desafío	Mr President, the fight against climate change is a major challenge for Europe, and more efforts in research and innovation will be needed in order to develop a society whose carbon emissions are low and which is resilient to climate change.
challenge	retar	Instead, they use the language of realpolitik and remind us that we are too weak to challenge the West, and that our economy - devastated by war, sanctions and NATO bombing - desperately needs the loans and credits that come under the condition that extraditions to the Hague are made.
champion	defender	Far from defending the human rights of the population of small nations, the United States sought to smear the reputation of the Democratic People's Republic of Korea and to isolate that country, pretending to champion human rights, while they were their main violator.
champion	paladín	And when the Philistines saw their champion was dead, they fled.
chance	casual	It is not by chance that citizens - and not just in my country - are highly sceptical about things such as party memberships.
chance	casualidad	He is prepared to give up the part of Kosovo that cannot be used in exchange for the 40 % or 50 % of the territory which borders on Montenegro. This is land which includes Kosovo's rich mines, which just by chance happens to be where the few Orthodox monasteries are based, and which, also by chance, would allow him to strengthen his control over an increasingly reluctant ally: Montenegro.
chance	chance	It may not be ignored also that the largest problem of the natives of stuttgart is the chance utilization at present.
chance	oportunidad	Chance of agreement seen with Chile’s president-elect...
chance	posibilidad	Only effective controls on persons at the internal frontiers give us a reasonable chance of stamping out this form of crime, and therefore we cannot do without them until these problems have been solved.
chance	suerte	Not everyone got the same chance my family did.
chart	gráfico	The higher unemployment rate among the youth (chart 2) in comparison with other groups of unemployed, under the present economic and social factors and diminished labour demand, is determined by the level of their general education and insufficient professional training.
chart	mapa	- In co-operation with the competent water authorities in Syria, Iraq and Lebanon, ACSAD prepared part of sheet F-6 of the International Hydrological Chart, which covers parts of the above-mentioned States.
chart	tabla	Because of this downward spiral in economic activity, banks are now flush with liquidity, which is supporting a rally in the domestic bond market, as the slump in domestic demand drags down demand for bank credit (see the chart below).
charter	alquiler	If you're coming to Valencia , Spain and want to sail around the magnificent Costa Azahar, then you can charter a yacht and do something exciting and different on your holidays .
charter	cédula	In 1612, when it was known as the Somers Isles in commemoration of Bermuda's British founder father and colonizer, Admiral Sir George Somers, who had landed there in 1609, the Bermudians were in the third charter of the Virginia Company.
