src	trg	src_ctx
We're having trouble finding this eric riley guy.	Estamos teniendo problemas para encontrar a este tipo, eric riley.	Deputy diaz, lieutenant provenza. - [ laughs ] looks like we caught you at work. - yeah, you did, but the second you guys called and said riley broke his parole, i, you know, had my partner cover.
She's a solicitor acting for stevie quirke, [pr] wanted me to go and see him, so i did.	Es una abogada que trabaja para stevie quirke, ella quería que yo fuera a verlo, y así lo hice.	What's stevie got to do with braddick? - he said he saw paul hillman. - you got to be fucking kidding me.
My grandfather, john o'reilly ... member of the nypd in the 1930s.	Mi abuelo, john o'reilly... miembro de la policía de nueva york en 1930.	I still have his billy club. - well, keep it away from your detractors. - jane. - - yeah.
Krishna was playing a ghost to scare us	Krishna jugaba como un fantasma para asustarnos	Ghost..? - and that well-built komal sir was trembling in his boots! - he was down with 104 degrees fever!
And listen, if you're thinking of taking me out they got this new assistant da reilly. he's a real choirboy.  [pr] likes me.	Y escucha, si piensas en ayudarme tienen a este nuevo fiscal suplente, reilly.	He thinks i'm hot shit. - he gets a big envelope the first day i don't show up for work. - mike is right.
When i think about it, you and sutton are perfect for each other.	Cuando pienso en ello, tu y sutton son perfectos el uno para el otro	She wanted my permission. - you got it. - have fun.
I can't know for certain, but... but i suspect much of josh peyton's life ended that day.	No estoy segura, pero... pero sospecho que... mucho de la vida de josh peyton terminó ese día.	I know his marriage did. - he became estranged from his own children. - he has no friends to speak of.
Hey krishna... we still speak [pr] name	"hare krishna... nos hablan de su nombre."	Hey krishna... - hey krishna... we still speak his name - butterfly...
And then you fed us harley, the sacrificial lamb, to throw us off your trail.	Y nos dio a harley, como chivo expiatorio, para sacarnos de su camino.	Harley attacked me. - oh, yeah, and then he managed to run down the fire escape with such incredible speed that two of new york's finest detectives were incapable of seeing him, never mind catching him. - beating yourself up...
What's wrong? i really think we should tell hoffman what detective kerry said in [pr] last message.	Strahm, deberíamos compartir con hoffman el último mensaje de kerry.	She said two officers might be in danger but until we know who we're not causing any panic... - if detective hoffman or anyone else in this precinct is in danger i think they should know it. - that's your call.
The only person i hadn't met in the barclays' family was, erm, jason, [pr] other brother, the brother of, erm, carey.	La única persona que no se había unido con la familia barclays fue jason, su otro hermano, el hermano de carey.	And finally he came to see me. - he didn't look at me like nicholas and he didn't pretend to look at me like nicholas and, er, he said good luck to me and he left. - # i swam upon the devil's lake
Last night, finley gave me this for an easter gift.	Anoche, finley me dio esto como regalo de pascua.	Well, he has always been generous. - well, that's not all he gave me. - he gave me the treatment, the full finley treatment.
Okay, this is gonna sound weird, but i think robbie might be brainwashing wendy with music.	Vale. esto va a sonar estúpido, pero creo que robbie podría estar lavándole el cerebro a wendy con música.	I've seen this before. - her name was carla mckorkle. - carla "hot pants" mckorkle.
Sutton is trying to turn me against you.	Sutton trata de volverme contra ti.	Of course she is. - i just wanted to let you know. - sutton can be a dangerous enemy.
- i didn't sleep with blair, so you can lay off.	- no me acosté con blair, así que puedes dejar de fastidiar.	- forget about blair. - did you find out if your undercover agent is the one texting me? - uh, yeah, he is.
I've got to get the band finalized, and jessie's playing hard to get.	Tengo que tener la banda formada, y jessie se está haciendo rogar.	Look, i know you like the guy, but he's not the only drummer in town. - i'll give him a call. - we'll make it work.
This "blair witch project" is some scary shit.	"el proyecto de la bruja de blair" da mucho miedo.	Oh, no, someone rearrangin' rocks again. - see, this is why black people don't go camping. - why does that bitch gotta keep shining that light up her dripping nose?
And stevie's looking like that last marble's fixing to come again and i said, you know, "sit down, let me show you how we played marbles."	Vi que stevie se preparaba para volver a lanzar una canica y le dije: "siéntate, te enseñaré a jugar a las canicas".	And it got terry, you know, off of him, and.... - terry hated him. - what he did to him to make him hate him, i don't know.
-  [pr] bring campbell to you?	- ¿él te trajo a campbell?	- yeah. - he remembered my opinion at the trial, 2 years ago. - so when campbell was released last month he asked me to donate my services.
I wanna call robbie before we get too busy.	Llamaré a robbie antes que estemos demasiado ocupadas.	Tell him when to come over and get his stuff. - max, wait. - no, don't distract me.
Awesome, because i need you to go through all these surveillance videos of scott lebrock and see if you can find anything that would connect [pr] father to the bombing or to the murder of alisha reilly.	Perfecto, por que necesito que veas todos estos videos de vigilancia de scott lebrock y ver si puedes encontrar algo que conecte su participación con la bomba o con el asesinato de alisha reilly.	Where'd you get these? - the fbi. - they suspect him of a federal crime.
And, sweetie, if blair hated you for being poor before, imagine how much she'd hate you for making [pr] poor, too.	Y, cariño, si blair te odiaba por ser pobre antes, imagina cuanto te odiaría por hacerla pobre.	I have something i think you'd like to see. - and in your bedroom, no less. - has she no decency?
But in all those versions you were always searching for stevie the whole time. correct?	Pero en todas las versiones siempre buscaba a stevie todo el tiempo, ¿correcto?	Correct. - now david jacoby is saying that you came over to his house at 5:00-something and played guitar for about an hour. - you've repeatedly said that you were with mark byers and dana moore at 6:00 p.m., but dana moore and mark byers say you weren't.
Salem will be no poorer for one less nitwit.	Salem no será más pobre por un tonto menos.	No. - we will never truly know what he saw, and what he saw could get us all killed. - i can control isaac.
[pr] was one of the leaders of the town of salem.	Fue uno de los líderes de la ciudad de salem.	Salem, as in the salem witch trials? - his family came to massachusetts during the great puritan migration. - he grew up a spiritual man, a pillar of the community, beloved by all.
So robbie and me lived there. both of us lived there.	Entonces robbie y yo nos mudamos allí los dos.	So we became intimate good friends. - he gave robbie a record player and a lot of foreign records. - robbie was a fanatic in listening to these people... because he was a serious, focused man. even as a youth.
Last fall, thomas finley was arrested by rape and murder of [pr] sister aged 19, samantha finley.	El otoño pasado, thomas finley fue arrestado por la violación y asesinato de su hermana de 19 años, samantha finley.	He also was convicted of murder lauren edgar, a paranormal investigator. - thomas says that the victims were attacked by a demonic entity of unknown origin. - he committed suicide soon after, while in prison.
We were doing a show at a club called arthur in dallas and stevie tiptoed in, of course i was friends with [pr] older brother, jimmie.	Estábamos haciendo un show en un club llamado arthur en dallas y stevie entró de puntillas, por supuesto yo estaba amigos con su hermano mayor, jimmie.	I said, "come on up, man." - and he was already tearing it up. - and he couldn't have been maybe 15.
Jessie won't move off [pr] accusation.	Jessie no cambiará su acusación.	Poor girl's got stockholm syndrome. - tommy's abused her for so long, she's terrified of telling the truth. - maybe, but he didn't assault her.
Miss blair say [pr] busy, but reading grace kelly biography all day is not busy.	La señorita blair dice que está ocupada, pero está leyendo la biografía de grace kelly todo el día no está cupada.	Is denial. - when does louis get back from his trip? - tonight.
Maybe [pr] should try hare krishna.	Debería intentar con el hare krishna.	Good grief. it's a running gag. there was this sailor who was so fat... - how fat was he? - he was so fat that everybody liked him... and there was nothing funny about him at all.
The kids are gibson's power. if he's giving five of them up, it has to be for a bigger reason than just killing finley.	Los chicos son el poder de gibson, si está cediendo cinco de ellos, tiene que ser por una razón mayor que solo matar a finley.	Well, i'd like to know what that reason is before we send him in there. - i'd like to know what that reason is so we don't get played. - why?
Blair had a cut on [pr] hand.	Blair tenía un corte en su mano.	She was cut here. - but it wasn't from a pottery shard. - we found particulates of iron.
I mean, am i ready to be there for kris?	¿estoy preparada para estar con kris?	And be the girl he deserves? - wait. what are you saying? - i'm saying kris deserves somebody who's real.
And [pr] dunks it over riley. aah!	Lattin la clava superando a riley.	- he was making a statement with that. - - and adolph rupp looks disgusted. - now kentucky on offense for the first time.
And ken strout has a bat in [pr] hands in the dugout... and might very well get the call to bat for jaime ruiz.	Ken strout tiene un bate en las manos y puede que le pidan que sustituya a jaime ruiz.	And, you know, steve, you get the feeling that billy chapel... isn't pitching against left-handers. he isn't pitching against pinch hitters. he isn't pitching against the yankees. - he's pitching against time. - he's pitching against the future, against age... and, even when you think about his career, against ending.
Blair, at the party, i ran into the guy that i dated when i was living in london, and we spent the whole night together... just talking.	Blair, en la fiesta, me encontré con el tipo con el que salía cuando vivía en londres, y pasamos toda la noche juntos... sólo hablando.	And he is heading off to bali to a yoga retreat, and i... decided i want to go with him. - you're leaving the magazine for "eat pray love"? - i guess you can't have it all.
Joe riley's here with [pr] lawyer.	Joe riley está aquí con su abogado.	I put him in the conference room with the insurance rep, a lawyer from the school. - - got it. - thanks.
Please, mr. emery, you must realize [pr] is not just a woman, some woman, she's woman with capital "w."	Por favor, sr. emery, debe saber que no es sólo una mujer, una mujer corriente, es una mujer con mayúsculas.	How could any man feel that he possessed her completely? - is such a thing possible? - you mean she was playing around?
I was really close to kris while i was living here because...	Todo va a estar bien. estaba cerca de kris cuando vivíamos aquí, ¿por qué...	Well, me and him were the only thing we knew. - my brother and i, we slept in the same bed. - and we were really close to each other.
[ crying ] shayla: that's stevie crying 'cause mom told [pr] he couldn't' go to waldorf now	Ese es stevie llorando porque mamá le dijo que ahora no podrá ir a waldorf...	Because the deposit money your creepy lawyer promised never showed up. - and since that's the school all his friends are going to, he won't be able to play with them. - i'm sure he'll get over it.
Second of all, you ever let pete campbell go through my trash again, and you won't be able to find a job selling sandwiches in penn station.	Segundo, si vuelves a dejar que pete campbell revise mi basura no podrás trabajar ni vendiendo emparedados en la estación.	He said he left his fountain pen in here. - i didn't know. - i hope you don't think i'm that kind of girl.
Yet when i examined mr. riley's heart, it revealed a very different story.	Pero el corazón del señor riley reveló una historia bien distinta.	Our petty officer was killed with a flat blade. - death would have been instantaneous. - yes, he was dead.
Jessie called me on [pr] way to work.	Jessie me llamó de camino al trabajo.	She said that... - elissa was driving her crazy and that she wished she'd never been born. - i'm sorry, jess.
Stevie keeps waking [pr] up in the middle of the night, that pooper.	Stevie sigue despertándola por las noches, ese cagoncete.	He cries all the time for no reason. - mm. babies do that. - hey! you want to play checkers tonight?
So [pr] could buy us out cheap, turn around and sell it to robert campbell for 10 times as much.	Para que nos lo pudiese comprar barato, y darle la vuelta al venderlo a robert campbell 10 veces más caro.	Sandy, he wouldn't do that. - honey, when are you gonna realize there is nothing your dad wouldn't do? - - well, what are you gonna do?
Hey krishna... we still speak [pr] name	"hare krishna... nos hablan de su nombre."	The blue-skinned boy who tended his flock... - he has many names, he plays divine music and he has been worshipped down the ages - such are the old legends that have passed into folk tales
Shakira paired me kris, [pr] is amazing.	Shakira me puso con kris, él es asombroso.	Never had vocal lessons in my life period. - have to hope he doesn't just blow me away. - the song that is outside of my normal element, but it's just enough in my range to where it's not too low but it gives me a lot of room to play around.
[pr] was here in harley street then.	Estaba aquí en la calle harley.	He never set foot in egypt. - he doesn't like the food. - madame craddock did she need inoculations to travel?
Yes. an unidentified woman in [pr] 50s was found in a shallow grave just outside of salem.	Encontraron una mujer de 50 y algo sin identificar en una tumba poco profunda a las afueras de salem.	Was she strangled? - that's the mystery. - there was no foul play.
Sutton said [pr] was close to finding your real mother.	Sutton dijo que estaba cerca de encontrar a vuestra madre de real.	She also said that she was going to meet me at the cabin last night. - but while we were there, somebody broke in here. - that laptop-- my one key to sutton-- gone.
Ladies and gentlemen, my favorite maestro, ricardo romero... has very kindly requested that ms. carrol and i dance to [pr] newest composition... the lovely waltz in swing time.	Damas y caballeros, mi maestro preferido, ricardo romero... es solicitado para que la srta. carrol y yo bailemos su nueva composición... el maravilloso waltz in swing time.	- wait a minute. - i didn't say... - - look, he wants to be coaxed.
The morning of my 25th birthday, i look out my dorm window, and there parked outside is a vintage harley registered in my name.	La mañana de mi cumpleaños nro. 25 miro por la ventana del dormitorio y había estacionada una harley davidson registrada a mi nombre.	I have no idea how he pulled that off. - come on. - i'm serious. that boy lied, cheated and stole his way through oxford.
No, but something about that day, the -- the costume, the exposed skin, allowed robbie to easily escape.	No, pero hay algo de ese día, el... el disfraz, la piel al aire libre, permitió a robbie escapar con facilidad.	I'd like to re-enact that moment. - your honor, officer cowell makes no representation that she can repeat the move now. - i'll leave it up to you, officer.
Precisely. lf colonel campbell accepts our terms and [pr] would be exceedingly unwise not to it would be very simple.	Precisamente. si el coronel campbell acepta nuestras condiciones si claro sería un poco inteligente de su parte seria muy sencillo.	We should think it over again, sir. - we're making a grave mistake accepting the khan's terms. - -lt puts us entirely at his mercy.
- hmm. the day i left for fort riley, [pr] took me aside.	El día que me fui a fort riley me llevó a un lado.	Said i shouldn't wait as long as he did to start a family. - well, the stone's paid for. - no changing it now.
Hey, mac, hank's younger brother, riley, just showed up. no, [pr] came alone.	Oye, mac, el hermano menor de hank, riley, acaba de aparecer.	He says his mother wrote hank off years ago. - seems like riley might be all he has left. - we should definitely get something out of this.
Lennie, ya big dope, will you stay out of the binoculars?	Qué idiota eres, lennie. deja los binoculares, ¿sí?	I saw it; i swear it! - he's about seven foot tall, and his head is bolted to his neck, and he's wearing a nightshirt. - i saw it. come on.
When exactly did you first learn that mr. braga was your husband, arthur campbell's son?	¿cuándo exactamente supo por primera vez... que el sr. braga era el hijo de su marido arhur campbell?	June 9th in arthur's hotel suite. - that's when he told me he had a son named teo. - according to a mission report dated june the 12th, a cia black ops team raided the a.l.c. stronghold where mr. braga was located.
-  [pr] won't be seeing riley anymore.	- no verá más a riley.	- is that so? - john's not stupid. - i don't like the way he responds to you.
A man is in police custody today charged with the murder of lauren parris,	Un hombre está bajo custodia policial acusado del asesinato de lauren parris.	The arrest of gareth cawood follows one of the biggest murder investigations ever mounted in england, - lauren's body was found in a canal last month after she went missing in hackney, - cawood will appear before thames magistrates tomorrow morning,
I thought if [pr] got caught for roofie-ing milan that--	Que si él se hacía arrestar por haber drogado a milan...	I just-- - i didn't know she would react that way. - i didn't know she would fall.
And suddenly, there [pr] was wearing armani on sunday.	Y, de repente, lo vi vestido de armani en un domingo...	Mr. big. - i admit it was kind of a shock. - up until that moment, i thought he only believed in the yankees.
[pr] owned four harley dealerships in florida before the divorce.	Era dueño de cuatro concesionarias harley en la florida antes del divorcio.	That the guy who threatened to kill your divorce attorney? - thanks to allan slater, he lost his business, his home, his family, ended up bankrupt and in rehab, all thanks to our dead divorce attorney. mm. - he also has a history of violence.
Blair, i know this is hard to hear, but maybe today is not about you.	Blair, sé que esto es duro de oír, pero quizás hoy no se trate de ti.	Chuck has 24 hours to create something from scratch. - his liquor license hasn't even cleared yet. - hi. no, i already faxed the permit to control the sidewalk in front of gimlet.
I assume you've heard about kerry sheehan's death.	Supongo que ha oído acerca de la muerte de kerry sheehan.	Yes. that's tragic. - do you think that she killed alex? - is there somewhere we can talk in private?
Right, and so for augie, blair, what you have to understand is that it's very difficult for [pr] to come in to a relationship with a person who has so far surpassed him.	Cierto, y también para augie, blair, lo que tienes que entender es que es muy difícil para él involucrarse en una relación con una persona que hasta ahora lo ha superado.	- right. - - right, already. - and he's working his way up to that.
Major general khanna... a retired army officer and one of the richest men in this town who believes... that till [pr] does not see the dead body of [pr] son, [pr] is not dead... [pr] insists that kiran dutifully fulfills all the traditions of a married girl.	Un oficial retirado y uno de los hombres más ricos de esta ciudad que cree que hasta que no vea el cadáver de su hijo, él no está muerto. insiste en que kiran cumpla debidamente todas las tradiciones de una mujer casada.	Kiran's sister-in-law, nandini, is her only friend. - she is the wife of major khanna's elder son... who is a computer engineer in the military and is away most of the time. - nandini loves kiran like a sister and wants to see her happy.
Sorry to bother you, ma'am. is robbie in?	Siento molestarla, señora. ¿está robbie?	What did he do this time? - we're not sure. - i just need to ask him some questions.
Well, i came into the room, and [pr] was moving robbie's bed.	Entré a su cuarto y estaba moviendo... la cama de robbie.	Have you guys known each other for a long time or whatever? - yeah, actually, i've known her since grade school. - you go to st. anthony's?
It's that review that blair wrote on our last picture. have you seen it?	Se trata de la crítica de blair a nuestra última película. ¿la has leído?	Those are written about everybody. - you shouldn't pay attention. - well, i don't, but this guy's gone out of his way to be nasty.
Janine riley died from lymphoma four weeks after [pr] qualified.	Janine riley murió de linfoma cuatro semanas luego de aprobar.	She was a nice girl. - she wouldn't have minded. - when i was a kid... ..i had this quite glamorous great-aunt.
Like i said, me and robbie, it works.	Como dije, lo de robbie y yo funciona.	This woman you saw with mark - had you ever seen her before? - no, never. - i think she was foreign or something.
And then one day, riley locks herself in a motel room and blows [pr] brains out.	Y un día, riley se encierra en el cuarto de un motel y se vuela los sesos.	Oh, my god. - i found out later her stepfather was blackmailing her, the same prick who had abused her since she was 10. - what else is new?
Um, i... mm-hmm. here we have, uh, jake reilly's office.	Yo... aquí tenemos, la oficina de jake reilly.	- ivf specialist. - - he is also dating your ex, right? - he is board certified in obstetrics and general surgery, which is very rare.
Are you saying we should protect annie but not riley?	¿está diciendo que deberíamos proteger a annie por no a riley?	I'm just saying you might not want to put yourself and her at risk for a man like that. - he's a killer, mr. reese. - so was i, finch.
Remy is displaying an unusual combination of sleep symptoms, but i'm more concerned about what the stress is doing to [pr] physically.	Remy tiene una combinación inusual de síntomas del sueño, pero creo que es más el estrés lo que hace que actúe así.	I know that remy hasn't slept more than a few hours in the past week. - mom wasn't supposed to tell you that. - - i'm glad she did.
Catelyn will release tyrion and you'll make your peace with jaime.	Catelyn liberará a tyrion y tú harás las paces con jaime.	He butchered my men-- - lord stark was returning drunk from a brothel when his men attacked jaime. - - quiet, woman.
I have to think that gen. milan astray could lay the groundwork for a psychology of the masses.	Sufro al pensar que el gral. milan astray podría sentar las bases de una psicología de "masa".	But an invalid who does not have the spiritual greatness of a cervantes seeks relief in the mutilations that he can inflict around him. - you win because you have more brute force than necessary, but you do not convince. - because, to convince, you should persuade.
Listen, will you set up a meeting with judge reilly?	Escucha, ¿organizarías una reunión con el juez reilly?	Sure, what for? - i don't believe patty for a second. - we have to talk to danielle before she does.
Mrs. campbell has informed us that berkeley downs is the same place [pr] was held as a girl by sonny burnett.	La señora campbell nos ha informado que berkeley downs es el mismo sitio donde ella estuvo retenida de niña por sonny burnett.	The place where you escaped from? - yes. - and $100,000 is the same sum that he asked for on his last job, the one he got caught on.
I'm actually headed across town to have a match with sutton.	Estoy yendo al otro lado de la ciudad para tener un partido con sutton.	- seriously? - - mm-hmm. it was her idea. - i'm sure she has some sort of ulterior motive.
Yeah, um, but blair's not gonna like that.	Sí, pero a blair no le va a gustar eso.	Blair? - yeah, it's actually why i called. - your knowledge of premier league football is integral to one of her schemes.
Aw, somebody at the ranch is giving lennie a puppy...	Alguien del rancho le ha dado a lennie un cachorrito...	And he just killed it. - - what? - !
I can't believe blair went through with [pr] marriage to louis.	No me puedo creer que blair siguiera adelante con su matrimonio con louis.	I really thought she was gonna end up with chuck. - yeah, between us, i think she may have wanted to. - let's just say while love is a very complicated thing, so are prenups.
Agent finley here saved [pr] life.	El agente finley le salvó la vida.	If my mom's in jail, will they let her out to go to my dad's funeral? - i'm sure they will. - we're almost done here, sharlene.
"work makes you free" howard w. campbell, jr... wanted to be here tonight... to tell you of [pr] long and fulfilling association with your fallen hero.	"el trabajo te hace libre" howard w. campbell, jr. .. quería estar aquí esta noche ... que le diga de su larga y satisfactoria asociación con el héroe caído.	But he's asked me to make this brief statement to you... on his behalf. - the truth of your leader, august krapptauer, and those like him... will be with mankind forever... as long as there are men and women who listen to their guts... instead of their minds. - and now for a special treat.
Hey, robbie, you need to take your baby to see	Hey, robbie, necesitas llevar a tu bebe a ver	Dr. coles, okay? - tell him i'll pay for it when i can. gotcha. - look, i don't want you bringing sooz and the baby out here, using them as bait.
In it you'll find a death certificate... made out by dr. arden before [pr] disappeared.	Encontrará un certificado de fallecimiento hecho por el dr. arden antes de su desaparición.	Frank mccann signed it as a witness. - her death certificate? - officially, if anybody ever asks... grace bertrand died here.
Sounds like one of them is detective riley.	Parece que uno de esos era el detective riley.	Just tell me what he said. - asking about who you've been talking to. - if you had any dealings with bruce.
He's just minding [pr] business, kerry.	Eso es cosa de él, kerry.	You know. leave him alone. - well, you down there trying to catch fish? - i don't see you catching fish.
I'll ask riley to stop by the hospital and get their boots for elimination.	Le pediré a riley que vaya al hospital y recoja sus botas para descartarlos.	Where do you want me to start? - wherever you like. - her name is janelle rowe.
Look, i just have a really bad feeling about this guy, and i'm worried about my friend peyton.	Escuche, tengo un mal presentimiento con ese tío. y estoy preocupado por mi amiga peyton.	You carried her out. - peyton sawyer. - you were the one who carried her out of the school.
Even though my last campbell's campaign doubled their sales.	Aún cuando mi última campaña de campbell duplicó sus ventas.	You're the one who told me you needed help with the workload. - you have dr. bolls tomorrow at noon. - take him under your wing.
I can't help it, jessie. i think the husband should be the man.	No puedo evitarlo, jessie, creo que el marido debe ser el hombre.	If the husband's a real man, he wouldn't be threatened by a woman who knows what she wants. - you know, jessie, you're really a great girl, but i think we should break up before i "send you to the moon." - slater, what about our grade?
Jessie, if you're in there, open the fucking door!	¡jessie, si estás aquí abre la maldita puerta!	Is he here? - - is he here? - don't lie to me. - you're gonna foot the bill for that chain.
- ah, yes. - i am mr. stefano armani. - how can i help you.	- soy el doctor stefano armani.	What's your business? - - this is my cousin, and he wanted to know... - it's better if i explain.
The file said that robbie got into trouble for starting fires?	El expediente decía que, robbie se había metido en problemas por iniciar incendios.	Oh, no, no, he'd stopped all that, but glen, he-he... drove him away. - was your husband... - abusive to all of you?
Both gordon brown and barack obama had been groomed to be the next anglo-american spokesmen for this new world order after bush and blair stepped down.	Tanto gordon brown y barack obama había sido preparado a ser los próximos anglo-estadounidenses portavoces de este nuevo orden mundial después de que bush y blair dimitió.	Here's gordon brown in front of the cbi prior to him being chosen to become prime minister. - and it's only now that we can begin to understand that the world order that globalization brings and what it's going to look like. - but what does the new world order mean for countries like ours who are looking to succeed.
And that's why the first lady is at blair house.	Y eso es por lo que la primera dama está en la blair house.	She's nursing her baby son back from the brink of an infectious disease with her own two hands. - wh-why are you here? - because something amazing has happened.
Remy said that vivian had a contact inside of bowers pharmaceutical.	Remy dijo que vivian tenía un contacto dentro de la farmacéutica bowers.	My asset, joanna, starts work there today. - give us three weeks. - see if she can come up with a name.
