src	trg	src_ctx
I'm not saying this is your guy, but Emerson has this cousin that takes advantage of him.	Je ne dis pas que c'est lui, mais Emerson a un cousin qui se sert de lui.	They go to casinos and he gets Emerson to do card-counting, that sort of stuff. - The cousin-- what does he look like? - He's got this, uh, streak of white hair in the front.	 
Second of all, you ever let Pete Campbell go through my trash again, and you won't be able to find a job selling sandwiches in Penn Station.	Ensuite, vous laissez encore Pete Campbell arriver jusqu'à ma poubelle et vous ne trouverez même plus une place de vendeuse de sandwich dans le métro.	He said he left his fountain pen in here. - I didn't know. - I hope you don't think I'm that kind of girl.	 
- When was the last time you saw Riley?	- Quand as-tu vu Riley? - Quoi?	- What? I don't know. - - Did you see her at school? - - I don't...	 
We both know Blair will have another explanation.	On sait tous les deux que Blair aura une meilleure explication.	How will I determine what's really the truth? - We won't confront her without her weak link. - Luckily, he'll be at the party, too.	 
[pr] name is Ahamed Isa.	Il s'appelle Ahamed Isa.	He's 22 years old. - He's much older than his country. - His father, a chief, died of smallpox.	 
Carlos Del Sol has been looking into [pr] for us in Mexico.	Carlos Del Sol était après lui pour nous à Mexico.	He thinks that Treviño's past has been professionally cleaned, meaning whoever he used to be... that's the key to finding out his real agenda. - Okay. I'll look into it. - Just got your text.	 
Jack Riley did a year in a Salvadorean prison.	Jack Riley a fait un an dans une prison du salvador.	Interrogation. - Torture. - All to protect you... his country.	 
We fly back into San Antonio and there's Carey standing there.	On a pris l'avion pour San Antonio, et qui je vois à l'arrivée ? Carey.	What? - She acted like we'd never had that conversation. - And she acted excited to see him, asked him how his trip was.	 
I knew Riley was in trouble. I didn't help her.	Je savais que Riley était en danger.	I should've, but I didn't. - I knew what she was. - I didn't try to stop her.	 
I'm sorry for Carmen, and I pity Dona Sol.	Je suis désolé pour Carmen. J'ai pitié de Doña Sol.	Why should you pity her? - Because there's nothing in the world that she can hold on to for long. - When she was a little girl, she used to tire of all her toys... and throw them away while they were still new.	 
Well, it came to me while I was staring at a poster of a drip painting on Emerson's wall.	- Oui. Ça m'est venu en fixant un poster d'une peinture en dripping chez Emerson.	You know, just how he sees the world, through an abstract painting or through a barcode or the way he arranges the seemingly random clutter in his apartment... - So it's all part of a larger design, a fractal pattern. - We know how action painters create a piece of art-- by applying a series of seemingly chaotic paint drips...	 
[pr] real name is trey Campbell, but e-everyone called [pr] Wolverine.	Son vrai nom est Trey Campbell, mais on l'appelle Wolverine.	Why? - He was always talking about comic books and -- and horror movies and playing with his knife. - And he's always fantasizing about death -- who might be attacked by a bear first, what it would feel like to have your entrails ripped out.	 
Turns out our Private Riley has a history with two of ELE's suspected leaders.	Il se trouve que le soldat Riley a un passé... avec deux des chefs présumés de l'AFO.	This is Malcolm Tallridge, the charismatic founder. His number two, John Bordinay. - Paranoid nut job. - Brains and muscle.	 
[pr] brought Emery's mother here, then hung [pr] in the mirror library.	Il a amené la mère d'Emery ici, puis il s'est pendu dans la bibliothèque.	Not so much a suicide as being Rose Red's latest victim. - What about Mrs. Waterman? - I can't see her or Professor Miller.	 
[pr] was there shortly before we intercepted Peyton's call.	Il y était peu avant qu'on intercepte l'appel de Peyton.	Sloane told me he acquired the cure in Barcelona where Prophet Five is based. - We know they've used Nadia's condition to blackmail him in the past. - Perhaps Sloane's association with them didn't end there.	 
We'd like to introduce the latest addition to "morning madness, " Kelly Campbell.	On voudrait vous présenter la dernière nouveauté de l'émission, Kelly Campbell.	I am not granting you emancipation. - I'm releasing you back into their temporary joint custody. - What happened? She hit me in the head with a golf ball!	 
Yeah, I'm pretty sure the guy I'm looking for didn't direct the fucking Blair Witch Project.	Le gars que je cherche n'a pas réalisé ce putain de Projet Blair Witch. Oublie son nom à jamais.	Just forget you ever heard the name Eduardo Sanchez. Forget that he supposedly lives in a village near here. - Forget that he is not Mexican, but a gringo. - Eduardo Sanchez is a white man that lives near here?	 
Lennie decided to take a look at it.	Et Lennie était curieux de savoir de quoi il s'agissait.	Wagner said, "I'm thinking about calling Lennie Dale." - We set up a meeting. - They came with him to our rehearsals...	 
It seems Dr. Arden solicited a... a woman of the night.	Il semblerait que le Dr Arden a sollicité... une femme de petite vertu.	The young woman found Nazi souvenirs in his bedroom. - Are the police pursuing a case against him? - No, I don't believe so, but...	 
And we're sure that Campbell wasn't the shooter?	Ce n'est pas Campbell qui a tiré ?	Not according to witnesses. - And we got a building security camera that shows a black male, mid-40s. - Witnesses say he puts a gun up to Campbell's head and he forces him into the car.	 
And I'm betting if we test your keys, we'll find metal from Angel Santana's motorcycle where you scratched in "late-night bitch."	Et si on analyse vos clés, je parie qu'on trouvera du métal de la moto de Santana où vous avez gravé "garce de nuit".	He told me... that night just before he left the studio... how he'd heard Weisberg say they were gonna bury him unless he made a change. - 35 years, I had his back. - He was gonna toss me aside like one of his ex-wives, humiliate me in front of the whole country.	 
Ted didn't come home the night Theresa disappeared, and... and Sutton was worried it was gonna make [pr] look guilty, and I told [pr] I'd give [pr] just until today to sort everything out.	Ted n'est pas rentré à la maison le soir où Theresa a disparu, et... Sutton était inquiète qu'il ait l'air coupable, et je lui ai dit que je lui donnais jusqu'à aujourd'hui pour éclaircir ça.	And you chose her over me? - I don't think he did anything, man. - That is not a call for you to make.	 
It was certainly the best thing for Jessie.	C'était sans aucun doute le mieux pour Jessie.	And you never saw her again. - We moved to Tempe, he and I. - No one knew us, no one cared.	 
I don't know [pr] intentions, but this may be the one opportunity that Peyton has to find out.	Je ne connais pas ses intentions, mais ce pourrait être l'opportunité pour Peyton de le découvrir.	I know you want to protect her, but maybe what she needs protection from is regret. - Coach Durham, if I said something to upset you earlier, I'm really sorry. - Take your seat.	 
You wanna find him? He's probably at Carrol Park.	Vous devriez voir du côté de Carrol Park.	- He hangs there all the time. - - Carrol Park? - You do me a favor, if you see him, you tell him I stopped by?	 
We both know that Gossip Girl's latest hiccup makes you look even worse in Blair's eyes.	Nous savons tous les deux que le dernier contretemps de Gossip Girl te rend pire aux yeux de Blair.	Maybe today, but at least she knows - Dan isn't the good guy he pretends to be. - In time, that'll sink in.	 
Blair, I know this is hard to hear, But maybe today is not about you.	Blair, je sais que c'est dur à comprendre mais aujourd'hui, il ne s'agit pas de toi.	Chuck has 24 hours to create something from scratch. - His liquor license hasn't even cleared yet. - No, I already faxed the permit To control the sidewalk in front of Gimlet.	 
If [pr] promised, how did [pr] get Michal Mizrahi pregnant?	S'il a promis, comment il a mis Michal Mizrahi enceinte?	I can't just throw Michal to the dogs. - Her father has a gun. - He once shot a thief.	 
I never knew Harley, and not a day goes by where I don't think how [pr] came to my graduation and I just... I blew [pr] off.	Je n'ai jamais connu Harley, et aucune journée ne passe sans que je pense qu'il est venu à ma remise des diplômes et je l'ai... rejeté.	And now I'll never be able to tell my son what he was like, and I don't have a single thing of his to pass down. - I don't know why I'm telling you all this! - Uh, how much further is this, uh, "fishing hole" of yours?	 
Blair, darling, why is Dorota carrying your life history?	Blair, chérie, pourquoi Dorota réecrit ta vie?	Suffice it to say that I apologize in advance if any of your meetings today are negatively affected by the publication of my intimate musings. - Thank you. - "My mother considers herself an arbiter of Parisian style, but the only French she is intimate with are fries."	 
A weakened Milan, a weakened Venice, a weakened Mantua... has to be worth a weekend in Tuscany, surely?	Mm. Milan affaiblie, Venise affaiblie, Mantua affaiblie- cela vaut bien un week-end en Toscane, sans aucun doute?	Stately. - Where is he? - He must be here somewhere.	 
Oh, Mr. Morgan, I'm sorry, but Miss Arden	- M. Morgan, désolée, mais Mlle Arden-	- She has, huh? - Not yet, but she's going to. - I told her about the weather, and she said that wouldn't bother her any... because she was much better at pantomime anyhow.	 
Hey, Robbie, you need to take your baby to see	Robbie, il faut que t'emmènes le bébé voir le Dr.	Dr. Coles, okay? - Tell him I'll pay for it when I can. - Gotcha.	 
The witches, [pr] refers to them as the Lords of Salem.	Les sorcières, il se réfère à elles comme aux Seigneurs de Salem.	Now, Heidi says that the music that she received came to her directly from the Lords. - That the same? - I think so.	 
You say you saw Hank Landry the night of december 10th?	Donc, vous dites avoir vu Hank Landry la nuit du 10 décembre?	I bummed a cigarette from him. - You remember some guy you met in a parking lot two months ago? - He actually looked kind of like The guy I just broke up with, And it kind of freaked me out.	 
Emery, that woman's in town. The wife of Duncan Marsh.	Emery, l'épouse de Duncan Marsh est en ville.	The deputies took her to the house of a Dr. Gilchrist. - She doesn't know anything. What could she tell them? - She can't tell them anything.	 
I had seen Kiran for the first time on this very platform.	J'ai vu Kiran pour la première fois sur ce quai.	She had just got married and come... and it was also the last time I saw her happy... because her husband had to leave that very night... due to some tension at the border, and he was an Airforce pilot. - Since then she often comes here... hoping to see her husband get down from the train... but everybody knows that is impossible because two years back we got to hear... that two planes were found missing at the border. - I feel even she knows that her husband is no more... but she still comes here to please one man her husbands father -	 
Agent Finley is a trained Secret Service agent.	L'agent Finley est un agent entraîné des Services Secrets.	- Wanna tuck? He won't buy that. - - No need to tell me my job. {*} - He will return fire, he will drive evasively.	 
And the trucks that are getting hit... they're the same ones Emerson's been putting [pr] boxes on?	Et les camions cambriolés contiennent les boîtes vides d'Emerson ?	That's right. - How many does he have floating around out there? - I don't know.	 
You sell this ranch and give the money to Jessie.	Tu vendras ce ranch et tu donneras l'argent à Jessie.	Jessie? Jessie Brown, my housekeeper. - No. Why do I call her that to you? - She is my wife.	 
CSI Finley's going to stay with you here, okay?	L'expert scientifique Finley va rester avec vous, d'accord ?	Mrs. Kravitz, can you show me where he hit you with the gun? - Find anything interesting? - Found a little of everything:	 
Um, Laura Sutton is on [pr] e-mail.	Laura Sutton est dans sa boite mail.	_ - What did Düring say? - - That he doesn't know where she is, either. - He's got seven residences in Germany alone.	 
By Jack Campbell speaking The President of the University of Montana.	Ici Jack Campbell, président de l'université du Montana.	I have some good news. - Mr.T.S. Spivet has managed to rearrange his schedule. - So, He will be leaving...first thing tomorrow.	 
That's [pr] fucking brother, Robbie.	C'est son frère putain, Robbie.	The brother is the bowling ball. - The brother, you put a skateboard on him, strapped him to a skateboard.. - And, toss him down an alley at some pins. No, shit.	 
'But what we don't have is direct testimony' 'that someone saw Andrew Campbell' 'at the scene of a crime.'	Mais nous n'avons pas de déposition directe stipulant que quelqu'un ait vu Andrew Campbell sur la scène de crime.	'Ultimately, that could decide' if he walks away or pays for what he's done. - I did see him. - Once, I saw his face.	 
And I was doing that all night when this fine, chocolate brother sat down next to me in [pr] Armani suit.	Et j'allais faire ça toute la nuit lorsque cet beau brun s'est assis à côté de moi dans son costume Armani.	And I was headed up to my room when I saw her and, oh, she was so beautiful. - I mean, so beautiful that I had to come play with her. - I was up $15,000.	 
And Sol, who kept us going through all the mean and ugly years, both spiritually and financially.	Sol nous a soutenus durant ces terribles années Spirituellement et financièrement.	And, uh, most of all... You were looking for the spirit of the pioneer. - Well, his spirit is here tonight. - God only knows where his ornery self is.	 
[pr] got Stevie Wonder to sing for me under London Bridge.	Il a convaincu Stevie Wonder de chanter pour moi sous le London Bridge.	Stevie Wonder sang in 1814? - Yes, he did! But you must never tell him. - I've come from the Doctor, too.	 
It's a month since the death of Lauren Parris, and as time passes so the pressure mounts on the police to find [pr] killer,	Depuis un mois déjà, le pays pleure Lauren Parris. Plus le temps passe, plus on exige de la police qu'elle trouve l'assassin.	The pain felt will not go away while her killer remains at large, - Detectives say that they've had a good response to the reconstruction but are still lacking the vital information to make a breakthrough, - Sorry I'm late.	 
Oh, yeah. I know she's not over the whole Riley-sleeping-with-Faith thing.	Je sais qu'elle n'a pas encore avalé l'épisode Riley-couche-avec-Faith.	You know, Faith's insides and Buffy's outsides, when her insides were out. - I hope they'll be OK. - I'm sure it'll blow over.	 
Actually, did you know that Peyton was one of the inmates in Aaron's prison ministry?	En fait, vous saviez que Peyton était un des détenus pour lequel Aaron officiait en prison ?	- No, I didn't. - Huh. - Oh, before you chow down on that sandwich, you should probably also know that Peyton was the one that poisoned Aaron. - Yeah, he was working in the prison kitchen the night that Leon Earl Montrose was executed.	 
Miss Arden, and, Miss, uh - Miss Springtime in person, this is Mr. Collier.	Mlle Arden, et Mlle Printemps en personne, voici M. Collier.	- I am Stanford White. - - Her name is Evelyn. - Evelyn Nes-	 
I asked [pr] if [pr] cancelled the flight to Milan and [pr] said [pr] did...	Je lui ai dit d'annuler les billets pour Milan.	Before we even came here! He said that? - Why would he say that? - - So he just made that up huh?	 
Today Sam Riley kicked a soccer ball... and it hit another kid so hard [pr] eye popped out.	Aujourd'hui Sam Riley a botté le ballon de soccer... si fort qu'il a fait éclater l'oeil d'un autre joueur.	Awesome! - Really? - His eye popped out.	 
- What's [pr] got against Lennie?	- Qu'est-ce qu'il a contre Lennie?	Well, I'll tell you what. - Curley's like a lot of little guys. - Hates big guys. Kinda like he's mad at 'em cos he ain't a big guy.	 
Professor López Jaime admitted that my songs reach the soul, that my concerts must not be thought about, they must be felt.	López Jaime a reconnu que mes chansons touchent l'âme que mes récitals ne se pensent pas, mais se sentent.	Yes indeed, I went to one of his concerts... and truly, I felt... sorry. - I confesses to him that I played and composed by ear; but well, many inspired popular composers cannot write music. - At least they can write their name!	 
Look Priya, the truth about Krishna the world is about to discover is because you lied!	Le monde va apprendre la vérité de Krishna car tu as menti.	The lie that you love him brought him here all the way from India. - And imagine! - Now we're going to create a big sensation!	 
Kyle's behind bars, Linette's in pain, and Riley is the glue holding it all together, and you thought right now would be the best time to pile on more pressure?	Kyle est derrière les barreaux, Linette a mal, et Riley est la colle qui tient tout en place, et t'a pensé que maintenant serait le bon moment pour ajouter plus de pression ?	Yeah, well, she said -- I don't care what she said! - The second that Kyle came back into the picture, the rules changed. - I get it.	 
If Little Stevie's still got that weapon, we just found our killer.	Si Little Stevie a toujours cette arme, alors on tient notre tueur.	Where's your vest? - It's in the trunk. - He inside?	 
Did Pam kiss another man a few weeks before Stevie died?	At Pam baiser un autre homme quelques semaines avant Stevie est mort ?	I'm not sure when, but something happened. - Tell me what you mean by that. - She was kissing that Mexican in our house.	 
Kerry came to you after Alex died, said Alex had told [pr] everything.	Kerry est venue vous dire qu'Alex lui avait tout dit.	She was gonna expose Stutzer, not just as a fraud, but as a murderer. - - Yes. - - Yeah.	 
Milan Carlton is a spoiled little billionaire who's gotten away with everything [pr] whole life.	Milan Carlton est une milliardaire gâtée qui se sort toujours de tout.	Why waste time? - Let's just figure out how her daddy's gonna use his money to get his little girl off. - - Did I just say that?	 
I understand Jessie has recanted [pr] confession.	J'ai cru que comprendre que Jessie était revenu sur ses aveux.	Does that surprise you? - It's hard to believe anyone would confess to such a crime if he hadn't done it. - Got any experts lined up?	 
When my uncle Jaime got out of jail the first thing they did was to get married.	Dès que mon oncle Jaime fut libéré ils se marièrent.	That same night they took the train to Cordoba. - My aunt's other long-postponed dream came true. - To return to her home in Cordoba.	 
( Scoffs ) There's no Riley and-- wait.	Il n'y a pas de Riley et... attends.	You like Riley? - I think I do. - But I don't even know if she likes me.	 
Blair, given you can barely manage your own messy affairs, Surely you're not in a position to tell anyone	Blair, vu que tu peux à peine gérer ton propre bordel, tu n'es pas en position de dire à quiconque ce qu'il faut manger ou pas.	Where they can and can't eat. do you realize who you're talking to? - You mean a self-righteous bitch who always sat - On her own high horse judging everyone else?	 
Anticipating the arrival of a third body, Emerson Cod and the pie maker returned to the house of the heartless boy.	Anticipant l'arrivée d'un troisième corps, Emerson Cod et le pâtissier retournèrent à la maison du garçon sans-coeur.	Ma'am, the two insurance adjusters that died were both linked to your boy. - We have reason to believe a third body's gonna show up on your lawn sometime soon. That's not good. Oh, no, that's real good. - 'Cause this time, we're gonna be waiting outside to catch the iceman when he cometh.	 
A man is in police custody today charged with the murder of Lauren Parris,	Un homme est en garde à vue pour le meurtre de Lauren Parris.	The arrest of Gareth Cawood follows one of the biggest murder investigations ever mounted in England, - Lauren's body was found in a canal last month after she went missing in Hackney, - Cawood will appear before Thames magistrates tomorrow morning,	 
Visitors list includes [pr] mother, sister, and a guy listed as [pr] cousin, a Kris Dunning.	Liste des visiteurs : sa mère, sa sœur, et un type listé comme étant son cousin, Kris Dunning.	He was at Midway. - Okay, so he did three years for aggravated assault. - He skipped out on parole and went off...	 
Riley, is there something going on with you and my brother?	Riley, il y a quelque chose entre toi et mon frère ?	I don't know. - If you don't want to take his money, that's fine, but we're out of options. - Pay the bail.	 
So the FBI asks you to find this Austin Blair who turns out to be a dead drug dealer who has your husband's business card.	Le FBI te demande de retrouver Austin Blair, un dealer de drogue décédé, qui a la carte de ton mari.	So your fellow FBI agents, ahem, i.e. Your squad and me are wondering if he might have been an informant. - If you're asking me if I knew that going in, I did not. - Okay?	 
I'm on my way to my lawyer's office, Remy.	Je suis en route pour voir mon avocat, Remy.	That's not where I want to be when I'd usually be in bed. - I can't stop Frank from leaking things. - No, but you can make sure he suffers more than us.	 
Well, I wish I could help you, mister Landry.	J'espère pouvoir vous aider, M. Landry.	Please, call me Chet. - I have... been very concerned about Pete myself. - Well, he was at your house a couple of days ago, wasn't he?	 
Either Peter and Milan continued this affair and Barbie killed [pr] or B, Peter killed Milan to cover up a potential scandal.	Soit Peter et Milan l'ont poursuivie et Barbie l'a tuée, soit Peter a tué Milan pour étouffer un scandale.	- Then who killed Barbie? - - We don't even know if Barbie's dead. - And even if she is, maybe she came forward about killing Milan and then the killer came forward and killed Barbie.	 
And after I take a bus across the state line to apologize, You ditch me for Blair Waldorf and totally disappear.	Et après avoir traversé un état en bus pour m'excuser, tu me lâches pour Blair Waldorf et disparaît complètement.	Cece set me up with this suit, all right? - And Jenny got a dress, too If you'd also like to make her feel bad about it. - As for Blair, It's not like we're shoe shopping or sipping Martinis.	 
Even though we couldn't actually see Emery walk across and receive [pr] diploma, I think we all felt like this is one of our proudest moment.	Même si on n'a pas pu réellement voir Emery traverser l'estrade et recevoir son diplôme, je pense que c'est l'un des moments dont nous sommes tous le plus fier.	Yeah, we probably shouldn't have done that. - At least Emery's mom got some good pictures. - She said she could always photoshop out his anguish.	 
I will help Elisha understand that she's not going crazy.	J'aiderais Elisha à comprendre qu'elle n'est pas folle.	I will teach her not to be in fear of you but to hate you, to see you for what you really are-- a pathetic and evil soul who has no place to go, an interloper, a parasite. - If you think she's fighting you now... - You may have all the time in the world, but how much of it are you willing to waste on a lost cause?	 
I can't believe [pr] has the hots for Bill O'Reilly.	Je ne peux pas croire qu'elle a le beguin pour Bill O'Reilly	"His Irish blue eyes"? - [ Scoffs ] Vomit. - Well, studies show that men with great earning potential are still the most desirable mate.	 
But Stevie felt like I had betrayed Olivia.	Mais Stevie l'a pris comme une trahison envers Olivia.	I thought that we would eventually make our peace, and get past it, but he... - - But he just left. - - Yeah.	 
According to Riley, [pr] hasn't been back to [pr] apartment.	D'après Riley, il n'est pas retourné à son appartement.	Which means he still thinks I'm there. - I'm lost. - If we can force Dyle to replay the day, I can nail him.	 
Thanks. Hey, Sol. Did you hear about this golfer?	Sol, tu as entendu parler du golfeur?	- Just came on the radio? - Mmm. - Lightning strikes his metal shoes and kills him. - Shocking, huh?	 
The Malum, the cause of the plague that decimates Salem even now.	Le Malum, la cause de la variole qui a décimé Salem.	And proof I was right. - If only my father had listened to me. - If he believed me, we might have stopped the grand rite and he might yet live.	 
And then you fed us Harley, the sacrificial lamb, to throw us off your trail.	Et vous avez décidé de sacrifier Harley pour nous égarer.	Harley attacked me. - Oh, yeah, and then he managed to run down the fire escape with such incredible speed that two of New York's finest detectives were incapable of seeing him, never mind catching him. - Beating yourself up...	 
Like [pr] father Krishna will also achieve great success.	Krishna aussi, sera très brillant...	His name will appear in the Guinness Book and the whole world will speak highly of him. - That's exactly what I don't want, Father. - What did Rohit gain, after all?	 
We'll speak to Connie Mallery tomorrow, see if [pr] knows anything about Riley	Nous allons parler à Connie Mallery demain, voir si elle sait quelque chose sur Riley	- or where he might have gone. - - Okay. Sounds good. - You sure you don't want to, uh, switch spots?	 
And don't you dare say a word to Riley about this.	Et ne t'avise pas de dire un mot à Riley de tout ça.	She's got enough on her plate these days to have to worry about my love life, too. - Yeah. - Hey girl. Is this your coupon book?	 
Mr Riley I believe [pr] name was.	M. Riley, si je me souviens bien.	He died in a mandrake swamp on the way to the Congo Franḉais. - Poor Mr Riley. - We were touring in a steamer, but he wanted to take a canoe and explore deeper into the lagoon.	 
So I called Robbie and I had [pr] come over, and I gave [pr] his stuff.	Alors j'ai appelé Robbie pour qu'il vienne à l'appart, et je lui ai donné ses trucs.	Now you won't have to go through with all that mess. - And I think you'd be pleased, I really let him have it. - What is with you and boundaries?	 
Jaime, go back to the hotel. what's Hank Arnette doing here?	Jaime, retourne à l'hôtel.	Bullock's going for a hostile takeover. - I thought he couldn't do that. - He's been biding his time until I was too weak to defend myself.	 
Anyways, me and Sol are sure grateful you and Mr. Utter are taking the time to help.	Pour sûr, Sol et moi, on apprécie beaucoup que vous et M. Utter viennent nous aider.	Man #2: Go ahead about your work, Mr. Hickok. - He won't bother you no more. - Charlie encourages me being in your company.	 
And no matter how you read it... it's still criticizing these kids Campbell and Hettinger... for doing what they had to do.	Vous avez l'air calme, mais vous critiquez ces mômes, Campbell et Hettinger parce qu'ils ont fait leur devoir.	And what I did, too. - Good afternoon, Captain. - Anybody who gives up his gun to some punk is a coward.	 
When things went bad, it was always Lennie who started it.	Lennie était presque toujours à l'origine des embrouilles.	He was too crazy, doing heavy drugs. - "I'm not doing it. "We had a huge fight. And he didn't do the show. - I was so insecure... When we feel insecure we can do stupid things.	 
Mr. Nicolay says Daddy's secluded with Mr. Blair.	M. Nicolay a dit que papa est en discussion avec M. Blair.	Tell him anyway. - Did you forget to eat? - - Exactly like him.	 
Kang Ye Sol first said that I shouldn't be going out with a secretary's son.	Gang Ye Sol a commencé en me demandant pourquoi je voyais un fils de secrétaire.	But you still shouldn't have behaved the same. - She didn't say anything wrong. - The reason you got angry is because you were embarrassed.	 
Malcolm Campbell did it here, with a Bluebird.	Malcolm Campbell l'a fait avec une Bluebird, en dépassant les 480 km/h.	First guy to go over 300 mile an hour... and then later his son, Donald Campbell was here with Proteus. - He crashed at 350 mile an hour and lived to tell the tale. - John Cobb was here.	 
Two days ago, I got a call from Admiral Blair.	Il y a deux jours, j'ai reçu un appel de l'amiral Blair.	It seems that the professor's widow contacted him. - Whoever killed her husband must think that GHOST is still in that house. - Now, maybe it is, maybe it isn't.	 
An accidental, inadvertent death that Emerson Cod hid in order to protect [pr] friends.	prenant la vie de Dwight en échange... Une mort accidentelle, par inadvertance qu'Emerson Cod camoufla pour aider ses amis.	And so Dwight Dixon, villain and thief, was buried in the grave once occupied by Charles Charles. Eh, what makes you think something happened to Dwight Dixon? - Because he cared about me. He wouldn't just leave without explanation. - Even worse, he could be dead.	 
How much you ask [pr] for, Robbie?	Combien tu lui as demandé Robbie ?	Can I get you a drink? - Let me get you a drink. - You know the money he gives you comes right out of the company that I bust my ass to make profitable?	 
I'm going to loan Riley those non-stick pans I gave you.	Je vais prêter à Riley ces casseroles anti-adhésives que je t'ai donné.	You can't do that. - You don't use them. - Well, why don't you give her the Bundt pan, too, ma?	 
Carey's death was the result of an attack by a common house cat... a former pet in the Carey home.	Carey est mort aprés s'être fait attaquer par un chat, l'ancien animal domestique des Carey.	He was the victim of the most fantastic ailment in the annals of medicine. - Thus ends the life of a man whose courage and will to survive... lasted until the very end. - A man whose fantastic story... was known to virtually every man, woman and child in the civilised world.	 
The admiral and Commodore Emery... are coming into the conference room right now.	L'amiral et le commodore Emery entrent dans la salle de conférence,	We thank the French delegate for his remarks and we will take them under advisement. - We acknowledge the arrival of two of the world's most distinguished scientists... - Admiral Nelson and Commodore Emery.	 
Why do you wanna know how well I know Peyton Sanders?	- Quoi? Pourquoi tu veux savoir si je connais bien Peyton Sanders?	I don't wanna know. - I was just mentioning that he was, you know, seemed... - - you know... - Young.	 
