src	trg	src_ctx
"the biochemistry department cancelled the final exam "after discovering honor student Sarah Emerson "stole the test and vandalized the lecture hall	Die Biochemieabteilung hat das Abschlussexamen abgebrochen, nach dem es entdeckte, dass die Vorzeigestudentin Sarah Emerson den Test gestohlen, und den Vortragssaal im Wissenschaftsgebäude mutwillig beschädigt hat.	In the science building." She gave everyone the answers. - My mother was awesome. - The way you've crossed boundaries, Mixing your personal and your professional life, Shows an alarming lack of judgment	 
Oh, God, it's a Jackie impersonator.	Oh, Gott, es ist eine Jackie Imitation.	Can you-- can you go and get her and tell her she's got to come and sit by me until the real one gets here? - Go, go! - No, no, she went that way!	 
The peak of [pr] career. An unexpected war in the Pacific.	Ein kleiner Krieg im Pazifik war ein Glücksfall für ihn.	He wants to get a medal. - He's close to retirement. - It puts us all in danger. - I don't know how you usually work, but as of today, the Kanaks are your enemies.	 
Laura, this is Emerson Cole here.	Laura, das ist Emerson Cole.	He's hungry. - Give him something to eat, will you? - I was thinking about tomorrow.	 
All right, Casey said [pr] wanted something light.	Okay, Casey will etwas leichtes haben.	He said that, but he doesn't mean it. - Is this really the best use of our time? - We could be doing so much more.	 
An officer went to your house in response to the report of domestic violence.	Ein Officer fuhr zu Ihrem Haus, als Reaktion auf die Meldung über häusliche Gewalt.	He found your husband's body. - Keith's dead? - I'm afraid he is. How?	 
Did you know Mr. Sutton?	Kanntet ihr Mr. Sutton?	We all had him for Driver's Ed. - - I also had him for A.P. Chem. - - I had him for A.P. Bio.	 
Think maybe should we try [pr] with Harley again?	Vielleicht sollten wir's nochmal mit Harley versuchen.	Let's wait. - He needs to trust us before we can even think about bringing in another horse. - Good boy.	 
An accident, a car accident.	Ein Unfall, Autounfall.	She sat in the passenger seat. - Now she's still in a coma. - It's time, we can begin.	 
Can we say hi to Stevie?	Können wir Stevie Hallo sagen?	Scott just took him out for lunch with the girls. - I'm hosting a kegel workshop here later. - I got to shave.	 
[pr] thought they were hiding out in the woods around Salem making the devil's music for the purpose of possessing the souls of the Salem women.	Er war sicher, dass sie in den Wäldern um Salem herum Teufelsmusik spielten, um Besitz zu ergreifen von den Seelen der Frauen von Salem.	Yeah, well, I gathered that from the few pages that I read, that he and his group eventually killed Morgan and the coven. - - Right. - That's where the pages end. - So I was wondering if there's any other light you could shed on this?	 
Listen, Jackie, the reason we stopped by.	Hör zu, Jackie, den anlass das wir hier sind.	Well, I'm sure you heard about the dead guy we found in our house. Yeah. - Well, It turns out he was at your show the night before. - So I was hoping you could look at this picture and see if you recognize him?	 
- Miss Marlowe, I'm Rockwell Hunter.	Miss Marlowe, ich bin Rockwell Hunter.	His name sounds very influential. - His name only so happens to be Rockwell Hunter. - What do you do?	 
Casey. It was Casey's idea.	Das war Caseys Idee.	I was all wrong about you. - Had you pegged for a real straight arrow. - Oh, no, he is. He went to space camp.	 
I got some very helpful information from the waitress who waited on Artie and Lola the night of the murder.	Ich bekam einige sehr hilfreiche Informationen von der Kellnerin, die am Abend des Mordes auf Artie und Lola wartete.	She said Artie left the restaurant to go to an ATM. - Artie attempted to withdraw just down the street from Javier's and Lola's loft. - It was at 6:45 P.M., which puts him in close proximity to Javier and without an alibi during the window you gave me for the time of the murder.	 
[pr] must have been born in March or April. She's got all the characteristics of an Aries.	Sie wurde im März oder April geboren, ein typischer Widder.	She's the Aries type. I'll tell you what type she is. - Exactly the type most likely to make a good companion for feeble, spineless, confused men. - Luisa, I didn't know.	 
The witch you killed walks the streets of Salem.	Die Hexe, die Ihr getötet habt, wandelt auf den Straßen von Salem.	Now help me defeat her for good. - I want you to steal your father's book of shadows. - There are secrets in that book...	 
The boy is more Robert than Jaime.	Der Junge gleicht eher Robert als Jaime.	Robert was a drunken fool, but he didn't enjoy cruelty. - Sometimes I wonder... - What?	 
An only child, [pr] never knew [pr] father.	Romeo ist Einzelkind, seinen Vater hat er nie kennengelernt.	His mother, Claudia, raised him alone. - She is generous, free-thinking, and independent. - Romeo and Juliette are close to Claudia and her companion, Alex	 
I've fished Glen Arden. I've tried it.	Ich habe dort gefischt, es versucht.	Father... shall we say trout? - What a sport. - To feel the trout on your line... to play him, to reel him in.	 
I checked the surveillance tapes at the market where Salem works.	Ich überprüfte die Überwachungsvideos von dem Markt, wo Salem arbeitet.	And? - He was there, so he's off the list. - Great.	 
[pr] lives in Milan now. Married, two cute little girls.	Jetzt lebt er in Mailand, verheiratet, zwei Töchterchen... ganz hübsch!	He showed me photos. - He comes for business and a bit of fun on the side. - The other day he brought in this gorgeous brunette, a stripper.	 
Hold on that, Colonel Casey.	Warten Sie damit, Colonel Casey.	Stand by for further instructions. - Go to Morocco. We need the location of that mint so we can destroy it. - And we gotta get to Casey before he chops his own arm off.	 
An early edition of "Kama Sutra"... with illustrations.	Ein altes Kamasutra mit lustigen Bildern.	You think Parker'll get into it? Does he have a choice? - What's that? - - Don't tell me you still think-	 
Evidently, Casey managed to solve that dilemma.	Offenbar hatte Casey eine Lösung für das Problem.	He sent us his research just before he was killed. - Soon as it's packed up, we'll send it over. - I think you'll find that we'll be helpful partners.	 
An architect, divorced, 2 kids. Friends call you Sam.	Sie sind Architekt, geschieden, haben 2 Kinder und ihre Freunde nennen Sie Sam.	Frau Schumann talks too much. - The gossip in the basement. Don't listen to her, she thinks I'm nuts. - And you are?	 
and Emerson Cod had a plan for how to get their "guilty dog" to run.	Und Emerson Cod hatte einen Plan ihren "schuldigen Hund" zum rennen zu bringen.	All right, let's get him ready. - ? - One last touch without touching him.	 
Yeah, I wanted to talk to Dr. Casey about this "D" [pr] gave me.	Ja, ich wollte mit Dr. Casey über die "4" reden, die er mir gab,	When's his class again? - Brunner Hall of Science. - Got it.	 
I don't believe [pr] intended for Riley to die.	Ich glaube nicht, dass er mit Absicht Rileys Tod herbeigeführt hat.	Yeah, but he was responsible. - And he's going to have to live with that. - I'm not saying he was right.	 
An awful name that I forgot.	Schreckliche Namen ich schon vergessen.	Was she beautiful at least? - A little like you. - Not too pretty.	 
And my grandfather's stupidity in the field of battle is the reason Robb Stark has Uncle Jaime in the first place.	Und meines Großvaters Dummheit auf dem Schlachtfeld ist der Grund, warum Robb Stark Onkel Jaime überhaupt gefangen hat.	His life is in danger. - We're at war. - All our lives are in danger.	 
Yeah, well, compared to Campbell, I'm a Boy Scout.	Nun, im vergleich zu Campbell bin ich ein Pfadfinder.	Excuse me. - Is he expecting you? - He's not expecting anything.	 
Your father no longer breathes the air of Salem, and soon, neither shall you.	Euer Vater atmet nicht mehr die Luft von Salem, und Ihr werdet es bald auch nicht mehr.	Gentlemen, escort him away. - Hathorne, listen to me. - This is much bigger than our rivalry over Anne Hale.	 
Apparently a half shark, half octopus has been sighted off the coast two miles south of Playa Del Sol.	Offenbar wurde vor der Küste von Playa del Sol eine Kreatur gesichtet, die halb Hai, halb Oktopus ist.	According to sources, it is armed and dangerous. - Yes, it's half octopus, so it would be eight-armed and dangerous, right? - Well, Stephanie apparently is hitting the tequila a little early today and she's not sharing with her captain.	 
Dale Arden is under the guidance of Agent Zarkov.	Dale Arden befindet sich in der Obhut von Agent Zarkov.	- But Flash Gordon is still alive. - - He was revived by a traitor. - And spirited from the city.	 
..Krishna will also achieve great success.	Er wird neue Erfolgsmaßstäbe setzen.	His name will appear in the Guinness Book.. - ..and the whole world will speak highly of him. - That's exactly what I don't want, Father.	 
Jackie boy, you need to call Bobby.	- Jackie-Boy, du musst Bobby anrufen.	He needs to hear from you. - If he misses me so much, he shouldn't have left. - Let's go.	 
An agent was killed last year by Vadik, but [pr] voice... you know, the killer... it matches perfectly with the man on the train.	Vadik ließ letztes Jahr einen Agenten töten, und die Stimme des Mörders deckt sich mit der des Mannes aus dem Zug.	Which means Vadik trusts Tomazaki enough to front for him and act on his behalf. - Simple deduction says that, if Tomazaki trusts you, you've seen Vadik. - Where do we find Vadik?	 
I heard of Larkin but I never met him.	Ich habe von Larkin gehört, kenne ihn aber nicht.	He's a goddamn animal, and I'm trying to keep him from meeting you. - You gonna storm through Boston and take down a drug lord? - Yeah, I might.	 
I'm not gonna let you turn our scathing expose into a sentimental sonnet because of your delusional feelings for Blair.	Ich lasse nicht unsere vernichtend Enthüllung in eine sentimentales Sonnet verwandeln, wegen deiner wahnhaften Gefühle für Blair.	Why are you so sure that I'm delusional and not determined? - She did date me. - Briefly, after she lost her prince and her mind.	 
You know, Emerson, they're not so bad.	Weißt du, Emerson, so schlecht sind sie gar nicht.	Tell me Hauser isn't the nutcase I think he is. - He's a little prickly sometimes, but he's all right. - You've been with him a while?	 
An exchange student from the Soviet Union.	Eine Schwesternschülerin aus der SU.	Her dad is a teacher for the deaf and dumb. - Don't marry him too early. - - Mum.	 
The... the dagger... separates something evil... the orchid, from something good... the box holding it. So with Artie...	Der Dolch... trennt etwas Böses, die Orchidee, von etwas Gutem, die Box, die sie enthielt, also, mit Artie...	You separated the evil from Artie. - You brought him back. - It belonged to a Jesuit priest who... performs the first exorcism.	 
An oracle's abilities in the wrong hands can be deadly.	Die Fähigkeiten eines Orakels in falschen Händen können tödlich sein.	What about Cassie's family? - Called her cousin. - He's coming in for questioning.	 
Artie and I wound up eating without Javier all the time when [pr] was working.	Artie und ich haben immer ohne Javier gegessen. wenn er gearbeitet hat.	He'd just get lost painting, or not want to stop if it was going well. - He was at the mercy of his creative flow. - Sounds like you were at the mercy of it as well.	 
Do you know Rowan Blackshaw?	Kennen Sie Rowan Blackshaw?	Why are you asking me that? - Because Simon Moran was her boyfriend. - Fiancé.	 
As long as [pr] doesn't try to convert me I don't care if [pr] becomes a Hare Krishna or neo-Nazi.	Hauptsache, sie fängt nicht an, mich zu bequatschen, dann können das von mir aus Hare Krishnas oder Neonazis sein.	As her friends we have to support her, no matter what. - She's still Angela, our oldest and dearest friend. - You leave Claudia to me.	 
An interesting sensation, to say the least.	Ein interessantes Gefühl.	And now you're in control of Seven's body? - Total control, it seems. - What about Seven? Is she all right?	 
Blair should be wrapping up [pr] breakfast with Beatrice.	Blair sollte ihr Frühstück mit Beatrice haben.	I have her doorman on retainer. - Be careful. - There's a fine line between surveillance and stalking.	 
Hey, Casey, we're neck-and-neck with your old pal, Welch.	Hey, Casey, sieht so aus, als wären wir Kopf an Kopf mit unserem alten Freund Welch.	Don't worry, Casey, I got this. - I'm not interested in a pissing contest. - If Welch wants this fire, he can have it.	 
Not a word from Peyton in three months.	Drei Monate kein Wort von Peyton.	And then she just shows up? - Yeah, my left nut you went to third base with Jolene Fisk. - You don't got to believe it.	 
An Indian girl was asking about you.	Eine Indianerin fragte nach dir.	Maybe she can help. - Where...? - How did you get...?	 
An hour ago, we were ready to throw Dean into a padded cell, and now you say he's our best chance?	Vor einer Stunde waren wir bereit Dean in eine Gummizelle zu werfen - und jetzt sagst du, dass er unsere beste Chance ist?	Hear him out, Sam. - Oh, right. - Excuse me.	 
[pr] driver's licence says Barbara Carey.	Im Führerschein steht Barbara Carey.	Notice she got shot, just like the last guy. - -Yeah, I noticed. - -Thought I'd mention it.	 
And the front line is in Salem.	Und der Kampf findet in Salem statt.	Cotton Mather. - It is the elders' will that you shall, as your father intended, continue his work at the north Boston church. - You are confined to Boston and... forbidden from returning to Salem.	 
An anonymous tipster will report That they saw bundsch pushing jenna lombard into [pr] vehicle.	Morgen früh wird ein anonymer Tippgeber berichten, dass er gesehen hat, wie Bundsch Jenna Lombard in sein Auto geschubst hat.	Her hair will be found on his backseat. And he will go to prison. - Not elegant, but it doesn't have to be. - It has to be fast.	 
For Dr. Campbell, it was the opportunity he'd been looking for. Among other things, [pr] could examine how [pr] observations about liver cancer in Filipino children and the findings from [pr] lab studies applied to a large human population.	Dr. Campbell bekam nun u. a. die lang ersehnte Gelegenheit, seine Beobachtungen in Bezug auf Leberkrebs bei philippinischen Kindern und seine Laborergebnisse in einer breit angelegten Studie an Menschen zu überprüfen.	The project would consider 367 diet and health-related variables, making it one of the most ambitious nutritional studies ever conceived. - Dr. Campbell and his associates carefully chose 65 counties scattered across China. - We used the rural counties because they are stable in their residents, and they have been in this lifestyle for at least 20 to 30 years.	 
No minister before Parris ever demanded the deed to the house we lend him.	Kein Pastor vor Parris verlangte die Urkunde seines Hauses.	The meetinghouse had pewter candlesticks upon the pulpit. - When Mr. Paris came, he preached nothing but golden ones until he had them. - When I look to heaven and see my money glaring at his elbows, it hurt my prayer, sir.	 
Can you imagine? An entire city in love?	Eine ganze Stadt verliebt?	At least it will wear off after 48 hours. - No, not if she uses the 100% solution. - It's permanent. Permanent?	 
[pr] buys a first-class ticket from Milan and at each stop takes pictures with [pr] supporters that are supposed to be marching with him.	Er kauft in Mailand eine Fahrkarte erster Klasse und an jedem Halt lässt er sich mit Anhängern fotografieren, die mit ihm auf dem Marsch nach Rom sein sollten.	When he arrives at the Italian capital King Victor Emmanuel hands him power because this is the decision of the industry owners of northern Italy. - Hitler thinks he can march in Berlin in 1923 with the so-called Beer Hall Putsch in Munich. - He has not yet understood that no fascist ever came to power without the permission of the industry owners of his time.	 
Why are you tailing Marlowe?	Warum folgten Sie Marlowe?	All right, there's no harm telling. It was for Joe Brody's girl. - She's got to get out of town, that takes dough. - She figured she could get it through Marlowe.	 
There wasn't anything we could do but pile Jackie Boy in right next to me. Out where anybody who cares to look will see him.	Uns blieb nichts anderes übrig, als Jackie neben mir hinzusetzen, wo jeder, der will, ihn sehen kann.	Go ahead. - Take one of his cigarettes. - It'll help.	 
An envoy from Pompey has arrived.	Ein Gesandter von Pompeius ist eingetroffen.	What of Tiberius? - He does not stand among them. - Imperator Crassus.	 
Lin ordered the hit on My wife.	Lin hat den Mord an meiner Frau befohlen.	You don't know that. - You don't know... - Gemma saw two of his Guys leaving my house that Night.	 
Well, he's pissed at me because I used [pr] name with Dr. Blair.	Was ist mit ihm? Er ist sauer auf mich, weil ich seinen Namen gegenüber Dr. Blair verwendet habe.	You know how he is about privacy. - He seemed like he was worried about more than just his privacy. - Well, he does have a lot on his plate right now. Oh! Whoa!	 
Our Krishna will become a world famous celebrity!	wird unser Krishna auf der ganzen Welt berühmt!	There's something about our Krishna! - He fooled us so convincingly. - In India, as KaIicharan, and here, as Krrish!	 
Instead, I believe these are omens sent from the almighty to tell us we must all leave Salem continue our exodus south to the Carolinas, to a land which was settled and owned by my family for two generations,	Im Gegenteil, ich glaube, das alles sind Omen, die uns der Allmächtige schickt, um uns mitzuteilen, dass wir alle Salem verlassen sollen. Und unseren Exodus nach Süden zu den Carolinas weiterführen sollen, in ein Land, dass von meiner Familie besiedelt wurde und ihr seit zwei Generationen gehört.	where the soil is fertile, where a puritan man may plant his seed and watch his family grow. - Our promised land awaits. - And so, humbly, I stand before you, divinely called to be your Moses and lead you there!	 
The last person [pr] texted before [pr] died was Tommy Merlyn.	Die letzte Person, der sie simste, bevor sie starb... war Tommy Merlyn.	He said he didn't know her. - Merlyn has two collars for possession, one with intent. - Yeah, that was over five years ago.	 
An angel, eager to lead [pr] people home.	Ein Engel, erpicht darauf, seine Leute nach Hause zu führen.	This is bad. - This is really bad. - She can't explain this one away.	 
There's a car rental place in Cedar City about an hour away.	In Cedar City, etwa eine Stunde von hier, gibt's eine Autovermietung.	They're holding a car for us. Oh, good. - I called Michelle to tell her we'd be late.	 
I got Casey to fake [pr] own death.	Ich überredete Casey, sein eigenen Tod vorzutäuschen.	And now he can't defend himself. - This is all my fault. - Call Tactical. I want a hundred men locked and loaded, ready to go on my command.	 
A - An ordinary man becomes sentimental when [pr] sweetheart betrays him.	Ein normaler Mann wird sentimental, wenn seine Liebste ihn betrügt.	He beats her and cries... tears his hair out... Does a bit of knifing. - All this is so noisy and untidy. Really far too tiring. - This looks very good.	 
I found this page with Uncle Jackie on the Web.	Und dann hab ich die Seite mit Onkel Jackie im lnternet gefunden.	It said he ran some union that ripped off these pension things or something. - Uncle Jackie was a complicated man. - But you loved him, right?	 
Yes or no, Mrs. Campbell?	Ja oder nein, Mrs. Campbell?	Yes. - And did your husband know that you gave these orders? - No, he didn't.	 
I was too young when I met Isa.	Ich war zu jung als ich Isa traf.	And now... she stifles me. - But when I'm with you, I feel so good, relaxed. - Maybe I find your presence reassuring.	 
I set you up with the Chinese, a guy called Henry Lin.	Ich bringe euch mit den Chinesen zusammen, einem Kerl namens Henry Lin.	He can get comparable weapons from Gaza... - German snipers, - Kassams, anti-tank missiles.	 
I went to the Caspian sea with grandma where I filled my lungs with this unique air. An air like nowhere else.	Ich reiste mit meiner Oma ans Kaspische Meer, wo ich meine Lungen mit dieser ganz besonderen Luft füllte, wie es sie sonst nirgendwo gibt.	Then I promised grandpa that he'd be proud of me. - Then I wnet behind the prison where my uncle Anouche was resting, somewhere next to thousands of innocents. - I promised him to try to be true to myself as much as possible.	 
Blair is a problem for both of us.	Blair ist für uns beide ein Problem.	- He is not an easy man to kill. - - That's why you need my help. - I ran a test on the President's blood.	 
I'm sorry I'm here, but Jackie's disappeared.	Tut mir Leid, dass ich störe, aber Jackie ist weg.	I looked everywhere. I can't find him. - You got any idea where he might be? - Jack.	 
[pr] was one of the women accused of witchcraft in Salem.	Eine der Frauen aus Salem, die der Hexerei beschuldigt wurden.	- She was hung during the trials. - - Wow. - After Bathsheba married Jedson, they had a baby and when the baby was 7 days old Jedson caught her sacrificing it in front of the fireplace.	 
Nikki left with Jackie Johnny after the show last night. No one's seen them since.	Nikki ging mit Jackie Johnny nach der Show gestern Abend und niemand hat sie seid dem gesehen.	Well , we need to find this Jackie Johnny and fast. - In less than 16 seconds, The dead girl who was not dead Would be involved in the smallest of ironic coincidences. - For just as she said to herself... I wish i were where the action were at.	 
Would you like to hear Master Marlowe's song:	Möchtet Ihr gern Meister Marlowes Lied hören:	-"The Passionate Shepherd to His Love"? - -Anything you please. - Please, Penelope, don't.	 
"An empty barrel reverberates loudly."	"Ein leeres Fass hallt laut. "	And today, my heart is that barrel. - Even though my father and I had our difficulties, he was a great man. - And, well, he always...	 
Just a few innocuous calls to Malcolm Merlyn.	Nur ein paar harmlose Telefonate mit Malcolm Merlyn.	Why wouldn't she call him? - They're old friends. - We're all old friends.	 
An hour. And it wasn't boring?	War das nicht langweilig?	Not at all, but nothing happened. - I knew it. - The guy spoke about conflicts with his peers. It was coherent, structured, well-argued.	 
Arnie Zelman seems to be getting all the death row publicity for [pr] client, Cyril O'Reilly.	Arnie Zelman scheint die ganze Todestrakt Aufmerksamkeit für seinen Klienten, Cyril O'Reily zu bekommen.	God, Zelman is a P.R. genius. - How's Hoyt's appeal going? - Well, through the testimony of various psychiatrists, some of whom have been treating Hoyt since he was 6 years old, I think I've been able to build a fairly solid case.	 
An American of the best type. So rare.	Ein Amerikaner der besten Art. Die sind selten.	Doubtless you know his monographs in the series of Medieval Byways. - Your father, I believe, Mr. Emerson, is a journalist? - - He used to be.	 
Blair wants to deal with this on [pr] own.	Blair will das alleine regeln.	Yeah, I bet she does. - Hey, uh, I'll talk to you later, okay? - Cookies were definitely a good idea.	 
Look, it was a very stressful situation, okay, Casey?	Versteh doch, es war eine stressige Situation, okay, Casey?	I watched a guy get skewered by a crossbow. - Look, Fleming knew something. - Right before he fell, he said, "I'm sorry."	 
An old man in the twilight of [pr] life.	Ein alter Mann im Spätherbst seines Lebens.	Could you make him stop that? - Stop banging that fork. - It's used for eating, not for playing with.	 
Is General Landry not expecting us at [pr] cabin?	Erwartet uns General Landry nicht in seiner Hütte?	I'll let him know we're going to be delayed a little bit. - I'm sure Colonel Mitchell will be very pleased to hear he's got more special alone time with the General. - Colonel...	 
If I ask for any Cristal champagne, Casey will know I'm in trouble.	Wenn ich nach einem "Cristal Champagner" frage, weiß Casey, dass ich in Schwierigkeiten bin.	She'll be fine. - Trust me. - It's not like it's her first time.	 
An entire empire brought to its knees by small furry creatures.	Ein komplettes Imperium wurde von kleinen pelzigen Kreaturen gestürzt.	- That's my point exactly. - - Leave him alone. - Dld you notice that everything that transpired ln those films, and I mean everything, can be attributed to the actions of one very minor character?	 
That [pr] was a much-Ioved king. An honest head of state. That sort of thing.	Dass er als König beliebt war, ein integrer Staatsmann und so, aber abgesehen davon soll er auch auf anderen Gebieten sehr aktiv gewesen sein.	He was also an inventor, for example. - Of all the inventions that can definitely be attributed to him, the game of chess is the most important. - - Chess?	 
What [pr] doesn't realize is that I have even less regard for Jackie than Raymond does.	Was er nicht realisiert ist, dass ich Jackie noch weniger achte als Raymond.	Poor Remy. - The heart can choke the mind when all its blood flows back unto itself. - He said, "I don't like brunettes."	 
Must have rented another room. An attic or a basement.	Er muss noch eine Dachkammer oder einen Keller gemietet haben.	Anywhere he could have used as a darkroom. - So why didn't the girl hand these over when she turned him in? - Maybe Conner still had enough sense not to tell her everything.	 
Rio's a long way away from Christophine?	Rio ist weit weg von Christophine.	Still sorry for me? - Yes. I'm sorry for you. - But I am sorry for her too.	 
We've had a wonderful time with little Stevie.	Wir haben uns toll mit Klein-Stevie amüsiert.	- Quite a boy. - Big for his age. - - Isn't he?	 
Wayne Campbell, 38 years old, found dying yesterday morning in [pr] holding cell in Long Beach, California.	Wayne Campbell, 38 Jahre alt, wurde gestern Morgen sterbend in seiner Zelle in Long Beach, Kalifornien gefunden.	He claimed someone was trying to kill him, so he purposely got himself arrested to be protected. - A strategy that didn't work out so great. - What is the C.O.D.?	 
- An educated guy? - Oh, yeah.	- Ein gebildeter Knabe, was?	He read a fortune cookie once. - Keep this number between us. - Lieutenant Smith?	 
That's when I met this Casey guy.	Dort traf ich diesen Casey.	I don't know who he was working for, but it wasn't me. - I told him to back off the witness. - He made a move.	 
And I want to be remembered as something more than Malcolm Merlyn's pawn.	Und ich möchte als mehr als nur Malcolm Merlyns Schachfigur in Erinnerung bleiben.	As you should. - But you know there was another reason for my reticence. - You're afraid people will learn that Robert wasn't her biological father.	 
[pr] drowned in the Rio Grande.	Er ertrank im Rio Grande.	Trying to get to that old Mex you're talking about. - He took two of the posse with him. - I'm sorry to hear that.	 
Merlyn was in Corto Maltese with Thea when this was going down.	- Merlyn war mit Thea in Corto Maltese, als es passiert ist.	Unless he wasn't. - I mean, Merlyn hid successfully for two years from the police and the League. - He's good at covering his tracks. So we uncover them.	 
You understand now my fear that you might have encountered the Natividad.	Jetzt verstehen Sie, dass ich fürchtete, Sie wären der Natividad begegnet.	Her capitán also is ignorant of the new alliance. - It happened, sir that last week we did encounter the Natividad. - You were wise to show your heels, capitán.	 
Jessie, get in here right now!	Jessie, komm sofort her!	Honey, eat it up before it gets cold. - Nathan, she wouldn't go out on the balcony, right? - She's not there.	 
No, ma'am. Mr. Adair, as far as I could fiind out, none of these people even knew the murdered girl.	Wir werden feststellen, dass keiner die Ermordete gekannt hat.	- Let's talk to this young lady. - - Zita? I didn't know her. - She only joined the show a few days ago.	 
An insatiable, sex crazed, orgasm, obsessed, creature.	Eine unersättliche, sexsüchtige, Orgasmus besessene Kreatur.	That night changed me. - But the changed him too. - Jack no longer wanted to make love to me.	 
But if anything happens to Michael, then God help you, Jackie.	Aber wenn Michael etwas zustößt, dann helfe dir Gott.	For he will suffer. - How much am I worth to you, Jackie? - Oh, Annie... How much?	 
A forest fire! An abduction by balloon!	Sehen Sie einen Waldbrand, eine Entführung im Ballon!	And you shall see me, the one and only, the inimitable Anselme Deburau, who performed in the harem before the Grand Turk and his 82 Turkesses! - But fear not! Inside you won't see this one here. Because he's a do-nothing! - A dolt!	 
Milan was a government agent.	Milan war ein Agent der Regierung.	He betrayed us. - Joined hands with the enemy. - We have been hiding this from the people.	 
How did Nerese Campbell get it?	Wie ist Nerese Campbell da rangekommen?	You think I asked? - Do you think it even matters? - She gave it to me because she thought you'd listen to me.	 
Look, I know I'm only Charming Harley, the housewives' delight.	Ich weiß, dass ich nur der charmante Harley bin.	I know I was only a compromise candidate for vice president or I wouldn't be here. - I never expected to be president, and I hope to God I never will be, and I mean that. - But the town's boiling with rumors about his health.	 
An evil warlock who demands constant obedience.	Ein böser zauberer, der keinen widerspruch duldet.	He had 7 rebellious fiancées. - He cut their throats and buried them here. - La goulette - tunisia - north africa a white town on a deep blue sea where rich and poor... live together peacefully.	 
I want you to know that I flew to Rio de Janeiro.	Ich will, dass Sie wissen, dass ich in Rio war.	I found Dr. Elliott. - I also know that you were there and I know why. - Yes, I did visit him in Rio. After all, we're old friends.	 
An examination, testes et pendentes, is required.	Eine Begutachtung der Genitalien, testes et pendentes, ist notwendig.	And Cardinal Borgia is happy to comply. - Can there be any doubt that the good cardinal is male? - Not if we count his children.	 
'But what we don't have is direct testimony' 'that someone saw Andrew Campbell' 'at the scene of a crime.'	Aber was wir nicht haben, ist eine direkte Zeugenaussage, die besagt, dass jemand Andrew Campbell am Tatort sah.	'Ultimately, that could decide' if he walks away or pays for what he's done. - I did see him. - Once, I saw his face.	 
Belongs to our friend Riley.	Es gehört unserem Freund Riley.	Fake cop needs one for his day job and one for special assignments. - What're we waiting for? - We should put Elias down now while we have the chance.	 
My immediate concern is with Tam Elbrun.	Ich mache mir wegen Tam Elbrun Sorgen.	Starf.leet considers him crucial to our mission, yet he seems to me... unstable. - According to his medical records he's very high on the ESP scale. - A sort of... prodigy.	 
Salem's affairs are every man's affairs.	Salems Angelegenheiten sind jedermanns Angelegenheiten.	But in fact, I come as a family friend to offer solace and spiritual advice to Anne Hale. - Well, truly, sir, if you had any concern for her well-being, surely the kindest thing you could do would be to stay miles away from her. - I'm sure her father would...	 
- You wanna see the Sol Lewitt? - Sure.	- Willst du die Sol Lewitt sehen?	That'd be fun. - You wanna see that? - He opens at the Modern soon.	 
An extension of [pr] eyes and ears.	Eine Verlängerung seiner Augen und Ohren.	And with it he now knows as much as we. - It's a race then. - A duel.	 
Ming-Tai not my friend. I just met her.	Ming-Tai ist nicht meine Freundin.	jackie: Ming-Tai is her name? - Can you tell us her last name? - Where does she live?	 
