formality	src	src_ctx	trg
neutral	 	Now I'm gonna tell you my whole plan ... and then I'm gonna come up with some absurd, convoluted way to kill you... and then you'll find an equally comnvoluted way to escape. - That sounds good to me. - Well, this ain't that kind of movie. - No - Is he dead?	That's usually what happens when you shoot someone in the head.	C'est souvent ce qu'il se passe quand on tire dans la tête de quelqu'un.
neutral	 	Thank you, Russ. - My cousin-in-law, whose heart is bigger than his brain... - I appreciate that. - ...is innocent. - I'll be more than happy to take the rap on this on behalf of myself and every other employee you rear-ended this Christmas.	Sometimes things look good on paper, but lose their luster when you see how it affects real folks.	Parfois les choses paraissent bien sur le papier... mais perdent leur attrait quand on voit combien ça affecte les gens.
neutral	 	Now, don't worry. You'll die slow. - I wanna feel every delicious moment of your pain. - Come! - [ Gabrielle ] Xena. - Alti just left.	If we're gonna bring her back to the past and beat her, you'd better start painting.	Si on veut la ramener, commence à peindre.
neutral	 	It's her. - You think I don't know my own wife? - Charley. - All right, babe. - I need you to pay attention right now. okay?	The first night you and I ever made love,	La première fois où on a fait l'amour, où était-ce ?
neutral	 	You know, we missed a lot of good stuff the day after Christmas. - Been a hell of a week, hasn't it? - Life is a pain in the ass. I'll tell ya. - You work hard, try to provide for the family, and then, for one minute, everything's good. - Everyone's well. Everyone's happy.	In that one minute, you have peace.	L'espace de cet instant-là, on a la paix.
neutral	 	Hi. - I'm Melanie. - I'm gonna be leasing the place. - I've been the caretaker of this house for 50 years, but you can kick me out. - - Oh, no worries.	If you can escape from the Nazis, you can handle anything.	- Pas de problème. Quand on peut échapper aux nazis, on peut tout supporter.
neutral	 	well, partly because this building is an architectural gem and deserves to be landmarked. - partly because people do need a place to do senior's water ballet and CPR. - preferably not together. - But mainly because this person, despite being unusually stubborn and unwilling to compromise and a very poor dresser, is.... - She's rather like the building she loves so much.	A little rough around the edges, but when you look closely absolutely beautiful.	Un peu rêche en apparence, mais quand on regarde de plus près... absolument magnifique.
neutral	 	Them's her children. - She's got four children? - Now, son, I didn't claim they was her natural-born children. - Their own precious mother, precious woman passed away July the 4th, Independence Day, 1955, the year of the drought. - When I married Lula Mae, she was going on 14.	Now, you might think the average person going on 14 wouldn't know his own mind.	On pourrait croire qu'à 14 ans, on ne sait pas ce qu'on veut.
neutral	 	Luckless guesses it's safe to come out and it dawns on him that he doesn't know the way home. - All night long, Mother keeps a vigil for her little lost one. - He's never slept alone, and in the middle of the night some big animals come sniffing around. - He tries to lie very still and pretend he's only a stone but he's very frightened. - When a baby wart hog gets separated from its mother, it'll try to find a substitute.	It's not easy to get yourself adopted when you have a face that only your mother can love.	Mais ce n'est pas facile de se faire adopter... quand on a un visage que seule une mère peut aimer.
neutral	 	What's to stop progress nowadays? - War! - Firstly, there isn't going to be a war, and secondly, war doesn't stop progress. - It stimulates progress. - Yes, war can be a highly stimulating thing.	But you can overdo a stimulant.	Mais on peut abuser des stimulants.
neutral	 	We'll let you know when we're ready down here. - We'll set off the charges at the same time. -Out. - Well, we got our hands full. - We can't plug these up quick enough for me. - Well, we got three holes to blow.	You think we got enough dynamite?	- On aura assez de dynamite ?
neutral	 	There's plenty more where that came from. - Look, I was just googling record lengths of stuff, and apparently there's a guinness world record for the biggest pillow... or blanket fort. - So you boys... - you should go for it. - Put this school on the map.	We'd have a better chance of setting the record if we made this a blanket fort, you know, take less time.	On a plus de chances de battre le record si on fait un fort en couvertures, ça prend moins de temps
neutral	 	And how you gonna do that? - We're breaking out of here. - How? - - It starts in our cell. - - In our cell?	To tell you the truth, it's already started.	A dire vrai, on a déjà commencé.
neutral	 	What are you doing? - Making sure the room is airtight, my friend. - What are you doing? - You must be insane. - No, no, no, Mr. Hagar, let it burn.	But you've got to put it out or we'll all suffocate...	Mais il faut l'éteindre, on va suffoquer.
neutral	 	You broke my blender. Yeah. - Well, I was trying to make gravel and it just... - It just didn't work out. - Why were you making gravel?	Well, I like the sound it makes when you walk on it.	Ça crisse quand on marche dessus.
neutral	 	Actually, I'd like to hear more about Mama's wild oats. - If your uncle values his life, you never will. - You and Mom seemed to have a pretty good system for raising us up, Dad. - Well, it wasn't really a system. - We just believed in letting you all live your own lives.	For the most part, and... if you look around the table, it turned out pretty well.	Pour le principal et... quand on regarde autour de cette table, ça a plutôt bien marché.
neutral	 	You know,like,uh,you and michael. - Well,look,I-I know you're all busted up about cassie,but chompin' pills? - That's kiddie hopper shit. - Okay... it's very important to me that you straighten your shit out. - Understand?	You and me,we got a little bond.	Toi et moi on a un petit secret.
neutral	 	It's the fourth gym suit you lost. - Why do you think that happens, Marit? - Because I have a job, right? I'm trying to make money, so we can afford to buy a gym suit. - Now you take these and buy as much gym suits you have a new set for each fucking gymnastics lesson in his life. - Have a nice day.	I've talked with my lawyer and we propose a new scheme in which he stays ten days with me and four with you.	J'ai parlé à mon avocat. On préfèrerait 10 jours chez moi, 4 chez toi.
neutral	 	The minister's getting into his clothes. - Let me be the first to congratulate you. - If I knew how to pray, I would. - The mountains are very beautiful. - There are steep valleys in there that take your breath away.	Places where it seems like if you knew the right words, you could talk to God.	Des endroits où, si on avait les mots, on pourrait parler à Dieu.
neutral	 	What's wrong, Koino? - Mon honey. - What happened? - Huh? Your face. - This?	I started working at a bar, a weird place you can read manga.	J'ai trouvé du travail dans un bar, un endroit bizarre où on lit des mangas.
neutral	 	Right. Okay? - What the hell do you think you're doing? - I'm just following the doctor's orders. - I cannot believe this is happening. - Try being me.	I mean, you meet someone in a bar, you have a few drinks, a few laughs, you make out in the car.	On se rencontre dans un bar, on boit un peu, on rit, - on se pelote dans la voiture...
neutral	 	I don't know what the hell you think you're doing to yourself, Tim. - You're completely dehydrated, your body went into shock, and whose wouldn't? - I don't understand what you're trying to do to yourself. - The front desk can't get a hold of Billy to come down and pick you up. - Yeah, he's probably screwing my ex-girlfriend.	And we can't release you without an adult signature.	Et on peut pas te laisser partir sans la signature d'un adulte.
neutral	 	You're gonna get it, Mr. Boston Globe All-Star. - Two-time, actually. - Yeah. - You always get everything. - Congratulations, Sean.	Oh, you never know, Gerard.	Oh, on sait jamais, Gerard.
neutral	 	All right fellows, get your gears together. - Jake, Killer, Super Jack, Diesel. - Assholes in our polls, gentlemen. - Let's go. - Toby!	You deal with these guys, we're gonna need some serious gear.	Pour s'occuper de ces types, on va avoir besoin de matos.
neutral	 	It's happening again! - What are you talking about? - My sexsomnia. - Your what? - Yeah, it's like sleepwalking, except...	Instead of using your legs, you use your... you know.	Mais au lieu d'utiliser ses jambes, on utilise son...
neutral	 	You... you mean... you mean me? - Your way is gonna destroy this place. - It's gonna get people killed. - It's already gotten people killed. - And i'm not gonna stand by and just let it happen.	If you don't fight, you die.	Si on ne se bat pas, on meurt.
neutral	 	Sounds good? - It's because I'm the best guitar player in the world. - Self-taught. - No lessons, thank you very much, Pop. - They'll be divorced in a year. Very good.	I think we all know that when you fall in love... the emptiness kind of drifts away.	Nous savons tous que quand on tombe amoureux, c'est comme si sa vie n'était plus vide.
neutral	 	Oh, my God! - You just got out! - I'm sorry. - Well, I guess we're even. - Wait a minute.	Michael, you don't offer a woman money if it's been nice.	On n'offre pas d'argent à une femme si on a pris son pied.
neutral	 	- Sit down, Mr. Dodsworth. - You do need soothing. - I've been having such a good time on this trip. - Everybody's so nice. - There's nothing like a first trip to Europe.	Especially when you're old enough to know what you're after.	Surtout quand on est assez vieux pour savoir ce qu'on cherche.
neutral	 	That's the purest style and that's the style that Joe and I had climbed Siula Grande. - It's a very committing way of climbing, because you have no line of retreat. - If something goes wrong, it can be very very serious. - There's no rescue, there's no helicopter rescue and there's no other people. - There's no margin for error.	If you get badly hurt, you'I probably die.	Si on est gravement blessé, on en meurt.
neutral	 	- I am so pissed at this company. - And Jim. - Who said that? - I think it was Creed. - It's going really well, actually.	Each Boston Baked Bean represents half a percent raise, we each got 24 beans, so the idea is you place the bean on the picture of who you think deserv...	Chaque haricot représente 0,5 % d'augmentation, on a 24 haricots, donc on place un haricot sur la photo de celui qui, selon nous, mérite...
neutral	 	Knock, knock. - Hi. We're just here to drop off the newspaper bag. - You're the folks whose kid is quitting the route. - Yeah. I'm so sorry. - You got our e-mail?	Oh, sure, sure. 'Course, in my day, when you quit a job, you looked a man in the eye and told him you were quitting.	À mon époque, quand on démissionnait, on venait le dire en personne.
neutral	 	No, I understand. - It's either in your heart or it isn't. - It's in your heart, sir? - I was boxing pro at 17, Bud. - Winning too.	You know, when you hit a bloke properly it's like it strikes a chime in your viscera.	Quand on frappe juste, c'est comme un carillon dans les tripes.
neutral	 	Sarah, darling, this business has all been too much for you. - I'm taking you back to the country with me. - It's no good saying no, because I've made up my mind. - Now, let's see. - Yes.	If you pack quickly, we can catch the next train.	Si on se dépêche, on peut attraper le prochain train.
neutral	 	Help me! Oh, my God... - We can't come inside. The line's too long. - If you come out-- where are you? - Elena, please help me! - Megan, can you hear me?	Get outside and we can help you.	Sors et on pourra t'aider.
neutral	 	I don't know. I can't say. - You're so kind and generous. - You should have the sort of wife you really deserve. - Through no fault of yours, I've failed you wrecked your life. - I can't ask you to forgive me.	If you love a person you can forgive anything.	Quand on aime, on peut tout pardonner.
neutral	 	She's not divorced. - You could get caught up in some legal something or other. - I promise not to be with any other man for the next week. - Week? - You texted me so, uh, I hope that meant there's at least some possibility we can be friends again.	- Alice says she and I can be friends again. - I told her to text you.	Alice a dit que elle et moi on peut être amis à nouveau.
neutral	 	To read a book or a newspaper, to work, to listen, to speak... - When you can read a book, you discover stories... - Stories? - I've got a hundred. - It was spring.	I climbed to the peak with your friends, to the top of the mountain.	Avec quatre amis on est montés là-haut, au sommet de la montagne.
neutral	 	It isn't rigged, but it's not a true lottery, either. - Come here! - It's weighted to take into account genetic variance in a small gene pool. - Think about it. - We only have 600 people... to make billions.	So there's a chance, then, for you and me.	Alors on a une chance, toi et moi.
neutral	 	Your mind always got to be working, and that's how you learn tricks. - That's how you progress the sport. That's everything. - Your mind's gotta be open. - I think the next level in snowboarding is starting to happen now. - I mean, all of us have learned all these freestyle tricks.	So, we're all starting to take that into the backcountry where the elements are unpredictable, and you can't necessarily see over the next thing where you're gonna land.	On commence à transporter ce bagage là où ce n'est pas développé... où les éléments sont imprévisibles... et où on ne peut pas toujours prévoir où on va atterrir.
neutral	 	Oh, exploit it. - Gotcha. - Yeah. Textbook CIA. - Look, Casey and I will be with you every step of the way. - Yeah, if the cougar gets a little hairy, you can always tap out.	Look, we understand if this makes you uncomfortable.	Ecoute, on comprend que ça te mette mal à l'aise.
neutral	 	You rotten bastard! - Slut, whore, harlot... - They'll all be strung up soon enough - Filthy deckhand! - Fuzzy-haired Sicilian!	What do you call someone like him?	Comment on appelle quelqu'un comme ça ?
neutral	 	Braulio just looks at him. - He served us the hot dogs without another word. - I made a mistake and took the wrong flight. - You didn't make a mistake, you discovered something. - What did we discover?	If you dress an elephant as a man, it would still make it into Bolivia.	Que si on déguisait un éléphant en homme, il arriverait aussi en Bolivie.
neutral	 	It's "the Cuban sandwich." - Nate, we're on our way to the courthouse. - Check it out. - The cop aliases I created are so foolproof, I was able to get an official squad car from the Boston P.D. - 8017, baby.	Maybe next time, you can get us a fire truck.	La prochaine fois on aura un camion de pompiers ?
neutral	 	Oh, look everybody. - Sunshine's awake! Ronaldo! - Even on a flesh wound. Ow, ow, ow, ow! - That must hurt. - Sorry.	Now that we're all here, and so happy, do you think we could all get along for three microts?	Nous voilà tous enfin réunis dans la joie et la bonne humeur si on essayait de s'entendre pendant trois microts ?
neutral	 	Why don't you move out and find a new roommate? - Yeah. - Turn around. ♪ Should I give up ♪ - ♪ Or should I just keep chasing pavements? - ♪ ♪ Even if it leads nowhere. ♪	Now if we're talking anaerobic exercises, that's a completely different story, because you're actually using your own body weight, which is an extremely efficient form of strength training.	Si on parle d'exercices d'anaérobie, c'est pas pareil. On utilise le poids du corps, c'est super efficace pour se muscler.
neutral	 	"T." All: - Dazzle. Thank you for the woodworking lesson, Ron. - This whole crib-recall thing has got me literally rethinking everything I thought I knew about parenting. - What sleep method will you be using-- - Ferber, Sears?	Swanson method, where you close your eyes and fall asleep.	La méthode Swanson, où on ferme les yeux et on s'endort.
neutral	 	How are you? Fine. - Saw your dad in the parking lot. - He's awaiting for me to ask Amy if she'd like to get something to eat. - I don't think there's anything wrong with that. - Dad, it's totally fine.	You've been waiting for a while, and Ben and I can go some other time.	T'attends depuis un moment, et Ben et moi, on peut sortir une autre fois
neutral	 	So you got me. - Can I say something? - I deal with a lot of people, but you two look truly happy. You're gonna make it. - I know. - Believe me. How do you know?	You can just look at a couple... and you can tell right away... they're gonna stay together forever.	Il suffit de regarder le couple... et on voit tout de suite s'ils seront ensemble pour toujours.
neutral	 	Damn! - Look, man, I'm sorry, all right? - I didn't mean to set you up, I promise. - -You mean that Foot Locker thing? -Yeah. - No, no, no, I'm over that, man.	-You and me, we got different business.	- Toi et moi, on a un autre business.
neutral	 	He never knew any women. - Move over. - No, you go home. - What's that? - Me and Sahachi are the longest tenants here.	And Sahachi's dying. You got no right keeping me from seeing him.	Et quand ce Sahachi, ce Sahachi... quand il va mourir, on voudrait m'empêcher de le voir ?
neutral	 	I know it's real. - OK. - This is the real one, definitely this one. - It's all solid. - It felt solid in the TARDIS too.	You can't spot a dream while you're having it.	On peut pas différencier un rêve quand on le fait.
neutral	 	Klara! - Klara! - Where is klara? - Grandpa is right. - You come in like a savage.	Not even a good day". It is no wonder. We know who made you a savage.	Ca ne m'étonne plus, quand on sait qui t'a rendu ainsi.
neutral	 	Free. - Free? - That's what we'll go as soon as we get you to Cruz. - Me and Boone. - We ain't always seen eye to eye to the law.	If we get you next to a rope, it'll make us even.	Si on t'emmène te faire pendre, on sera quittes.
neutral	 	How much did they pay you for that? - You pretend you've got balls. You hang up the phone in front of Mr Teodoresco. - You hang up the phone in front of him? - Hey, dickhead, do you see my pals over there? - You see them?	Dickhead, we're going to set you on fire.	P'tit couillon, on va te foutre le feu.
neutral	 	You can go, Ronald. - Hugo is still alive. - Yes, in Florida. - Scared to death of the Turks' revenge. - Bobby is dead.	You, me, and Adri are going to run this hash business differently.	Toi, moi et Adri, on va gerer autrement ce commerce de hasch.
neutral	 	And five of them: Da-da da-da da-da da-da da-da. Make a pentameter line, five iambs. - An lamb is like an anteater. - Very high in the back and very short, little front legs. Da-da! - Shakespeare's poetry and his iambics floated and descended through the pentameter of the soul. - And it's the soul, the spirit of real, concrete people going through hell and sometimes moments of great achievement and joy.	That is the pentameter you must focus on and should you find that reality all the iambics will fall into place.	C'est sur ce pentamètre qu'il faut se concentrer et si on trouve cette réalité, tous les iambes se mettent en place.
neutral	 	Did you guys say something about health code violations? No, no, no. - There's none of that here, sweetheart. - Uh, please, enjoy your lunch. - Dessert's on the house. Oh, okay. - Mr. Gonzalez, I need to recertify those reports.	Otherwise, we will be shutting you down... for good.	Sinon, on fermera l'établissement, pour de bon.
neutral	 	I do love her- - But I want to be with other girls. I want to date and have sex outside of a committed relationship. - You mean like any other 16-year-old guy that doesn't have a girlfriend with a baby. - I love John. - He's great.	I know sometimes in life, you'd rather ignore a challenge than deal with it.	Parfois dans la vie, on préfère ignorer un problème que de le gérer.
