formality	src	src_ctx	trg
neutral	 	i don't think so. - i had to hush those fellas up. - i've just had a revelation. - There's gold in California. - Well, this is a revelation, and i think the church... is about to find a new leader.	As captains, each of you are in charge of 1 00 people.	Como capitanes, cada uno está a cargo de 100 personas.
neutral	 	6, 000-degrees centigrade. - I kept thinking for sure there was a hole being burned in the bottom of the spacecraft. - You dig into the Earth's atmosphere a little bit and then come back out to relieve the heat load, then roll over 1 80 degrees and go back in. - It gets like a roller coaster.	Then finally you go slow enough that you're dropping straight down.	Finalmente la velocidad disminuye lo suficiente que uno cae directo hacia abajo.
neutral	 	- What was I supposed to do? ! - He was raping her, wasn't he? - Yeah. - And you ran. - What was I supposed to do?	What are you supposed to do when the ones with all the power are hurting those with none?	¿Qué debe uno hacer cuando los que tienen todo el poder lastiman a los que no tienen ninguno?
neutral	 	Nope. - Why the hell not? - Your fingers fall off?	Well, you move on.	Bueno, uno sigue adelante.
neutral	 	Say what? - He said, "Tell him I hope to see. - No, make her very happy. " - Want to play cards? - Subtitles: fernan58 fix Eurogroup_sub	You can't help everyone, but everyone can help someone.	Uno no puede ayudar a todo el mundo pero cada uno puede ayudar a alguien.
neutral	 	The hands of a brilliant musician... and one day, a great surgeon. - I admit it. - When I first met Stu, I was not quite sold. - He seemed unattractive. - He lacked intelligence and imagination.	He was missing that spark you look for in a man.	Le faltaba esa chispa que uno busca en un hombre.
neutral	 	Perhaps he was blackmailing her. - And she got tired of paying, and she decided to stop it for good. - Now that we have the weapon and all the perimortem injuries, I can input all the information and get us an attack scenario. - There was a lot of damage to the hands and arms, so it's very clear that Nolan was trying to fight off his attacker. - Yeah, but what's strange is that all the injuries are isolated to the hands, forearms and pelvic area.	Yeah, you'd think you would aim at the head if you were trying to kill someone, huh?	Uno apuntaría a la cabeza si quisiera matarlo.
neutral	 	Let me.... Let me talk to you. - -You have to stop me. - -Rape in progress. - Call it in. - -Paul, what are you feeling right now?	-How do you change what you want?	¿Cómo cambia lo que uno quiere?
neutral	 	Now,just to make sure that everybody knows who you are... try on one of these. - - Oh, that's so cool! - - Brought to you by those wonderful people at Hendrix... for all your hockey needs. - Fulton, there you go. - Coach.	Everybody take your own. I'm not gonna give 'em out to everybody.	Cada uno agarre el suyo..
neutral	 	It won't last. - Finally, it goes by fast. - When you're okay, that's when it's scary... - You know that one day it'll all be lost, and it's unsupportable. - It's unsupportable, and the rest doesn't matter.	When you're hungry, time drags...	Cuando uno tiene hambre el tiempo no pasa más.
neutral	 	No-one could find a likely candidate. - And then the answer came from a couple of fossil species that they had known almost from the very beginning. - One of the strangest fossils found here is this. - It's also one of the commonest. - But what is it?	Well, it has what looks like legs, so you might think it was some kind of caterpillar, or shrimp maybe.	Bueno, tiene lo que parecen ser patas, así que uno podría pensar que era alguna especie de oruga, o de camarón tal vez.
neutral	 	What friend, Marcus? - Marcus! - First you lie to me about stealing a car and now you're covering up for one of your gangster friends. - How am I supposed to belive you're not in a gang? - How's your mother supposed to believe that?	Ma'am, you can say you ain't gonna be in no gang but that don't make the gangs go away.	Señora, uno puede rechazar a las pandillas. Pero eso no hace que desaparezcan.
neutral	 	Gang fights. - Always getting rousted by the cops. - I suppose if we had guns like gangs do nowadays I'd have shot every cop on sight. - Parents never seemed to care. - Teachers, they forgot how to care.	As you grow older, you begin to realize what cops are all about.	Cuando uno crece, se da cuenta cómo son los policías.
neutral	 	The funkiness and... the sort of primal stuff that he wanted was fiinally coming out. - People who listen to Miles can listen to the same tracks over and over and over. - Doesn't matter how, even if it's a bad night, you're listening to this sound. - But what is that, I think was his... his... that's the trance, I mean he was... doing something a trumpet wasn't supposed to be able to actually do. - Some effect to your body when you listened was being achieved.	If you see a band who's working on this thing... and they're all willing to be ignorant of it... even though their heads are very together.	Si uno ve una banda trabajando en esto... y todos quieren desconocer la cosa... también así están juntas las cabezas.
neutral	 	And the reason my mother took me there was because... she wanted to return to this country and work with my father. - Because, in her head, all she wanted was to make sure... she would be able to buy a home for the family... and also, to educate her four girls. - She wanted all of us to have a college education. - That was very important to her. - So, I went there, and I stayed for seven years.	[Woman] When you started school here in Barbados... you went right into reading and writing and arithmetic.	Al comenzar la escuela en Barbados... uno empezaba con lectura, escritura y aritmética.
neutral	 	How about that snappy opportunity for young man with money to peddle an invention that does things that's never been done before. - -Where's that? - -Oh, it's there somewhere, it always is. - Why do they put in ads that require money to invest? - I'm afraid that's your question.	-lf you had any money, you...	- Si uno tiene dinero...
neutral	 	Whose house is this? - It's my house. - I'll be living here soon. - Sure, honey. Can I come visit? - No. I'll be living on my own. You can't come.	Sometimes you get this bad taste in your mouth.	A veces uno tiene mal sabor de boca.
neutral	 	- Momma. - When you dream, there are no rules. - People can fly. - Anything can happen. - Sometimes there's a moment as you're waking and you become aware of the real world around you, but you're still dreaming.	You may think you can fly, but you better not try it.	Quizás uno piense que puede volar, pero mejor no lo intenta.
neutral	 	I'll see you later. - You seen this one? - Not very nice. - I'm used to it. - Anything familiar about it?	Familiar? When you've been around as many bodies as I have...	Familiar... cuando uno ha visto tantos cadáveres como yo...
neutral	 	It would have to be someone who hasn't heard the story. - Someone who is unencumbered by any emotional attachment. - Someone whose heart is so dark it cannot be swayed by pity, emotion or human compassion of any kind. - So that's the situation. - You present an interesting dilemma.	Each of you seemingly has a legitimate claim to the bicycle.	Cada uno parece tener un derecho legítimo sobre la bicicleta.
neutral	 	But I figured I owed it to the ladies. - Do you ever stop giving? - It's hard for doctors and nurses to be long-term friends, - His O2-sat's dropping. - He just needs respiratory treatment.	When you start out the nurses know more than you,	Verán, cuando uno empieza, las enfermeras saben más que uno.
neutral	 	We just sat there by her bed hoping she was asleep. - But she wasn't. And we knew it. - In the end I had to call grandmother. Dad just couldn't. - Come here, little darling. - Why do we say such stupid things to each other?	Because you forget to think.	Porque uno olvida pensar.
neutral	 	I only meant you're not going to get anywhere with that tenor. - Why do you think he keeps a wife around? - Because wives are handy. - Oh, it's just that I don't want him to put anything over on you. - It's easy to handle a man if you're not too much in love with him.	Gee, Sandra, why can't the men you want have the things you want?	Sandra, ¿por qué los hombres que uno quiere no tienen lo que uno quiere?
neutral	 	...one, two. - I called everybody. - - Good! - - Yep. - You scared, Shirley?	Ain't no room for fear when you're this tired.	No hay lugar para el temor cuando uno está tan cansada.
neutral	 	I believe that some houses have their own inner life that may or may not be conscious. - If there was once consciousness in Rose Red, it manifested itself early. - The Seattle of 100 years ago was a different world, more different than any of us can imagine. - Survival was an actual issue, not a TV show. - Fortunes were made, often by bandits in tall hats.	You could get out of the way or get run down.	Uno podía quitarse del camino o dejar que lo atropellaran.
neutral	 	This one's from later-- an hour after the first pic. - And look at her cup. - Now it's green. - Well, maybe it's a mistake. - Take my word for it.	You know what cup you're carrying at a stoplight party.	Uno sabe el vaso que está usando en una fiesta semáforo.
neutral	 	[chuckles] Chairing the foundation, your father's idea? - Yeah. - Got your eye on Cornell? - That's the plan. - Look, very few kids grow up wanting to be lawyers.	I mean, growing up you wanna be a ball player, an astronaut, a rock star.	Quiero decir que de niño uno quiere ser futbolista astronauta, estrella de rock.
neutral	 	Yeah, no, that's... - That's good. That's what I want. - I know it's a good thing, raising the money and that, 'cause we need it. - But, I can't take them calling me a hero. - All I did was try not to get shot.	Some of the things I saw done, things I did, they weren't things to be proud of, you know?	Algunas de las cosas que vi que otros hicieron que yo hice no son cosas de las que uno puede estar orgulloso.
neutral	 	There's nothing wrong with this place. - It's very quiet and private. - There's everything wrong with this place. - Forget about that. - Nobody comes here unless they're invited by me.	One has to be very discreet, you know, in my little sideline.	Uno tiene que ser muy discreto... en este "negocio "mío.
neutral	 	Hey. Where's Dudley? - Oh, Dudley. - Don't do that. - All right, you Del Fuegos... - Let's end this.	At least one of you came out to face the music.	Al menos uno salió a dar la cara.
neutral	 	She intended to kill his brother ? - You became unruly and disobedient . - These features have happening here in this dojo . - Will apologize to his brother . - Apologize for what?	' To reach your true potential ... you need to apply all the fight ... and do not contain under any circumstances. '	"Para lograr el verdadero potencial uno debe llevar todo a la lucha y no contenerse bajo ninguna circunstancia".
neutral	 	I could make my own springwine. - The Emissary's Special Reserve. - Could be a big seller. - I can't decide whether I should open up this wall, or keep the kitchen separate. - Open it up. Who wants to be locked away cooking?	You need to concentrate in the kitchen.	Uno necesita concentrarse en la cocina.
neutral	 	- And your underpants, socks optional. - [laughs] - I'm seriously asking you, how do you do it? - - Ifs reputation. - - You're famous. - - [sighs] No.	Although I don't see any reason to not use everything you've got in your arsenal.	Aunque no veo por qué no se puede usar todo lo que uno tiene en el arsenal.
neutral	 	- How he folded his ass into a space like yea- - Living in a 6-by-9 with three other soul brothers for a few years oughta be a cakewalk. - Everyone, you have reason to be proud. - Today's raid netted the largest cash of black tar heroin in Farmington history. - The chief asked me to convey his thanks.	Each of you will receive a letter of commendation from him personally.	Cada uno recibirá una carta de gratitud firmada por él.
neutral	 	I ain't trying to be in no church. - It's not like that. - She teaches a group session. - And she is really good. - I mean, she preaches but not like a preacher, you know.	She makes it clear so you can understand it.	Lo dice claramente para que uno entienda.
neutral	 	What I don't understand is, you used to_BAR_come to me to confide. - You used to ask my advice. - Now if you were doing that just to_BAR_figure out who I was... why did you keep coming_BAR_back after you knew? - You kept me grounded. - When you go undercover for_BAR_as long as I did... you have to find a center.	A place you can stay anchored so you_BAR_don't drift.	Un lugar donde uno puede anclarse para no irse a la deriva.
neutral	 	"Come to me for once" - "Come to me for once" - "Let's step into the wind" "Let's step into the wind" - "Let's fly" - "Where no one lives"	"Only in your eyes will I ever find such a place"	Dicen que uno puede encontrar un lugar así en los ojos.
neutral	 	Couldn't have any children. - But I loved her very much. - So you never remarried? - No. - When she died, I just... I don't know. I lost interest in getting married.	Once you've loved someone a certain way, you know you'll never love another like that.	Cuando se ama a alguien de cierta manera... uno... uno sabe que nunca volverá a amar así.
neutral	 	Only just. - So, what can I do to help the custodians of the law? - We're reinvestigating the murder of Alan White. - Ooh. - Time To Go.	It is after you've climbed up those bleeding stairs.	Después de que uno sube esas malditas escaleras.
neutral	 	Let's move on. - Did you hear me? - There's no one here. - Let's move on. - Look out!	It's not every day you get a chance to kill an officer, is it, Lieutenant?	No todos los días uno puede matar a un oficial, ¿no le parece, Teniente?
neutral	 	- No. - But... Why? - Ah, ladies... - No. - No... I don't know...	One has to work... you know.	Uno tiene que trabajar, ¿saben?
neutral	 	We'd still be running about scot free. - We'd still be running about scot free. - We'd still have those confused dreams, those hopes we were unsure of - And the desire to grow up very fast! - And the desire to grow up very fast!	All these problems begin once you've grown up	Todos estos problemas comienzan cuando uno crece.
neutral	 	It takes some effort... - We could go there together. I can show you around... and you say what you think. - Maybe do something to reintegrate these people. - That would be nice. - As a matter of fact, what they do... is sell crack over there.	How can you actually...?	Entonces, ¿cómo uno va a...?
neutral	 	It is...by definition. - Yeah, but by the time someone is right for you, it won't feel like settling. - And the only person left to judge you will be the 23-year-old girl with a target on your back. - So what's the plan for the evening? - Well, we were gonna hit that party for the tech conference at the hotel.	I didn't know you could just attend those.	No sabía que uno podía ir.
neutral	 	And what sort of business you looking to operate? - - Brothel. - Uh-huh. - Well, uh, I'll tell you what, this camp here, it seems like it's got some legs under it. - I'm just a whore though. - I mean, I run the whores for this man, but far as being ready to run a place and stand up to all you have to stand up to, I- - I don't know what got into me.	I'll tell you what, if something's ready for you to do something, it don't seem to matter if you're ready or not.	Le diré algo, si algo está listo para que Ud. Io haga, no parece importar si uno está listo o no.
neutral	 	Ll Commendatore has labeled the new independent designers - "garagistes", the men who cannot build engines. - Fangio is beaten in Buenos Aires by former feammafe and fastesz' rival, Stirling Moss, in a Cooper funny car, no less. - What Courage by these men, to push these cars and themselves to their very lim/fs! - (ma/e narrafor) Formula 1 was born in a bygone time when boys' heroes reigned in the sky.	(Nigel Manse/I) When you're young, you wanted to be a Formula 1 driver.	De joven uno quería ser piloto de Fórmula 1. Astronauta.
neutral	 	She's almost my age. - You saw her? - I know where you live. - You're spying on me? - Her breasts aren't great.	After a while with someone, you start seeing them differently.	Después de vivir un cierto tiempo con alguien. Uno termina mirando al otro de otra manera.
neutral	 	Walker, I have here a receipt from a restaurant named Le Jardin. - Two chef's tasting menus, couple of iced bottles of Pinot. - Doesn't sound like business to me. - After our couple's massage, he took me to Tiffany's. - Did he buy you anything?	- Everybody knows that you go to Tiffany's to browse, not buy.	Todos saben que uno va a Tiffany's a mirar, no a comprar.
neutral	 	"...with sorrows" - "Other than loyalty..." - "What crime did I commit?" - "Forging relations" - "Walking away"	"Sometimes you forge relations"	"A veces uno forja relaciones"
neutral	 	The first part is called "the pledge." - The magician shows you something ordinary. - The second act is called "the turn." - The magician takes the ordinary something and makes it into something extraordinary. - But you wouldn't clap yet, because making something disappear isn't enough. You have to bring it back.	Now you're looking for the secret.	Ahora uno busca el secreto.
neutral	 	Realize, Princess. I don't know what you're talking about either. - It's always like that. - You never understand anything. - Yes, it's always like that. - You never understand anything.	And one night, you end it in death.	Y una noche uno acaba por morir.
neutral	 	I can't see it. - It's there.	If you love God, it's there.	Si uno ama a Dios, está ahí.
neutral	 	If there had been a complication, you know whose ass would've been on the line here? - Mine! Not yours. - Mine! - You doctors in this residency, you think you can do whatever you want, whenever you want. I've got some news for you. - I am the attending! You are the resident...	But when the sun rises... you have to take responsibility... for what you did in the dark...	Pero cuando el sol sale hay que asumir responsabilidad por lo que uno hizo en la oscuridad...
neutral	 	And so I went back-to-school shopping with my mom. - I got new clothes and new nightmares all in one day. - - Miss? - Whoa. - I need the next size up in these pants for my little boy. - These are too tight in the crotchular region.	She wasn't want you'd call great with boundaries.	No era lo que uno llamaría una persona muy reservada.
neutral	 	The man who should be sitting here's the man who sent you those tapes. - The man that paid her to film me to set me up. - No one sent us those tapes, Veil. - We found them on her body. - She was still wired up when she was killed.	Guess sometimes you just get lucky on an investigation, huh?	Sí, a veces uno tiene suerte en una investigación.
neutral	 	Wild party. - I know it's stupid to be jealous about a dog. - It's probably because I have low self-esteem. - The fact that Fred hated every human except me... really meant something. - My father never gave me anything real.	I guess you give up things when you take on a friendship.	Uno deja ciertas cosas... cuando se involucra en una amistad.
neutral	 	Come on. - Let's go. - Stand up. - And i want you to look underneath your seat. - Go ahead.	Taped to the bottom, each of you will find a $ 1 bill.	Pegado en el asiento, cada uno encontrara un dólar.
neutral	 	- Oh, yeah. - I should say to our new... - Thanks, brother. - Get this party started. - I want you all to know how psyched I am... that my four best friends are with me. You know?	- Each of you guys mean the world to me.	-Cada uno significa todo para mi
neutral	 	And the word you will have said 2 million times is: - Yes! - Yes. - I want you to invite yes into your lives because it will RSVP "yes." - When you say yes to things, you embrace the possible.	You gobble up all of life's energies, and you excrete the waste.	Uno engulle la energía de la vida y excreta los deshechos.
neutral	 	Cupboard is bare. - Chinese gun source is laying low since the immigration snafu. - It's gonna be weeks before we see any of that shit. - We gotta tap our personal stock. - - All right.	- Everyone bring in what you got.	Cada uno traiga todo lo que tenga disponible.
neutral	 	Yeah, well, l-l-I was only trying to have my own promotional idea. - Yeah, yeah. Nice try. Okay, here's what I came up with. - A contest between you and Wolfgang for Montecito restaurant supremacy. A contest? - How? - How? What contest?	A cook-off. You each cook something, and we'll have judges choose which dishes are best.	Cada uno cocina algo y los jueces eligen los mejores platos.
neutral	 	You were probably very surprised when you read that. - Actually, after seeing the number of procedures...	When you've been around as long as I have, you gain some wisdom.	Cuando uno ha vivido tanto como yo, adquiere cierta sabiduría.
neutral	 	17 black, odd, manque. - And I was the player. - No more bets. - 32 red, pair, posse. - Pere like father Manque like loss.	Oh my, can you afford to lose so much?	Caramba, ¿puede uno permitirse perder tanto?
neutral	 	Don't you just love a salon day? - Yes, so peaceful and quiet. - Makes it so much easier to talk that way. - They have rules about that here. - I know.	When you think about what they do to those animals--	Me refiero a que cuando uno piensa lo que le hacen a esos animales--
neutral	 	Like Hickman said... magic. - You know how a magician makes something disappear? - By dropping something in front of it to make the background appear to be the foreground. - Did anyone understand what he just said? - I do.	They're changing what you think you see.	Están cambiando lo que uno cree que ve.
neutral	 	I argued with them. - I told them that what made me nervous was the wait, that 30-second delay, but he's set on it - he's going to use an actress. - Oh, he is, is he? - Over my dead body. - You'll go right back to Chicago, Sheilah, and do the show from there.	Sheilah, there are times when you just have to fight back.	Hay veces en que uno tiene que defenderse.
