formality	src	src_ctx	trg
neutral	 	But how anybody could've thought... she murdered that man is beyond me. I beg your pardon? You sit and relax a while. - I'll tell you all about it. - Oh, now, let's see. - I 'member the day they pulled that truck up out of the river. That same rainy, summer day... - Idgie Threadgoode was arrested for the murder of the owner of that truck, Frank Bennett.	I guess, to understand Idgie, you'd have to start way back with her brother, Buddy. Idgie was Buddy's pet from the day she was born.	Um Idgie richtig zu verstehen, muss man viel früher, mit ihrem Bruder Buddy, anfangen.
neutral	 	When you get upset, he thinks of her. - You're the bitchy girlfriend, and he'll pine for that crazy little fuck-bunny. - I still won't spy on him. - - Jesus! - If he leaves his stuff lying around, maybe he wants you to spy.	If it's on the floor, you can't help it, if you see something.	Und wenn was aufm Boden rumliegt, kann man ja wohl nichts dafür, wenn man da zufällig mal reinguckt.
neutral	 	Unharmed? - And you, ma'am, are to be tried for treason. - Me? - What has any of this to do with me? - That's the trouble with intrigues, isn't it?	With so many secrets, you can never quite be sure who's on whose side till the game ends.	Vor lauter Geheimnissen... kann man sich niemals sicher sein, wer auf wessen Seite steht, bis alles endet.
neutral	 	I must be a little too sensitive. - - What's for breakfast? - - Egg McMuffin on Broadway. - - He was supposed to come today. - - He came a day earlier.	You must expect that, Danny.	Mit sowas muss man rechnen, Danny.
neutral	 	Papa, I had to. - You know I tried so hard for so many years... just to keep you safe... to protect you... to make sure you had the good life. - I would rather have you. - Getting in Bison's way, it's a losing battle. - Why are you doing this to yourself?	Sometimes, you have to stand up... when standing isn't easy.	Manchmal muss man aufstehen, auch wenn es nicht leicht ist zu stehen.
neutral	 	Then I'd be the only guy. - No action movie would be complete without sweat. - I still ask myself if I did the right thing when I abandoned his floating city - And I don't mean only for the work fact is, a friend like that a real friend you won't meet one again - If you just decide to hang up your sea legs if you just want to feel something more solid beneath your feet	and if then you no loner hear the music of the gods around you	und plötzlich kann man die Musik der Götter nicht mehr hören.
neutral	 	- They're waiting for us... - - In a moment. - If you go easy on the stories, I'd love you to join me for golf tomorrow. - - That'd be terrific, sir. - - Super.	You wanna show a woman you know her, buy her a little something.	Um ihr zu zeigen, dass man sie kennt, muss man ihr was schenken.
neutral	 	My luck, I picked today to get to know you. - 3 months, I don't hear a word from you, and-- - You asked. - - Yeah. - And now I'm begging you to shut the fuck up. - I get a bad taste in my mouth out here.	Aluminum, ash, like you can smell the psychosphere.	Nach Aluminium und Asche. Hier kann man die Psychosphäre riechen.
neutral	 	It's basic common sense and arithmetic. - The difference between them paying me $800 a week... ... andyoupayingme$ 8,000aweek. - I think my cousin also likes the fact... ... thatyou'rein thetradition of Joe Kennedy. - Who? - Good.	Because you got to rob to get rich in the Reagan era.	In der Reagan Ära muss man nämlich klauen, um reich zu werden.
neutral	 	There are five more bodies to be found but it doesn't say who the bodies are. - What are you doing? - Something I learned from my father. - Take a step back. - Look at the whole picture.	Sometimes, you see things you wouldn't notice if you were up close when all you're looking at are the details.	Manchmal kann man Dinge sehen, die man nicht bemerken würde, wenn man zu nah dran an den Details bleibt.
neutral	 	I spent a while at a cake shop. - Actually, I'm doing the dessert tonight. - What does it mean? - An upward arrow? - Up, up, up?	If you lie in the bath you can sometimes see if there is anything.	Von der Wanne aus kann man manchmal etwas sehen.
neutral	 	I don't think that's a very accurate statement. - I drive the same car, live in the same house. - Oh, I was not referring to your car or your house. - The sea is so restful. - Mademoiselle, there is a certain progression to things.	In order to eat the lunch, you first have to catch the lunch.	Um Mittag zu essen, muss man erst einmal das Essen fangen.
neutral	 	The brakes on your father's car were deliberately tampered with. - The one thing that puzzles me is how the kidnappers knew that I would be driving P.J.'s car. - That Vince Barnes, he's craftier than I thought. - Oh, come on, Harry, he's an idiot. - A book cover is only skin-deep.	Sometimes you have to read every word to get the whole picture.	Manchmal muss man jedes Wort lesen, um alles zu verstehen.
neutral	 	I'd have called you. - Is he dead? - No, but still unconscious. - Three days already... - If he could be moved we could use him now.	Could you keep anyone alive like that?	Kann man jemand so am Leben halten?
neutral	 	There's nothing we can do. - That's not it. - Then what is it? You said I'd get a new bike for Christmas. - You got an airplane. - That's way better. Bikes are boring.	Everyone's got a bike. But you can't do anything with an airplane.	Mit einem Flugzeug kann man gar nichts anfangen.
neutral	 	What you're becoming... whatever it is, I don't want anything to do with it. - I'd rather be piss poor with my dad than $13 million Richer with whoever you are. - Holy mother of shit. - It's Eamon Quinn. - I thought he got life.	How many people you got to kill these days to get life?	Wie viele Leute muss man heut zu Tage töten, um lebenslänglich zu bekommen?
neutral	 	The dust from his clothes kept making me sneeze. - And he just laughed. - And the more that I sneezed, the more we laughed. - That was when I knew that we were both done for. - Later that night, he rode his horse right up the stairs to my room, kicked the banister right off.	What are you gonna do with a fella like that?	Wie soll man so einem Mann etwas abschlagen?
neutral	 	Like how to betray your friends? - How to shoot unarmed people in the back? - It's so much bigger than that. - How can I make you understand? - You see, every living thing, every grain of sand on a beach, every star in the sky is linked by an intricate web of causality.	If you can comprehend that web in its entirety, down to the movements of the smallest subatomic particles, then you can predict the course of events and alter them.	Wenn man dieses Netz in seiner Gesamtheit versteht, bis zur Regung des kleinsten subatomaren Teilchens, dann kann man den Lauf der Dinge vorhersagen und ihn verändern.
neutral	 	Then Lester got picked up on a routine parole violation, then broke out so Ted wouldn't walk off with his share. - - How's Marion doing with all this? - - She's still grappling with the idea that she affects the weather. - - You still believe that? - - And you still don't?	When you've ruled everything else out, you have to accept what's left.	Wenn man alles ausgeschlossen hat, muss man akzeptieren was übrig bleibt.
neutral	 	We don't belong here, it's just not natural. - This is all some kind of wacked out conspiracy. - We're going to the wide open spaces of Antarctica. - To the wild! - The wild?	You could actually go there?	Da kann man echt hin?
neutral	 	Buddy! - Michael, the antenna -- that shed is wired to blow. - If you have a better idea, now's the time. - (Michael) When an operative hears a gunshot, his first instinct is to identify where the shot came from. - When a civilian hears a gunshot, he might turn to locate the source of the shot or he might run straight for the nearest building, which is a problem if that building's been rigged to explode.	At that point, you may have to choose the small injury over the big one.	An diesem Punkt muss man eine kleine Verletzung einer großen vorziehen.
neutral	 	You were born for this war. - Things are less simple today. - Women have a way of complicating things. - Of all the kings of Greece, I respect you the most. - But in this war, you're a servant.	Sometimes you have to serve in order to lead.	Manchmal muss man dienen, wenn man führen will.
neutral	 	Oh. - Detective Frost, this is my first wife, Dana. - - How do you do? - - Oh, hi. - Wow.	Uh, how do you forget your wife?	- Wow. Wie kann man seine Frau vergessen?
neutral	 	No. - The Council will be more determined now. - I could override their decision but nothing would be served. - Authority should never be used as a club. - - Then why?	- When others do a foolish thing you should tell them it is a foolish thing.	- Trifft einer eine dumme Entscheidung, soll man ihm sagen, dass sie dumm ist.
neutral	 	"Not bad." Now you're the big lover. - Well, you know how it is. - Some guys have a way with women. - Shooting stopped. - I guess we missed the robbery.	You can't have everything. Mm-mm.	- Alles kann man nun mal nicht haben.
neutral	 	I mean, it's, um... it's, like, less than magic, but more than a hug. - The way I see it... it's the armor you put on every day. - The armor that... that it takes to get through every day. - It gets heavier and heavier as you live your life, you know? - Especially in here.	But when you look at Norma... you can take that armor off... because it's safe.	Aber wenn man Norma ansieht, kann man den Panzer ablegen, weil man sicher ist.
neutral	 	They're just guessing. It's a compressed vertebra, and some nerve damage... - - It all connects up. - - Compressed vertebra? - Yeah. But I may fool everybody. - I may be back on my feet a lot sooner than anyone expects.	On the other hand, you never know.	Andererseits kann man nie wissen.
neutral	 	Because there is only one thing for us, sinners that we are, to achieve perfection in the eyes of God through unconditional love for the word that is written, through unconditional love for the law. - I don't understand what you're saying. - How can you love a word? - Love words. - You cannot be in love with a word.	You can love another human being.	Einen Menschen... kann man lieben.
neutral	 	Of course, she doesn't know the difference between amusing and dangerous! - -Unlike you, Nancy. - -Really? - Well, you're so lucky to have David who is so dependable. - And amusing sometimes, too!	Don't you think these young people need saving from themselves?	Diese jungen Leute muss man doch vor sich selbst schützen?
neutral	 	And every Russian Spetsnaz team is trained to siege secure locations by surrounding, advancing, and synchronizing their attack. - Their discipline makes them hard to escape but easy to predict. - [ Muffled screaming ] (Sam) Sorry we keep meeting like this, Alexi. - An all-out coordinated breach has its advantages -- maximum force, the element of surprise. - But there are drawbacks, too.	If everyone goes in at once, you can find yourself locked inside before you realize your target has already left.	Stürmen alle gleichzeitig rein, kann man sich schnell eingesperrt wiederfinden, bevor man realisiert, dass das Ziel schon fort ist.
neutral	 	And, if we're quiet, we can catch-- uh, see them. - I don't want to see frogs doing it. - Sounds gross. - So gross. - But you know what?	Sometimes you have to confront reality.	Manchmal muss man der Realität ins Auge sehen.
neutral	 	Can you override the servers and place a new president in power? - A coup? - Are you suggesting a coup? - Is it possible? - I could write a reboot sequence and shut down the entire system.	And at that point... you could encode a new president, yes.	Dann kann man... den Präsidenten austauschen.
neutral	 	Did they just get it all out of the way before they had me? - We're supposed to eat this garbage? - I'm sorry. - - Do you want me to make you some eggs? - I want you to enjoy your goddamned dinner!	How do you trust your feelings when they can just disappear like that?	Wie kann man seinen Gefühlen trauen, wenn sie einfach so verschwinden können?
neutral	 	You be careful. - She'll help you with that. - You are some piece of work. - Hey, I got her out of your face, didn't I? - "Rooting and foraging"?	Tell people what they want to hear, you can sell 'em anything. What a lovely thought.	Sagt man Leuten, was sie hören wollen, kann man alles verkaufen.
neutral	 	[All scream] - We got this. - - Oh, my God, be careful! - [Both yelling] Little victories count for a lot around here... - Wow, this is good. - Even if you never asked to win in the first place.	And you have to enjoy those nice moments while you can.	Und diese Momente muss man genießen, solange man es kann.
neutral	 	What was it? - The dates! - The addresses! - Each family that you had me look up had previously lived in the house where one of the earlier murders took place. Each family? - All five of them? - - Yes.	When you put them in chronological order ... you can actually draw a line from murder to murder to murder.	Wenn man sie chronologisch auflistet, kann man es von Mord zu Mord verfolgen.
neutral	 	You two come join us. - Grab a chair. - Yeah, sure. - Why not? One quick drink. - Oh, Marco, you're about to be a married man.	You can't be flirting like that.	Da darf man nicht so flirten.
neutral	 	We don't know why. - Maybe they expect a counterattack. - It's hard to say. - And they have much to be concerned about. - There's always the threat of an attack by, say... a giant space dragon, the kind that eats the sun once every 30 days.	It's a nuisance, but what can you expect from reptiles?	ärgerlich, aber was kann man von reptilien erwarten?
neutral	 	You see that brand-new fire station out there? - That's Beverly Hills. - Do you know, if they were to look in here and see me burning, they couldn't do anything about it? - I would have to wait hours for L. A. County to come and save me. - I don't want to wait, Vin.	You are beyond saving, Drama.	Dich kann man nicht mehr retten, Drama.
neutral	 	Michael, I can enhance the sound of a bee making pollen recorded from a satellite.	How can you possibly know that?	- Wie kann man das wissen?
neutral	 	What do wirjetzt? - Have you ever thought about what would happen if your beloved Leaders would be arrested too? - Looks quite like, as if your Third Reich cease to exist too long. - I think it is because give a big Aufraumen. - Since it might be advantageous when the poor Jews swine life has been saved.	And with such a Michelangelo You can earn a fortune.	Und mit so einem Michelangelo kann man ein Vermögen verdienen.
neutral	 	You think so? - You don't even know how to use that thing. - Nobody will believe a hooker! - Because there is only one thing for us, sinners that we are, to achieve perfection in the eyes of God through unconditional love for the word that is written, through unconditional love for the law. - I don't understand what you're saying.	How can you love a word?	Wie kann man... ein Wort lieben ?
neutral	 	Face it, Lois, we're at a dead end. - Maybe not. - If that case gets thrown out and my office is implicated, I could get disbarred. - I wanna get to the bottom of this as much as you do but I don't know who to trust anymore. - Seems to be going around these days.	I guess if you want trust, you have to start by giving it.	Wenn man Vertrauen sucht, muss man erst selbst schenken.
neutral	 	Come in. - And who is the handsome young man? - A friend from Geneva. - Take some more. - It's fine.	Sometimes you just have to get lucky.	Manchmal muss man Glück haben.
neutral	 	Do you mean to challenge me and break into my territory? - No, I have no intention of doing any business in this town. - In the event that I decide to stay on, I will come and pay my respects to you. - I don't have a problem with you, then. - You have funds to bet? I do.	Without funds to bet, you can't gamble.	- Sicher. Ohne Geld kann man ja nicht spielen.
neutral	 	It's like a particular calibre of weapon. - Our openness of character makes us vulnerable. - Can you imagine an officer in prison? - I'd never go. It's not my way. - I'm not ready.	If your life becomes senseless, you must put an end to it.	Das Leben vergeht sinnlos, also muss man es abkürzen.
neutral	 	I'm sorry. - Why? - I'm sorry. - Jurgis showed me a picture of that broad that's gonna make your boy rich and famous. - Yeah?	What do you have to do to get a date with a broad like that, huh?	Was muss man tun, um mit so 'ner Braut 'n Date zu kriegen?
neutral	 	That gave me The guys at school stolen. - - And can you please you? - - They're stronger than me. - Ah, so. - Since the front is the base station.	So you can make phone calls.	Damit kann man auch telefonieren.
neutral	 	How about tomorrow night? - We're getting a little ahead of ourselves here. - I know you want me to meet her and I will. - - Let me handle it my way. - - You're going to like her, Dad.	You never know.	Das kann man nie wissen.
neutral	 	Anyone? - You can do it. Sir? - Marvin was different. - He was a very good shot. - Some would say that he was paranoid.	But you have to expect a little of that when the CIA's dosing you with LSD for a little more than a decade.	Aber das muss man wohl erwarten, wenn einen die CIA über zehn Jahre lang mit LSD vollpumpt.
neutral	 	And now... - Do you have a picture? - Excuse me? - Of your daughter? - Here's... here's Jess.	Uh, you can't tell now with the tube in her mouth, but she has the best smile.	Mit dem Tubus im Mund kann man es jetzt nicht sehen, aber sie hat das schönste Lächeln.
neutral	 	I'd be grateful if you would help me. - There's been an accident, a woman is hurt. - I can't move. - My orders are not to move from here. - And then, even if I wanted to...	Maybe they can help you in the castle.	Vielleicht kann man Ihnen im Schloss helfen.
neutral	 	You're worst than him! - I believe we have a duty to those in need of our protection. - It is the business of every sovereign to champion the dispossessed, for no one else will. - Take housing. - Industry is expanding so fast that people are not considering where the workers will live.	But I've been experimenting. By building these in units of two, you can build safe, clean homes for two families for less than the cost...	Indem man solche Häuser in Zweiereinheiten baut, kann man ein sicheres, sauberes Zuhause für zwei Familien schaffen zu geringeren Kosten als...
neutral	 	Troi to Riker. - We're ready to open the launch door. - - Look at that. - - Is there no moon in the future? - Sure, but there are 50 million people living on it.	You can even see Tycho City and Lake Armstrong on a clear day.	Bei gutem Wetter kann man Tycho- City und Lake-Armstrong sehen.
neutral	 	Far more complete than what any man could give me. - You bitch, don't think you'II get away with this. - I forgot to mention something. - I filmed you killing Gerardo. - Those web-based security systems are amazing.	You can never be too careful in these dangerous times.	Heutzutage kann man doch eigentlich nie vorsichtig genug sein, oder?
neutral	 	- Were you in the army? - - Marines. - See any combat? - I was in Korea. - I happen to be an expert pistol shot.	In my business, you got to be good.	In meinem Fach muss man gut sein.
neutral	 	I'll sit back and laugh, but until that day, it's Wild West. - So Zoë, you thought about what you want to do first? - It just so happens I know exactly what I want to do. - Oh, really? - And what would that be?	To me, there's no point in being in America unless you can drive a Detroit muscle car.	Was soll man in Amerika, wenn man kein Detroit Muscle Car fahren kann?
neutral	 	And the people are nice. - In certain ways. - We all help each other out. - If someone gets sick or hurt, all the neighbors come in. - They pick the corn, harvest the oats or whatever needs to be done.	In town, you can leave your car unlocked, and let the kids run around.	In der Stadt kann man sein Auto offen und die Kinder rumtoben lassen.
neutral	 	- But now there's a problem? - - She wants to marry another man. - I've known Tom for a long time. - We were scientologists together, but she wants to marry someone we don't know. - So you're recruiting from Scientology?	You have to start somewhere.	Irgendwo muss man ja anfangen.
neutral	 	I'm sorry. - Who told you you got to get pissed off? - All I ask is that you please read the brief before our next call. - You know what? - Do it yourself.	I thought you were going to be fun.	Ich dachte, mit Ihnen kann man Spaß haben.
neutral	 	Class. - For a natural-born loser, you certainly got lots of class. - You just be at that finish line, with that $16,000. - He expects to win. - You saying this race is fixed?	All I know is, no matter what the game, cards, craps, racing, boxing, whatever... If you can bet on it, it can be fixed. Can be.	Ich weiß nur, dass, jedes Spiel, egal, ob Karten, Würfel, Rennen oder Boxen, wenn man Wetten abschließen kann, kann man abkarten.
neutral	 	Stoner's loathing of the media and the MotoGP circus in general. - I'm sure he would like to live in the Eighties. - Much less media people came to the racing. - Riders, they don't need to care about any kind of image. - They could say whatever they want.	Now you have to be very politically correct.	Jetzt muss man immer politisch sehr korrekt sein.
neutral	 	I'm adding penaltylaus c. - Fine. - Whoever violates it gets their finger cut off. - I'm serious. - So am I.	You want people to drive safer, Take out the airbags And attach a machete pointing at their neck.	Wenn man will, dass Menschen vorsichtiger fahren, muss man die Airbags entfernen und eine Machete an ihrem Nacken platzieren.
neutral	 	There's nothing to do here. - Sweden is a paradise compared to here. - You can really relax there. - And the people... Even the people are different. - They're kind, not like here.	Besides, you can earn really good money.	Außerdem kann man dort richtig Geld verdienen.
neutral	 	I just wanna hurt Nick. - You don't know how much I wanna hurt him. - You need to forgive him. - I don't know how. - Just let it go.	Can't live with the hate in your heart.	Mit Hass im Herzen kann man nicht leben.
neutral	 	So listen. I think I have an escape plan. - I've checked that coolers again. - The whole point of them is to keep all firebenders contained, right? - Yeah... - So they're completely insolated. And sealed to keep the cold in.	Well, to keep the cold in, you have to keep the heat out, right?	Um die Kälte zu sichern muss man aber auch die Wärme aussperren.
neutral	 	Do you have a room for him? - Hey, can I leave now? - Sure. I don't see why not. - Thanks a lot for bringing him. - - Well, thank you, Doc.	I was always taught that when somebody needs help, you help 'em.	Ich sag mir immer, wenn einer Hilfe braucht, soll man ihm helfen.
neutral	 	Middle-aged lady at dance class." - I know what I look like, but I don't care. - From now on, I'm going to eat Thousand Island whenever I want. - I've always liked it. - I've never liked arugula.	That's what you're supposed to eat now.	Aber das soll man ja jetzt essen.
neutral	 	I just don't know anymore. - I allways tryed my best. - but it seams i did everything wrong. - there's realy no one who can tell what's right or wrong. - how can one tell if it's right or wrong?	how can you know?	Woher soll man es wissen?
neutral	 	Just let it melt on your tongue. - You always say I never take you anywhere. - Well, Dr. Leary, I find your product boring. - Only awareness can make reality. - And only what's real can become a dream.	And only from a dream can you wake to the light.	Und allein aus einem Traum heraus kann man im Lichte erwachen.
neutral	 	Who knows what happens later. - Perhaps he tries to escape and is shot. - But I want to know the names of the remaining ones. - He can't be forced to reveal something. - He is too proud for that. You saw it.	You have to use different methods with him.	Bei ihm muss man ganz andere Methoden anwenden.
neutral	 	You know and animals have feelings too. - Alright, alright, alright. - Listen. - We all grew up, with Rudolph, donner and blitzen, but this is business. - This ain't the night before christmas.	Sometimes you gotta do bad shit to do good shit.	Manchmal muss man fiese Dinge tun, um gute Dinge zu tun.
neutral	 	Well, that'll save me a beating while I'm on work duty. - They can still get to me anywhere else. - I need a weapon. - I mean, to take on all three? Come on, it's not like we have machine guns in here. - Just tell me what you can get, and I'll figure something out.	Creating tools in prison is about working with what you have.	Beim Erschaffen von Werkzeugen im Gefängnis muss man mit dem arbeiten, was man hat.
neutral	 	You can borrow any you want. - Thank you. - I also brought my lefty scissors because I'm left-handed, some rubber bands, extra batteries, my toothbrush, and my binoculars, as you know. - I forgot my comb. But I'll use my fingers. - Wait, these are all library books.	In my school, you're only allowed to check out one at a time.	An meiner Schule darf man immer nur eins ausleihen.
neutral	 	You didn't have a choice. - You always have a choice. - Land that belonged to the Moorwens now belonged to us. - As part of my pay I was given a place for my family to live. - And I thought I could forget what I'd done to get it.	Some things you can't bury deep enough.	Aber manche Dinge kann man nicht tief genug begraben.
neutral	 	I have to come back next week. - They told me to give you this. - Wow. - 2,000. - Same again next week when I come back.	I ain't complaining. See you next week.	Da kann man nicht meckern, dann bis nächste Woche.
neutral	 	It's horrible. - When she's better, you can take her home. - VILLE EVRARD ASYLUM - My little Paul, - You came to see me in May, and I made you promise to look after me, and not to neglect me so terribly.	Madhouses are made to inflict suffering. It can't be helped, especially if you never see anyone.	Irrenanstalten sind geschaffen, um einen leiden zu lassen, nichts kann man tun, besonders wenn man niemanden sieht.
neutral	 	You're glad. - You're glad everything is gone. - You're glad that the Grinch virtually wrecked.... - No, not wrecked, pulverized Christmas. - is that what I'm hearing?	You can't hurt Christmas, Mr. Mayor because it isn't about the gifts or the contests or the fancy lights.	Weihnachten kann man nicht ruinieren, denn es geht nicht um die Geschenke oder die schönste Weihnachtsbeleuchtung.
neutral	 	Army Intelligence. They knew you were coming before I did. - Seem to know everything. - They wouldn't tell me what they want. - Well, what do I want to see them for? - What am I, in trouble? Yes, Dr. Jones, we've heard a great deal about you.	Have you? Uh, professor of archaeology, expert on the occult, and, uh, how does one say it? Obtainer of rare antiquities.	Professor der Archäologie, Experte für Okkultismus und, wie soll man sagen, Beschaffer seltener Antiquitäten.
neutral	 	Johnnie Walker blue on the rocks for me and my friend here. - Wow. They don't make them like that in beantown. - I hear you have a pretty good real-estate thing going on up there. - Word is you're the best in the business. - Yeah, yeah, you hear right.	But... in my line of work, you got to move with the economy.	Aber im meinem Geschäft, muss man mit der Konjunktur gehen.
neutral	 	-You're shovelling it in. - -Haven't you heard of bulimia? - -Mum, can I have some more? - -But your plate's nearly full! - Can I?	Usually you have to force it down her. lt's in the kitchen.	Sonst muss man sie fast zwingen - hol's in der Küche.
neutral	 	Does he know anything? - I spoke to Charley. - He kept him home from school. Hasn't told him anything. - - Good. - - Sooner or later, he'll switch on the TV.	It's only so long you can keep a secret like that.	So was kann man nicht lange geheim halten.
neutral	 	What I know is that you coerced a confession out of an 18-year-old kid. - I didn't coerce jack. - He works for a guy who's got a trail of bodies that stretches all the way back to the Rio Grande. - If he doesn't go down for this, the body count just grows. - We got a traffic video camera photo of Vales' escalade 10 blocks from here when the murder went down.	Yeah, so what? Could you see him in the car?	Kann man ihm im Auto sehen?
neutral	 	He set me up! Don't you understand? - The accelerator is going to be a $50 billion industry in five years! - He doesn't care about you! - -Thadius, you said... - -I said what I had to.	-Sometimes you do what's wrong to do what's right. I'm sorry.	Manchmal muss man falsche Sachen tun, um die richtige Sache zu schaffen.
neutral	 	All humans are imperfect, even the man outside my apartment who litters. - When I was young, I wanted to be anybody but myself. - Dr Bernard Hazelhof said if I was on a desert island then I would have to get used to my own company - just me and the coconuts. - He said I would have to accept myself, my warts and all, and that we don't get to choose our warts. - They are a part of us and we have to live with them.	We can, however, choose our friends and I am glad I have chosen you.	Dafür kann man sich seine Freunde aussuchen. Und ich bin froh, dass ich Dich ausgesucht habe. EINBAHNSTRASSE
neutral	 	although i wanted to do something different. - Stand still! - ... - It was a nice evening and I want to tell you something... - I am not that dumb as you might think.	You seem to be not interested in me,... that's sadly enough like that and can't be changed.	Ich interessiere dich nicht,... das ist leider so und kann man nicht ändern.
neutral	 	Glad you asked. - BARNEY: "To perform 'The He's Not Coming, 'here's what you'll need. - "The observation deck of the Empire State Building. - "Are you up there? - Good.	"For generations, this has been the spot New Yorkers have chosen "for their romantic reunions with long-estranged lovers. "So, all you have to do is walk up to every girl you see, and say..."	Seit Generationen ist dies der von den New Yorkern auserwählte Platz für ihre romantischen Wiedervereinigungen mit lange entfremdeten Liebespartnern, also muss man einfach zu jedem Mädchen gehen, das man sieht und sagen...
neutral	 	What a bunch of big-city dummies. - At least the rocks are light here. - I don't even need my over-the-shoulder Boulder holder.	With one-sixth gravity, you can work and be lazy at the same time.	Bei ein Sechstel der Schwerkraft kann man gleichzeitig arbeiten und faul sein.
neutral	 	- He's the one who's concerned. - She isn't... She wasn't like everyone else. - But I'm fine now. - - Yet you still slept with her. - I didn't. - My genes did.	If someone cries, you have to...	Das liegt einem in den Genen. Wenn jemand weint, muss man ja...
