src_ctx	src	trg
Alfa Noranda is an Minang Indonesian archaeologist, librarian, cultural activist, and lecturer. Alfa is the son of Nur Azwar, a retired Indonesian civil servant, an engineer on public work department in West Sumatra, who works with irrigation as a consultant in Timur Leste, and Siti Zahara.	[pr] was born in Padang, Sumatera Barat, Indonesia.	Er wurde in Padang, Sumatera Barat, Indonesien, geboren.
His tenure as Director involved the establishment of early warning systems in the North Caucasus, West Africa, and Great Lakes region. After leaving FEWER in 2003, Nyheim established International Conflict and Security (INCAS) Consulting Ltd. (United Kingdom) together with Anton Ivanov, Samuel Gbaydee Doe, and Tom Porteous.	Concerned with the absence of responses to warnings, [pr] worked with FEWER members to combine warning systems with multi-stakeholder dialogue and planning processes in Chechnya, DR Congo, Guinea-Conakry, and Georgia.	Besorgt über das Ausbleiben von Reaktionen auf Warnungen, arbeitete er mit den FEWER-Mitgliedern zusammen, um in Tschetschenien, DR Kongo, Guinea-Conakry und Georgien Warnsysteme aufzubauen, bei denen die Dialoge und Planungsprozesse aller Beteiligten zusammenlaufen.
He, along with Zubyr Soomro at United Bank and Muhammad Mian Soomro at National Bank of Pakistan, were "successful in bringing the nationalised commercial banks (NCBs) back from virtual extinction. On 7 October 2008, he was appointed as an adviser to the government and was elevated to the post of finance minister after being elected as a senator from Sindh on 27 July 2009.	Shaukat Tarin (Urdu: شوکت ترین‎; born 1953) is a Pakistani banker who served as Finance Minister of Pakistan from 2009 to 2010 in the Gillani cabinet.	Shaukat Tarin (Urdu: شوکت ترین‎; geboren 1953) ist ein pakistanischer Banker, der im Kabinett von Gillani von 2009 bis 2010 das Amt des Finanzministers bekleidete.
After being accepted into the Central Medical School in Fiji, she attended the Trust Territory School of Nursing until her course began in 1960. The following year she was Fijian national champion in women's singles, women's doubles and mixed doubles.	During [pr] time in Fiji [pr] was part of the Fiji table tennis team that won gold at the 1963 South Pacific Games.	Während ihrer Zeit in Fidschi war sie Mitglied des Tischtennisteams von Fidschi, das bei den Südpazifikspielen 1963 die Goldmedaille gewann.
He is currently the Chairman of the Board of The Bankers´ and Securities Dealers´ Association of Iceland and a Member of the Board of the Iceland Chamber of Commerce. Bjarni Ármannsson holds a degree in Computer Science from the University of Iceland and an MBA degree from IMD in Switzerland.	[pr] also chairs the Icelandic Children's Welfare Fund and serves as Chairman of the Board of Reykjavik University, and has been Chairman of the board of the Norwegian-Icelandic Chamber of Commerce since it was established in March 2006.	Außerdem steht er dem Icelandic Children‘s Welfare Fund vor und dient als Chairman of the Board der Universität Reykjavík und war Chairman of the Board der Norwegian-Icelandic Chamber of Commerce, seit diese im März 2006 gegründet wurde.
On entering the Royal Danish Ballet School, she learned the techniques of Bournonville ballet with such ease that she immediately joined the company, making her début in 1966 when she was 16 in Jerome Robbins'  (Afternoon of a Faun). Her real breakthrough came in 1971 when she danced Clara in The Nutcracker, specially choreographed for her by Flemming Flindt.Bjørn has performed particularly well in a number of Bournonville's ballets, including the title role in La Sylphide and Eleonore and Johanna in Kermes in Bruges.	[pr] also performed in David Lichine's Graduation Ball.	Außerdem hatte sie einen Auftritt in Graduation Ball von David Lichine.
Around this time he also wrote a lengthy history of labor. In the legislative elections of 1906 he was a candidate in Grenoble on the platform of the Socialist Party (SFIO, Section Française de l'Internationale Ouvrière).	[pr] became a teacher at the Rennes industrial school.	Er wurde Lehrer an der Industrieschule von Rennes.
Sophien Kamoun FRS MAE (born 8 December 1965) is a Tunisian biologist. Kamoun is known for contributions to our understanding of plant diseases and plant immunity.	[pr] is a senior scientist at the Sainsbury Laboratory and professor of biology at the University of East Anglia (UEA).	Er ist leitender Wissenschaftler am Sainsbury Laboratory und Professor für Biologie an der Universität von Ostanglien (UEA).
Before his ministerial role, Tarin served as the country manager of Citibank and did tenures as head of Habib Bank, Union Bank, and twice as chairman of Karachi Stock Exchange. Tarin is an ethnic Pashtun born to an army doctor in Multan.	[pr] currently sits on the board of Silkbank.	Er sitzt derzeit im Vorstand von Silkbank.
She performed better in higher level competition that year, jumping 1.75 m (5 ft 8 3⁄4 in) to take sixth at the Ibero-American Championships and claiming the bronze medal at the South American Under-23 Championships. Two international silver medals came that year at the 2013 Pan American Junior Athletics Championships (losing to Daniellys Garay on countback) and the Bolivarian Games, where she was second to Kashani Ríos.	In the 2013 season [pr] improved [pr] personal best to 1.87 m (6 ft 1 1⁄2 in) with a jump in Barquisimeto, which was a South American junior record.	In der Saison 2013 verbesserte sie mit einem Sprung in Barquisimeto ihre persönliche Bestleistung auf 1,87 m (6 Fuß 1 1⁄2 Zoll), was südamerikanischer Juniorenrekord war.
Jorma Elo's partner since 1994 is Nancy Euverink who has also been assistant to Elo. At the age of 13 he was enrolled in Finnish National Ballet School for classical training.	As a schoolboy, Elo wanted to be an ice hockey player, despite this [pr] began studying modern and jazz dance at 12.	Als Schuljunge wollte Elo Eishockeyspieler werden, dennoch begann er mit 12, modernen und Jazztanz zu lernen.
In 1986 she emigrated to the US, where she studied palliative care and became involved with the work of hospices. Glinka's first charity project began in 1999, when she opened the first public hospice in Kiev, Ukraine.	On returning to Russia, [pr] worked at the First Moscow Hospice, after which [pr] moved to Ukraine.	Nach ihrer Rückkehr nach Russland arbeitete sie im First Moscow Hospice, anschließend zog sie in die Ukraine.
In 1971, he was appointed as the librarian of the University of Peradeniya library. Henry Alfred Ian Goonetilleke (known as H. A. I. Goonetileke) was a director of the University of Peradeniya library, the first chairman of the Gratiaen Trust and an eminent scholar in Sri Lanka.	[pr] created history by holding three different designations in the same university as,Librarian of University of Ceylon (1971 to 1972)Librarian of Peradeniya Campus, University of Sri Lanka (1972 to 1978)Librarian University of Peradeniya through (1978 to 1979)	Er schrieb Geschichte mit drei verschiedenen Posten, die er an derselben Universität innehatte, Bibliothekar an der University of Ceylon (1971 bis 1972), Bibliothekar am Peradeniya Campus, University of Sri Lanka (1972 bis 1978), Bibliothekar an der University of Peradeniya (1978 bis 1979)
He is the former Vice-President of the African Development Bank in charge of Country and Regional Programmes (as of October 2014). Thomas Zondo Sakala holds a BSc (Hons) and an MSc in Economics from the University of Ibadan in Nigeria.	[pr] was the SADC nominee for the Presidency of the African Development Bank (AfDB).	Er war der SADC-Kandidat für die Präsidentschaft der Afrikanischen Entwicklungsbank (AfDB).
Torwomenye Kwasi Mawuli Azaglo (TK) was born on September 28, 1987. He obtained his Secondary School Education at Akosombo International School, later moved to Canada where he studied at Columbia International College and was enrolled in Wilfrid Laurier University Ontario in 2006.	[pr] is a Ghanaian youth advocate and humanitarian, Founder and  President of Future of Africa (FOA) and the former Associate Dean of Students and Community Affairs at Ashesi University.	Er ist ein ghanaischer Jugendaktivist und humanitärer Helfer, Gründer und Präsident von Future of Africa (FOA) und ehemaliger Associate Dean of Students and Community Affairs an der Ashesi University.
Sanjukta Panigrahi (24 August 1944 – 24 June 1997) was a dancer from India, who was the foremost exponent of Indian classical dance Odissi. In recognition of her contribution to dancing and associated activities, she was honoured with one of India's highest civilian awards the, Padma Shri (1975).	Sanjukta was the first Odia woman to embrace this ancient classical dance at an early age and ensure its grand revival.	Sanjukta war die erste Odia-Frau, die sich diesen altertümlichen klassischen Tanz in jungen Jahren aneignete und sein großes Revival sicherstellte.
Goldwasser was born in Israel. Between 1975 and 1978 Benad served in the Israeli army in a tank corp division.	In 1975 [pr] obtained [pr] MD degree from Tel-Aviv University.	1975 erhielt er seinen MD-Abschluss von der Universität Tel Aviv.
Kamoun is known for his contributions to our understanding of plant diseases and plant immunity. He discovered virulence effector families from plant pathogens and showed how they can modulate plant immunity.	[pr] used genomics and molecular biology methods to obtain insights into the biology and evolution of eukaryotic plant pathogens.	Er hat Methoden aus der Genomik und Molekularbiologie verwendet, um einen Einblick in die Biologie und Evolution eukaryotischer Pflanzenpathogene zu erhalten.
He was educated at local primary schools, at Kerema High and at Sogeri National High. He was also an exchange student at Flinders University in South Australia.	[pr] went on to study at the University of Papua New Guinea, where [pr] obtained a Bachelor of Economics in 1970.	Anschließend studierte er an der University of Papua New Guinea, wo er 1970 den Bachelor of Economics erlangte.
Bjarni was sentenced to 6 months in prison by the District Court of Reykjavik for major tax noncompliance. Bjarni Ármannsson (born 23 March 1968) is an Icelandic banker who resigned as CEO of Glitnir (formerly Íslandsbanki), a financial group based in Iceland, in May 2007.	[pr] sentence was suspended and [pr] was additionally ordered to repay nearly 36 million ISK of unpaid tax.	Seine Strafe wurde zur Bewährung ausgesetzt und er wurde zusätzlich angewiesen, fast 36 Millionen ISK an nicht gezahlten Steuern zurückzuzahlen.
After studying library science in Trinidad and the UK, she was admitted to the British Library Association and began working for the Jamaica Library Service in 1956. In 1971, Douglas became a foundation lecturer in the Department of the Library Studies of the University of the West Indies (UWI) at Mona.	[pr] was chief librarian of the Institute of Jamaica from 1961 to 1963 and librarian of the Permanent Mission of Jamaica to the United Nations from 1963 to 1964.	Von 1961 bis 1963 war sie als leitende Bibliothekarin am Institute of Jamaica tätig und von 1963 bis 1964 als Bibliothekarin bei der Ständigen Vertretung Jamaikas bei den Vereinten Nationen.
In 1936, Favaloro was admitted into the Colegio Nacional de La Plata. During his third year, he began his medical residency at the Hospital Policlínico San Martín, a medical center that received the most complicated cases from much of Buenos Aires province.	After graduating from high school, [pr] was admitted to the School of Medicine at the National University of La Plata.	Nach seinem Highschool-Abschluss wurde er an der medizinischen Fakultät der Universidad Nacional de La Plata aufgenommen.
She was instrumental in creation of the first women's college in Odisha, the main building of which was gifted by her. On the political front, she started several branches of All-India Women's Conference.	[pr] started a Hindu widow's training school to train widows to become high school teachers.	Sie gründete außerdem eine Schule für hinduistische Witwen, die dort zu Lehrerinnen ausgebildet werden.
She later founded the VALE Hospice International fund based in USA and served as a board member of the Vera Hospice Charity Fund in Moscow. The organisation works to support terminally ill cancer patients and underprivileged and homeless people by providing medical supplies, financial aid and other essential services.	In 2007 [pr] founded a humanitarian NGO Spravedlivaya Pomoshch (in English, "Fair Aid" or "Fair Help").	2007 rief sie die humanitäre NGO Spravedlivaya Pomoshch (auf Deutsch „Faire Hilfe“) ins Leben.
She is “Livre-Docente” at the Medical School, State University of São Paulo (FM-USP). Heimar de Fátima Marin is a nurse who has devoted her professional career to improving patient care using information and communication technologies.	[pr] is a fellow in Clinical Computing at the Center for Clinical Computing at Harvard Medical School.	Sie ist Fellow in Clinical Computing am Center for Clinical Computing der Harvard Medical School.
She was born in the village of Oshali in the Oshana Region. Johannes made her international debut at the 2005 IAAF World Cross Country Championships, where she finished 80th in the women's long race.	[pr] is a five-time winner of the Two Oceans Half Marathon and holds the current record of 01:10:29.	Sie ist fünfmalige Gewinnerin des Two Oceans Halbmarathons und hält den aktuellen Rekord von 01:10:29.
Between 1975 and 1978 Benad served in the Israeli army in a tank corp division. In 1982 while on reserve duty he was severely injured at Beirut Airport and was honorably discharged with the rank of Major.	[pr] is a graduate of the first officers training course for physicians and Platoon Commanders’ course of the Israeli Tank Corp.	Er ist Absolvent der ersten Offiziersschulung für Ärzte und des Kurses für Zugführer des israelischen Panzerkorps.
2005 saw Mäkäräinen compete at the Biathlon World Championships for the first time. At the 2008 Biathlon World Championships in Östersund, she was 15th in the mass start.	[pr] best placings in the Biathlon World Championships have occurred at the 2007 World Championships in Antholz-Anterselva, where [pr] placed eighth in the individual 15  and seventh in the mass start events.	Ihre besten Platzierungen bei den Biathlon-Weltmeisterschaften erreichte sie bei den Weltmeisterschaften 2007 in Antholz-Anterselva, wo sie beim 15er-Einzelrennen Achte und bei den Massenstart-Veranstaltungen Siebte wurde.
Os Paralamas do Sucesso (also known simply as Paralamas) is a Brazilian rock band, formed in Seropédica, Rio de Janeiro, in the late 1970s. In its beginning, the band combined reggae and ska with rock, but later added horn arrangements and Latin rhythms.	Its members since 1982 are Herbert Vianna (guitar and lead vocals), Bi Ribeiro (bass), and João Barone (drums).	Seine Mitglieder sind seit 1982 Herbert Vianna (Gitarre und Leadsänger), Bi Ribeiro (Bass) und João Barone (Schlagzeug).
He was a gifted student, and qualified as a teacher, moving from one teaching position to another at the start of his career. There he joined the Socialist group.	[pr] became a teacher of the national professional schools, and was appointed to a position in Armentières, Nord department.	Er wurde Lehrer an den nationalen Berufsschulen und erhielt eine Stelle in Armentières im Département Nord.
Lewis attended Sumner High School, in Kansas City, Kansas, graduating in 1956. Lewis graduated from the University of Kansas, in Lawrence, Kansas, in 1960, where he was a classmate of Wilt Chamberlain.	[pr] attended Boys State in [pr] junior and senior years of high school.	In seinen Junior- und Senior-Jahren an der Highschool besuchte er die Boys State.
In 1975 he was the first Papua New Guinean to be appointed Secretary of the Department of Finance, a position which he held until 1982. Morauta was also a successful businessman after he retired from governing the central bank.	Other positions [pr] has held include Managing Director of the government's commercial bank, the Papua New Guinea Banking Corporation (1983–1992), and Governor of the Bank of Papua New Guinea (July 1993 – September 1994), PNG's central bank.	Im Laufe seiner Karriere war er außerdem Geschäftsführer der staatlichen Handelsbank Papua New Guinea Banking Corporation (1983–1992) und Direktor der Zentralbank des Landes, der Bank of Papua New Guinea (Juli 1993–September 1994).
She worked as the Chief Nursing Officer of the Ministry of Health between 1970 and 1980 and thereafter served as the country's Director of Nursing. She was honored as a Member of the Order of the British Empire in 1969 for her contributions to the medical development of the country.	[pr] drove for the establishment of the Bahamas Nursing Council, a governing body for the country's nursing industry and was influential in developing a degree based nursing certification.	Sie trieb die Gründung des Bahamas Nursing Council voran, einem Dachverband für die Pflegebranche, und hatte Einfluss auf die Entwicklung einer auf einem Abschluss basierenden Zertifizierung für die Gesundheits- und Krankenpflege.
After completing his PhD he moved back to Morocco. He was also a researcher and, in 1994, he received another PhD for his findings about the antimicrobial activity of essential oils.	In 1988 [pr] became a professor at the University of Fez.	1988 wurde er Professor an der Universität von Fès.
Prior to joining the AfDB, Sakala worked three years as Senior Research and Principal Planning Officer in the newly created Ministry of Manpower Planning and Development in Zimbabwe, which carried out Zimbabwe's first post-independence National Manpower Survey. Zondo Sakala has worked in, and with, African countries all through his professional career.	[pr] was part of the Survey's central coordinating team and was one of the architects of its major policy recommendations, many of which were implemented by the Government.	Er war Teil des zentralen Teams für die Koordinierung der Erhebung und einer der Architekten von deren wesentlichen politischen Empfehlungen, von denen viele von der Regierung umgesetzt wurden.
In September 1958, he arrived at the University of California, Berkeley to undertake his PhD with Alden H. Miller, only to discover that Miller was on sabbatical in South America. Konishi's findings highlighted the important role of auditory feedback in songbird vocal learning, using white-crowned sparrows and other songbird species.	Instead, [pr] completed [pr] PhD under ethologist Peter Marler, who had also recently arrived at the institution.	Stattdessen schloss er seinen Ph.D. unter dem Ethologen Peter Marler ab, der ebenfalls kürzlich an der Einrichtung angekommen war.
She came fifth in the half marathon of the 2007 Summer Universiade and completed the same feat at the 2007 All-Africa Games. Johannes ran a qualifying time (2:37:00) of 2:33:06 hours at the Seoul International Marathon in March 2008, qualifying her for the 2008 Summer Olympics.	[pr] also ran in the Dublin Marathon that year, coming in fourth place.	In dem Jahr lief sie außerdem den Dublin-Marathon, bei dem sie den vierten Platz erreichte.
2008 - 2010, she moved to the United Arab Emirates and was Full Professor of Philosophy at the United Arab Emirates University (UAEU). She returned to Germany in summer 2010 to become Department Chair of the Philosophy Department at Technische Universität Braunschweig.	In fall 2010 [pr] was senior research fellow of the International Centre for Cultural Studies (IFK) in Vienna (Austria).	Im Herbst 2010 war sie Senior Research Fellow am Internationalen Forschungszentrum Kulturwissenschaften (IFK) in Wien (Österreich).
He was awarded the Order of the Red Banner, the Order of the Red Star, and a number of other medals. His main research was dedicated to anesthesia, blood transfusion, the treatment of endarteritis of extremities and other surgical illnesses.	Ivan Khristoforovich Gevorkian, born Hovannes Khachaturi Gevorkian Armenian: Հովհաննես Խաչատուրի Գևորգյան; Russian: Иван Христофорович Геворкян; (March 28, 1907 – October 19, 1989) was a prominent Soviet Armenian surgeon and scientist who published 10 monographs and more than 230 scientific papers.	Ivan Khristoforovich Gevorkian, geboren als Hovannes Khachaturi Gevorkian Armenisch: Հովհաննես Խաչատուրի Գևորգյան; Russisch: Иван Христофорович Геворкян; (28. März 1907–19. Oktober 1989) war ein bedeutender sowjetisch-armenischer Chirurg und Wissenschaftler, der mehr als 10 Monografien und über 230 wissenschaftliche Arbeiten veröffentlichte.
She began attending school in Ngeremlengui at the age of six. [3] She then moved up to Pacific Islands Central School, where she was enrolled between 1956 and 1959.	Between 1953 and 1956 [pr] was a pupil at Palau Intermediate School.	Zwischen 1953 und 1956 war sie Schülerin der Palau Intermediate School.
After high school, he pursued his Bachelor of Science in Electric Engineering from the Mapúa Institute of Technology and graduated cum laude. He joined Philippine Airlines as a trainee pilot, and was later pirated by Boeing.	After college, [pr] turned down several job offers, including one from Meralco.	Nach seinem Abschluss lehnte er verschiedene Stellenangebot ab, darunter eines von Meralco.
She returned to competition in 2005, in road races for Beaumont Running Club in Leicester, and in 2008 moved up to the marathon distance and she won both the Vilnius Marathon and Leicester City Marathon that year. Diana Lobačevskė (born Diana Maciusonytė on 7 August 1980 in Vilnius) is a Lithuanian long-distance runner who specialises in marathon and half marathon races.Her marathon personal record is 2:28:03.	[pr] was the fastest woman not entered as an elite athlete at the 2009 London Marathon, setting a personal best of 2:38:26 hours for the distance.	Sie war beim London-Marathon 2009 die schnellste nicht als Spitzensportlerin eingetragene Frau und erreichte über die Distanz ihre persönliche Bestleistung von 2:38:26 Stunden.
Wiesner also researched the possibility of preventing and terminating pregnancy by physiological means without mechanical intervention based on oral ingestion of manufactured substances containing hormones. Two years later in 1927 the German gynecologists Bernhard Zondek and Selmar Ascheim discovered that the urine of a pregnant woman contained a substance later identified as the gonadotropic hormone 'human chorionic gonadotropin' that caused an estrous reaction when injected into rats.	[pr] presented [pr] first paper at the First International Congress for Sex Research organized by the psychiatrist Albert Moll in Berlin.	Er präsentierte seine erste wissenschaftliche Arbeit bei dem Ersten Internationalen Kongress für Sexualforschung, der vom Psychiater Albert Moll in Berlin organisiert wurde.
He studied nursing and got his first job in 1966, staying in this profession until his retirement. He lives in Rufisque, a fishing town about 20 kilometers from Dakar.	In 1968 [pr] married Meriem, a teacher; they have seven children.	1968 heiratete er Meriem, eine Lehrerin; sie haben sieben Kinder.
He was trained as a lawyer and became sub-commissioner of public records in Dublin Castle. In 1855, shortly after its foundation, Hardiman became librarian of Queen's College, Galway.	[pr] was an active member of the Royal Irish Academy, and collected and rescued many examples of Irish traditional music.	Er war ein aktives Mitglied der Royal Irish Academy und sammelte und rettete viele Beispiele traditioneller irischer Musik.
He danced with the Finnish National Ballet from 1978 to 1984. In 1980 he attended Varna International Ballet Competition and 1984 he was a finalist in Helsinki International Ballet Competition.	In 1983 [pr] also completed [pr] compulsory military service.	1983 absolvierte er seinen obligatorischen Militärdienst.
In 1990, Elo joined Netherlands Dance Theatre where he worked with choreographers such as Jiri Kylian, Hans van Manen, Ohad Naharin, and William Forsythe. He was born 30 August 1961 in Helsinki, Finland.	Jorma Elo is a contemporary choreographer.	Jorma Elo ist ein zeitgenössischer Choreograf.
Shaha has served as Council Member for the National Academy of Sciences, Allahabad (2016–2017), Indian Academy of Sciences, Bangalore (2013–2015) and also as Council member of the Indian National Science Academy, New Delhi (2015–18). Chandrima Shaha (born 14 October 1952)  is an Indian biologist, currently President of Indian National Science Academy (2020-22), and Professor of Eminence at the National Institute of Immunology.	[pr] was a member of the Editorial Board of ‘Scientific Reports’ of Nature Publishing Group, London:‘Spermatogenesis’, Landes Bioscience, Texas and Editorial Board member of ‘Molecular and Cellular Endocrinology’ of Elsevier, PA, Austin.	Sie war Mitglied der Redaktionsleitung von „Scientific Reports“ der Nature Publishing Group, London: ‚Spermatogenese‘, Landes Bioscience, Texas, sowie Mitglied der Redaktionsleitung von „Molecular and Cellular Endocrinology“ von Elsevier, PA, Austin.
She represented Thailand at the 2008 Summer Olympics and competed at five consecutive editions of the Asian Games (1998 to 2014). She is the current Thai record holder in the heptathlon and women's pentathlon, as well as having a share in the 4×400 metres relay record.	Having won medals internationally in combined events, sprints, hurdles and relays, [pr] is widely regarded as the most versatile athlete in Southeast Asia.	Mit gewonnenen Medaillen bei internationalen Mehrkampf-, Sprint-, Hürden- und Staffel-Veranstaltungen gilt sie weithin als vielseitigste Sportlerin Südasiens.
There he joined the Socialist group. In 1905 he wrote in praise of the sailors of the Battleship Potemkin uprising, and received a letter from Bienvenu Martin, minister of public education, reproving him for not having used the reserved language required of public servants, and particularly of teachers.	[pr] supported the struggles of workers, and wrote various articles for socialist publications.	Er setzte sich für die Belange der Arbeiter ein und verfasste mehrere Artikel für sozialistische Druckschriften.
He created the exercise fitness program Zumba in the late 1990s which involves dance and aerobic exercise elements with accompanying music, specifically Latin, and associated martial arts moves, squats, lunges, and other aerobic techniques. His passion was dancing, but he could not afford dance lessons.	Pérez was raised in Cali, Colombia by a single mother and was working three jobs by age 14 to support [pr] family.	Pérez wurde in Cali, Kolumbien, von einer alleinerziehenden Mutter großgezogen und hatte mit 14 drei Jobs, um seine Familie zu unterstützen.
He was the United States Ambassador to South Africa from 1999 to 2001, and previously held leadership roles at the Peace Corps and National Public Radio. Lewis was born in Arkansas City, Kansas, into a family of "ardent Democrats".	[pr] is the father of actor Phill Lewis.	Er ist der Vater von Schauspieler Phill Lewis.
Tekdal won the silver nedal in the 5,000 m event at the 2016 European Athletics Youth Championships held in Tbilisi, Georgia with a personal best time of 22:58.17 behind her countrywoman Meryem Bekmez. In 2019, she captured the gold medal in the 20 km race walk event of the European Athletics U23 Championships held in Gävle, Sweden.	At the 2018 IAAF World Race Walking Team Championships in Taicang, China, [pr] took the bronze medal in the 10 km race walk event with [pr] teammate Bekmez.	Bei den Geher-Team-Weltmeisterschaften der IAAF 2018 in Taicang, China, holte sie mit ihrer Teamkollegin Bekmez die Bronzemedaille in der Disziplin 10-km-Gehen.
Following an untimely demise of her mother, she was adopted by Madhusudan Das. She was instrumental in creation of the first women's college in Odisha, the main building of which was gifted by her.	In 1903, [pr] formed the Utkal Young Men's Association and managed the Utkal Young Women's Association.	1903 gründete sie die Utkal Young Men's Association und leitete die Utkal Young Women's Association.
René Mary Shadbolt MBE (26 April 1903–16 August 1977) was a notable New Zealand civilian and military nurse, and hospital matron. She was one of three nurses from New Zealand in the Spanish Civil War, and married Willi Remmel a German anti-fascist volunteer in Spain in 1938.	[pr] was born in Duvauchelle, Banks Peninsula, New Zealand in 1903, and died in Henderson in 1977.	Sie wurde 1903 in Duvauchelle, Banks Peninsula, Neuseeland, geboren und ist 1977 in Henderson gestorben.
Nursing Education by the University of Edinburgh, UK in 1986, and a Ph.D. degree in Nursing from the University of London, UK in 1994. He was appointed Editor-in-Chief of the International Journal of Nursing Studies in 2005.	[pr] was appointed as a lecturer in Psychiatric Nursing in the Department of Nursing Studies, King’s College London, in 1988, was promoted to Senior Lecturer in 1994 and to Professor of Mental Health in 1997.	Er wurde 1988 zum Lehrbeauftragten für psychiatrische Pflege am Institut für Pflegewissenschaft, King‘s College London, ernannt und wurde 1994 zum außerordentlichen Professor sowie 1997 zum Professor für psychische Gesundheit befördert.
From 1989 to 1994, she studied biology at the Universities of Erlangen and Tübingen. Her Habilitation in philosophy was completed at the University of Stuttgart in 2006, dealing with the topic Phenomenology of Growth.	[pr] received a doctorate in biology at the University of Tübingen in 1999 at the International Center for Ethics in the Sciences and Humanities.	Sie erhielt an der Universität Tübingen 1999 einen Doktortitel in Biologie am Internationalen Zentrum für Ethik in den Wissenschaften.
The septet—composed of Jin, Suga, J-Hope, RM, Jimin, V, and Jungkook—co-writes and co-produces much of their own output. Their lyrics, often focused on personal and social commentary, touch on the themes of mental health, troubles of school-age youth, loss, the journey towards loving oneself, and individualism.	Originally a hip hop group, their musical style has evolved to include a wide range of genres.	Der Musikstil der ursprünglichen Hip-Hop-Gruppe umschließt mittlerweile eine breite Palette von Genres.
