src_ctx	src	trg
Margaret Mhango Mwanakatwe is a Zambian politician who was the Minister of Finance from 14 February 2018 to 14 July 2019. She was the director for business development in Anglophone Africa at the United Bank for Africa at the bank's headquarters in Lagos, Nigeria.	[pr] worked previously as a businesswoman, accountant, and bank executive.	Previamente, trabajó como empresaria, contadora y ejecutiva bancaria.
His passion was dancing, but he could not afford dance lessons. In 1999, Pérez moved to Miami, Florida "in search of the American Dream".	After [pr] won a national lambada contest in Colombia, [pr] was accepted to one of Cali's best academies to study dance while [pr] taught step aerobics in return.	Después de ganar un concurso nacional de “lambada” en Colombia, fue aceptado en una de las mejores academias de baile de Cali mientras que a cambio enseñara step aeróbico.
She was educated in Toowoomba, Queensland. She commenced her PhD at the Australian National University and was the recipient of a scholarship that allowed her to complete post-doctoral research at the University of Turin.	[pr] then studied at the University of Queensland where [pr] graduated with a Bachelor of Science, majoring in mathematics and physics.	Luego, estudió en la Universidad de Queensland, donde obtuvo una licenciatura con especialización en matemática y física.
Barillas-Mury graduated from the Universidad del Valle de Guatemala in 1981 with a B.S. in biology. There were no graduate programs in Guatemala, so in 1987, she moved to the United States to do a PhD at the University of Arizona in the lab of Michael Wells, where she studied the process of enzymatic blood digestion by Aedes aegypti.	[pr] received [pr] M.D. from Universidad Francisco Marroquín de Guatemala in 1985.	Recibió su maestría en la Universidad Francisco Marroquín de Guatemala, en 1985.
Sailabala became the first woman Honorary Magistrate of India, adjudicating over 600 cases a year. Sailabala Das (25 March 1875 - 29 April 1968) was a social worker and politician.	In recognition to [pr] contribution to education, Sir Edward Albert Gait, the last Lieutenant Governor of Orissa and Bihar, wanted to confer the Kaisar-i-Hind gold medal to [pr] but [pr] declined it.	En reconocimiento a su aporte a la educación, Sir Edward Albert Gait, último gobernador teniente de Odisha y Bihar, tuvo la intención de entregarle la medalla de oro Kaisar-i-Hind, pero ella la rechazó.
She was educated at Newcastle High, Wycombe Abbey, Clarence House (May 1899–April 1900) and finally Roedean from 1900–1903. Rachel Mary Parsons (1885–1956), engineer and advocate for women's employment rights, was the founding President of the Women's Engineering Society in Britain on 23 June 1919.	In 1910 [pr] entered Newnham College at the University of Cambridge and was one of the first three women to study Mechanical Sciences there although, like all women until 1948, [pr] could not graduate with a degree or become a full member of the University.	En 1910, ingresó en Newnham College, en la Universidad de Cambridge, y fue una de las primeras tres mujeres que estudiaron ciencias mecánicas allí aunque, como todas las mujeres, no pudo obtener un título ni alcanzar el estatus de miembro pleno hasta 1948.
Richard Ricciardi is an American professor of nursing. Ricciardi earned his BS (1980) in nursing at the SUNY Downstate Medical Center, his certificate to practice as a Pediatric Nurse Practitioner (1983) from the United States Army at Fitzsimons Army Medical Center, and his MS (1991) in primary care at the University of Maryland at Baltimore.	[pr] is best known for [pr] contributions to the United States Army and for improving healthcare practices including team-based care, quality and safety, and the management of patients with complex needs.	Es más conocido por sus contribuciones al Ejército de los Estados Unidos y por mejorar las prácticas de atención médica, incluyendo la atención en equipo, la calidad y la seguridad, y el manejo de pacientes con necesidades complejas.
As a boy, he first studied at the Jesuits, where he learned Latin. Later, animated by interest in medicine, he followed a course of medicina-pratica taught by Luigi Visone.	[pr] later also studied philosophy and medicine and graduated in medicine at about the age of 20.	Luego, también estudió filosofía y medicina, y obtuvo tu título de medicina aproximadamente a los 20 años.
In 1982, he pioneered the formation of the Diabetes Association of the Caribbean, which now has 26 member countries, and was its President from 1985 to 1987 and its Vice President from 1989 to 1991. He played a key role in partnerships between the International Diabetes Federation and the Pan American Health Organization (PAHO/WHO), in responding to the emerging pandemic of type 2 diabetes, by applying the St. Vincent Declaration intervention model to the Americas, in the form of the Declaration of the Americas on Diabetes or DOTA (1996).	In 1991, [pr] launched the University Diabetes Outreach Project (UDOP) with the help of a Wolfson Foundation grant.	En 1991, lanzó el Programa Universitario de Difusión de la Diabetes (UDOP, por sus siglas en inglés) con un subsidio de la Fundación Wolfson.
The Mahotella Queens is a South African female band formed in 1964 by music producer Rupert Bopape consisting of Hilda Tloubatla, Nobesuthu Mbadu, and Amanda Nkosi.  Bopape was a talent scout and producer at the independent Gallo Africa's subsidiary dedicated to black music, Mavuthela Music Company.	The group is noted for their distinct vocal harmony sound, guitar-led mbaqanga music, and fast stage dancing.	Se caracteriza por su particular armonía vocal, su música mbaqanga con guitarra y sus ágiles movimientos en el escenario.
Later, she completed a Master in Public Health degree with a mention in epidemiology at the same university. In 2013 she took over as director of the San Felipe Campus of the University of Valparaíso.	[pr] has worked in the public health system as deputy director of the Dr. Luis Gajardo Guerrero Hospital in San Felipe (1988–1989), director of the Aconcagua Health Service (2000–2010), and technical director of the Dr. Jorge Ahumada Lemus Family Health Center in Santa María (2010–2013).	Trabajó en el sistema de salud pública como subdirectora del Hospital Dr. Luis Gajardo Guerrero en San Felipe (1988-1989), directora del Servicio de Salud de Aconcagua (2000-2010) y directora técnica del Centro de Salud Familiar Dr. Jorge Ahumada Lemus, en Santa María (2010-2013).
She studied at the Russian National Research Medical Institute in Moscow, graduating in pediatric anesthesiology. On returning to Russia, she worked at the First Moscow Hospice, after which she moved to Ukraine.	In 1986 [pr] emigrated to the US, where [pr] studied palliative care and became involved with the work of hospices.	En 1986 emigró a Estados Unidos, donde estudió cuidados paliativos y se interiorizó en el trabajo realizado en hospicios.
Dilek Gürsoy was born in Neuss in 1976 to parents, who emigrated in 1969 from Fatsa, Ordu in Turkey to work in Germany as Gastarbeiter. Her father died from sudden cardiac death as she was ten years old.	[pr] has two brothers.	Tienes dos hermanos.
She became the first woman to be appointed Chairman of a Supervisory Board of a stock exchange listed company in the history of the Netherlands. Zoutendijk was born in Curaçao on 1 March 1961 to Dutch parents Prof. Dr. Guus Zoutendijk and Adelheid Zoutendijk-Meijs.	On April 10, 2019 [pr] was appointed as a member of the Board of Directors at Julius Baer Group.	El 10 de abril de 2019, fue designada como miembro de la Junta Directiva del Julius Baer Group.
She served as president of the Chinese American Librarians Association from 1992 to 1993. She established a successful adult literacy program and introduced library services to a wider population that included the elderly and disabled communities.	Yang's career has been characterized by a desire to improve literacy skills among underprivileged and overlooked individuals in society.	Su carrera se ha caracterizado por el deseo de mejorar la alfabetización de individuos desamparados e ignorados.
Alia Muhammad Baker (also spelled "Baqer") was the chief librarian in the Al Basrah Central Library, Basra, Iraq. Baker had worked at the library for 14 years.	Baker saved an estimated 30,000 books from destruction during the Iraq War, including a biography of Muhammad from around 1300.	Evitó que se destruyeran 30.000 libros durante la guerra de Irak, incluida una biografía de Mahoma del año 1300 aproximadamente.
She was the director for business development in Anglophone Africa at the United Bank for Africa at the bank's headquarters in Lagos, Nigeria. Before that, she served as the managing director and chief executive officer of the United Bank for Africa Uganda Limited from March 2009 until May 2011.	In this role, [pr] supervised business development in Cameroon, the Democratic Republic of the Congo, Ghana, Kenya, Liberia, Mozambique, Tanzania, Uganda, and Zambia.	En este cargo, fue supervisora de desarrollo empresarial en Camerún, la República Democrática del Congo, Ghana, Kenia, Liberia, Mozambique, Tanzania, Uganda y Zambia.
This is the current Asian record. After more than a year's absence due to shoulder surgery, in November 2009, he won his third in a row continental title in Guangzhou.	Because of [pr] good performance over the whole season 2008, [pr] was considered a medal contender entering the 2008 Summer Olympics, but [pr] ranked 17th with a 61.34-meter throw and failed to qualify for the final; Haddadi blamed [pr] poor results on [pr] injuries.	Debido a su buen desempeño durante la temporada de 2008 completa, se le consideró un candidato a medalla al participar en las Olimpiadas de Verano de 2008, pero quedó en el puesto 17 del ranking, con un lanzamiento de 61,34 metros, y no se clasificó para la final; Haddadi culpó a sus lesiones por su mal rendimiento.
Sanjukta Panigrahi (24 August 1944 – 24 June 1997) was a dancer from India, who was the foremost exponent of Indian classical dance Odissi. In recognition of her contribution to dancing and associated activities, she was honoured with one of India's highest civilian awards the, Padma Shri (1975).	Sanjukta was the first Odia woman to embrace this ancient classical dance at an early age and ensure its grand revival.	Fue la primera mujer Odia que adoptó esa antigua danza clásica a una edad temprana y garantizar su gran resurgimiento.
His early life suffered from some misfortune due to the early death of his father in 1926. He graduated from the Ceylon University College in the early 1940s.	[pr] was briefly at St. Thomas' College, Mount Lavinia, as a student and then moved to Richmond College, Galle, where [pr] excelled both at academics and sports.	Estudió por poco tiempo en la St. Thomas' College, Mount Lavinia, y luego ingresó en la Richmond College, Galle, donde sobresalió en el aspecto académico y deportivo.
While Kasai went into practice at a time when pediatric surgery was not an established subspecialty, much of his clinical and research work was related to the surgical care of children. The modern form of the operation is still known as the Kasai procedure.	[pr] is best known for devising a surgical procedure, the hepatoportoenterostomy, to address a life-threatening birth defect known as biliary atresia.	Es más conocido por haber ideado el procedimiento quirúrgico, la hepatoportoenterostomía, para tratar un problema congénito potencialmente mortal conocido como “atresia biliar”.
In 1971, he was appointed as the librarian of the University of Peradeniya library. Henry Alfred Ian Goonetilleke (known as H. A. I. Goonetileke) was a director of the University of Peradeniya library, the first chairman of the Gratiaen Trust and an eminent scholar in Sri Lanka.	[pr] created history by holding three different designations in the same university as,Librarian of University of Ceylon (1971 to 1972)Librarian of Peradeniya Campus, University of Sri Lanka (1972 to 1978)Librarian University of Peradeniya through (1978 to 1979)	Hizo historia al lograr tres designaciones diferentes en la misma universidad, como bibliotecario de la Universidad de Ceilán (1971-1972), bibliotecario del campus de Peradeniya, en la Universidad de Sri Lanka (1972-1978) y bibliotecario de la Universidad de Peradeniya (1978-1979).
As a consultant, David Nyheim designed and implemented dialogue processes in Indonesia (Christian-Muslim conflicts), Mauritania (government-opposition dialogue on development), Fiji (pre-election stabilisation), and Kyrgyzstan (micro-conflicts and tensions). Lessons learnt from his work on preventing petroleum-related violent conflicts were published in "Balancing Petroleum Policy: Toward Value, Sustainability, and Security" by the World Bank in 2019.	[pr] worked on several stabilisation initiatives, largely for governments and companies operating in areas affected by criminalised violence.	Trabajó en varias iniciativas de estabilización, en mayor medida para gobiernos y empresas de áreas afectadas por la violencia criminalizada.
She was first a member of the Algerian Communist Party but joined the National Liberation Army after being falsely accused of planning the Milk Bar Café bombing with Zohra Drif. Peschard was born on 15 September 1927 in Bologhine, French Algeria.	While a member of the ALN, [pr] adopted the codename "الطاووس," meaning peacock in Arabic.	Mientras formaba parte del ALN, adoptó el nombre en clave "الطاووس", que en árabe significa "pavo real".
Bopape was a talent scout and producer at the independent Gallo Africa's subsidiary dedicated to black music, Mavuthela Music Company. The Queens line-up during this period usually comprised Hilda Tloubatla, Juliet Mazamisa, Ethel Mngomezulu, Nobesuthu Mbadu and Mildred Mangxola.	[pr] formed the Mahotella Queens as the company's resident girl group and the ensemble, often led by the deep-voiced male vocals of Simon 'Mahlathini' Nkabinde, went on to have many hit records during the 1960s.	Creó Mahotella Queens como la banda femenina permanente de la empresa y el grupo, a menudo liderado por la profunda voz masculina de Simon «Mahlathini» Nkabinde, llegó a tener muchos discos exitosos durante la década de 1960.
The Belize Barrier Reef was granted UNESCO World Heritage status in 1996, through efforts of Gibson and others. Janet Gibson was born in Belize and educated in the United States as a biologist and zoologist.	[pr] is the current director of the Belize Wildlife Conservation Society.	Actualmente, se desempeña como directora de la Sociedad de Conservación de la Vida Silvestre de Belice.
Indian National Council for Women held its biennial conference in Cuttack, under her leadership. Sailabala became the first woman Honorary Magistrate of India, adjudicating over 600 cases a year.	[pr] extended [pr] reach to Bihar, where [pr] became the first woman inspector of prison cells in Patna, first woman to join the management committee of the Prince of Wales Medical College and became the Syndicate member of Patna University.	Su influencia se extendió hasta Bihar, donde llegó a ser la primera inspectora de celdas de Patna y la primera mujer en el Comité de Gestión de la Prince of Wales Medical College, además de integrar el sindicato de la Universidad de Patna.
She is regarded as the first female African presidential candidate. Following this she was employed as a social worker, helping street children, and as the head of army social services in the Central African Armed Forces, leaving the forces with the rank of battalion chief.	Ruth-Rolland began [pr] career as the supervisor for the education system of the French territory of Ubangi-Shari in 1956 and the supervised the Central African Republic national education system following independence from France in 1960, continuing to teach until 1964.	Ruth-Rolland inició su carrera como supervisora del sistema educativo del territorio francés de Ubangi-Shari en 1956 y del sistema educativo nacional de la República Centroafricana tras la independización de Francia en 1960, y siguió dedicándose a la docencia hasta 1964.
Following her career in the public setting, Yang became the multicultural services librarian at the University of California at Irvine, where she eventually became the university's first outreach services librarian. She served as president of the Chinese American Librarians Association from 1992 to 1993.	Angela Yang is a Chinese-American librarian whose efforts in adult literacy, multicultural services, and outreach services is notable within the library community.	Angela Yang es una bibliotecaria de sinoestadounidense cuyos esfuerzos en las áreas de alfabetización de adultos, servicios multiculturales y servicios de extensión comunitaria son reconocidos dentro de la comunidad de la bibliotecología.
Dr. DeLisle Worrell is a former governor of the Central Bank of Barbados. He has also served as executive director of the Caribbean Centre for Money and Finance (CCMF).	[pr] served as governor from November 2009 until March 2017.	Desempeñó el cargo desde noviembre de 2009 hasta marzo de 2017.
He continued his education in the same department by gaining a scholarship for prospective lecturers in archeology in 2011. There are not many sources that inform the background of the organization, but Alfa Noranda's track record found starting in 2009 is the founder of the Cultural Heritage Advocacy Society which is a collection of communities that fight for conservation Cagar Budaya in Indonesia.	[pr] completed [pr] education in 2013 with a thesis entitled "EVALUASI MANAJEMEN KEBENCANAAN PADA CAGAR BUDAYA STUDI KASUS KOTA PADANG, SUMATERA BARAT".	En 2013, completó su formación con una tesis titulada "EVALUASI MANAJEMEN KEBENCANAAN PADA CAGAR BUDAYA STUDI KASUS KOTA PADANG, SUMATERA BARAT".
His tenure as Director involved the establishment of early warning systems in the North Caucasus, West Africa, and Great Lakes region. After leaving FEWER in 2003, Nyheim established International Conflict and Security (INCAS) Consulting Ltd. (United Kingdom) together with Anton Ivanov, Samuel Gbaydee Doe, and Tom Porteous.	Concerned with the absence of responses to warnings, [pr] worked with FEWER members to combine warning systems with multi-stakeholder dialogue and planning processes in Chechnya, DR Congo, Guinea-Conakry, and Georgia.	Preocupado por la ausencia de respuesta ante alertas, trabajó con miembros del FEWER para combinar sistemas de alerta y procesos de diálogo y planificación multisectoriales en Chechenia, la República Democrática del Congo, Guinea-Conakri y Georgia.
After completing his PhD he moved back to Morocco. He was also a researcher and, in 1994, he received another PhD for his findings about the antimicrobial activity of essential oils.	In 1988 [pr] became a professor at the University of Fez.	En 1988, comenzó a desempeñarse como profesor en la Universidad de Fez.
President Manny Mori called Falcam, "gracious and caring mother of our nation." Falcam served as the First Lady of the Federated States of Micronesia from 1999 to 2003 during the tenure of her husband, former President Leo Falcam.	Iris Green Falcam (August 25, 1938 – February 19, 2010) was an American-born Micronesian librarian, researcher and public servant.	Iris Green Falcam (25 de agosto de 1938–19 de febrero de 2010) fue una bibliotecaria, investigadora y funcionaria pública micronesia nacida en Estados Unidos.
In her final international outing in the younger age categories, she finished 13th in the 10,000 metres at the 2001 European Athletics U23 Championships.She stopped competing in athletics at the top level after 2001 and attended Vilnius Pedagogical University. She was the fastest woman not entered as an elite athlete at the 2009 London Marathon, setting a personal best of 2:38:26 hours for the distance.	[pr] returned to competition in 2005, in road races for Beaumont Running Club in Leicester, and in 2008 moved up to the marathon distance and [pr] won both the Vilnius Marathon and Leicester City Marathon that year.	Volvió a las competencias en 2005 en correr por carreteras para el Beaumont Running Club en Leiscester, y en 2008 avanzó a la distancia de maratón y en ese año ganó tanto el Maratón de Vilnius como el Maratón de la Ciudad de Leicester.
Jorma Elo's partner since 1994 is Nancy Euverink who has also been assistant to Elo. At the age of 13 he was enrolled in Finnish National Ballet School for classical training.	As a schoolboy, Elo wanted to be an ice hockey player, despite this [pr] began studying modern and jazz dance at 12.	Cuando era un niño colegial, Elo quería ser jugador de hockey sobre hielo, pero a pesar de ello empezó a estudiar danza moderna y jazz a los 12 años.
She assumed that position on 15 January 2009. She was born Vivienne Yeda, in Kenya, during the second half of the 20th century.	[pr] also currently serves as a member of the Board of Directors of the Central Bank of Kenya, since 14 March 2011.	Actualmente, y desde el 14 de marzo de 2011, también forma parte de la Junta Directiva del Banco Central de Kenia.
There he completed a postgraduate diploma in electrophysiology and cardiovascular pharmacology. Remmal was a member of the team of "Diplôme d’Etudes Approfondies en pharmacologie" at the Necker Hospital in Paris.	[pr] also received a PhD in molecular pharmacology in 1987.	También completó un doctorado en Farmacología Molecular en 1987.
Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp! Their third album Joyride, which was released in 1991, became just as successful as its predecessor.  Their other hits include "Dressed for Success", "Dangerous", and "Fading Like a Flower".	Roxette went on to achieve nineteen UK Top 40 hits and several US Hot 100 hits, including four US number-ones with "The Look", "Listen to Your Heart", "It Must Have Been Love", featured on the soundtrack of Pretty Woman, and "Joyride".	Roxette llegó a tener diecinueve canciones en el Top 40 del Reino Unido y varias en el Hot 100 de EE. UU., entre ellas, cuatro números uno: «The Look», «Listen to Your Heart», «It Must Have Been Love», incluida en la banda sonora de Pretty Woman, y «Joyride».
She left after working there for 18 years. Chia became the first woman to serve as Chief Executive Officer of a bank in Malaysia when she became CEO of RHB Bank in the 1990s.	[pr] was awarded the CEO Eagle Pin, becoming the first woman in Malaysia to be awarded it.	Recibió el premio CEO Eagle Pin y pasó a ser la primera mujer de Malasia en tener esta distinción.
He was awarded the Order of the Red Banner, the Order of the Red Star, and a number of other medals. His main research was dedicated to anesthesia, blood transfusion, the treatment of endarteritis of extremities and other surgical illnesses.	Ivan Khristoforovich Gevorkian, born Hovannes Khachaturi Gevorkian Armenian: Հովհաննես Խաչատուրի Գևորգյան; Russian: Иван Христофорович Геворкян; (March 28, 1907 – October 19, 1989) was a prominent Soviet Armenian surgeon and scientist who published 10 monographs and more than 230 scientific papers.	Ivan Khristoforovich Gevorkian, nacido Hovannes Khachaturi Gevorkian En armenio: Հովհաննես Խաչատուրի Գևորգյան; en ruso: Иван Христофорович Геворкян; (28 de marzo de 1907 – 19 de octubre de 1989) fue un destacado cirujano y científico armenio soviético que publicó 10 monografías y más de 230 artículos científicos.
Falcam worked as the librarian and researcher for the College of Micronesia-FSM Pacific Islands collection from 1979 until her death in 2010. Falcam's numerous civic involvements in the FSM included a seat on the board of Pohnpei Catholic School, treasurer of the Pohnpei Lions Club and membership in a Catholic women’s organization called Lih en Mercedes.	[pr] also worked as the librarian for the Congress of the Federated States of Micronesia, as well as for the public information office at the Trust Territory of the Pacific Islands headquarters on Saipan earlier in [pr] career.	Previamente, también trabajó como bibliotecaria del Congreso de Micronesia y de la oficina de información pública del Territorio en Fideicomiso de las Islas del Pacífico en Saipán.
Younis was born in Ar'ara and has a bachelor's degree in nursing. Although the party won only 13 seats, Younis entered the Knesset on 9 February 2018 as a replacement for Youssef Atauna as part of a rotation agreement within the alliance.	A member of Ta'al, Younis was placed 18th on the Joint List (an alliance of the four main Arab parties) prior to the 2015 Knesset elections.	Miembro del Ta'al, fue colocado en el puesto 18 de la Lista Conjunta (una alianza de los cuatro principales partidos árabes) antes de las elecciones de la Knéset de 2015.
Dr. Shoichet is a biomedical engineer known for her work in tissue engineering, and is the only person to be a fellow of the three National Academies in Canada. Shoichet studied at the Massachusetts Institute of Technology and received her bachelor's degree in chemistry in 1987.	In 2019, [pr] was elected to the UK's Royal Society.	En 2019, fue electa como miembro de la Real Sociedad del Reino Unido.
She is the head of the Department of Biology and Biotechnology at Hashemite University in Zarqa, Jordan. In 2016, she was named one of BBC's 100 Women.	[pr] has won multiple awards for [pr] work on breast cancer, and is known as an advocate for allowing young women in the Arab world to choose a career in science.	Recibió varios reconocimientos por su trabajo en el área del cáncer de mama y es conocida por apoyar a las jóvenes del mundo árabe que desean seguir una carrera en el ámbito científico.
She has been using traditional and social media to speak out against discriminatory practices in Mauritania, including against women and members of the Haratin and Afro-Mauritanian communities, and against reprisals against human rights defenders. A fatwa was issued against her and her friend and fellow human right activist Aminetou Mint El-Moctar in 2014 after they called for the death sentence of the blogger and political prisoner Mohamed Mkhaïtir to be quashed.	[pr] has suffered a smear campaign in social media by religious groups and received numerous death threats.	Ha sufrido una campaña de difamación en las redes sociales por parte de grupos religiosos y ha recibido amenazas de muerte en numerosas ocasiones.
A fatwa was issued against her and her friend and fellow human right activist Aminetou Mint El-Moctar in 2014 after they called for the death sentence of the blogger and political prisoner Mohamed Mkhaïtir to be quashed. Mekfoula Mint Brahim is a feminist and Women Human Rights Defender in Mauritania, fighting discrimination and speaking against religious extremism.	[pr] has also been accused of apostasy which is punishable by death.	También se le acusó de apostasía, lo cual se castiga con la muerte.
His parents were Yafesi Ijookit and Matilda Acom. After passing his Primary Leaving Exanimations, he joined Holy Angels Junior Secondary School in Soroti District for his Junior One and Two.	[pr] attended Mukura Primary School from P1 to P4, then transferred to Koloin Primary School from P5 to P6.	Asistió a la Escuela Primaria de Mukura de P1 a P4, y luego fue transferido a la Escuela Primaria de Koloin de P5 a P6.
He holds a Master of Arts (MA) and  a Ph.D (1975), both in economics, from McGill University, where he trained as an econometrician. Before and after his graduate schooling at McGill University, Worrell worked as an economist at the Central Bank of Barbados from 1973 to 1998, during which time he founded its Research Department.	[pr] has held fellowships at Yale University , Princeton University, the Smithsonian Institution, and the University of the West Indies.	Obtuvo becas en las universidades de Yale, Princeton y las Indias Occidentales, y también en el Instituto Smithsoniano.
Returning to Kathmandu, she joined Kanya High School and finished 10th grade. Two years later, she received her Diploma in Midwifery.	In 1953, [pr] went to Allahabad, India and enrolled at Kamla Nehru Memorial Hospital to pursue [pr] long cherished goal to become a nurse.	En 1953, se fue a Allahabad, India, y se matriculó en el Hospital Kamla Nehru Memorial para perseguir su objetivo, deseado por largo tiempo, de convertirse en enfermera.
He is a senior scientist at the Sainsbury Laboratory and professor of biology at the University of East Anglia (UEA). Kamoun grew up in Tunisia.	Kamoun is known for contributions to our understanding of plant diseases and plant immunity.	Kamoun es conocido por sus aportes a la comprensión de las enfermedades y la inmunidad de las plantas.
The septet—composed of Jin, Suga, J-Hope, RM, Jimin, V, and Jungkook—co-writes and co-produces much of their own output. Their lyrics, often focused on personal and social commentary, touch on the themes of mental health, troubles of school-age youth, loss, the journey towards loving oneself, and individualism.	Originally a hip hop group, their musical style has evolved to include a wide range of genres.	En un principio eran una banda de hiphop, pero su estilo musical ha evolucionado y ahora abarca una amplia variedad de géneros.
She was the first Zambian and first female chief executive at Barclays Bank of Zambia. Margaret Mhango Mwanakatwe is a Zambian politician who was the Minister of Finance from 14 February 2018 to 14 July 2019.	[pr] was also the first woman CEO in all of Barclays Bank's African subsidiaries at the time.	También fue la primera directora ejecutiva de todas las filiales africanas del Barclays Bank de la época.
She had decided to become an obstetrics surgeon after almost dying during childbirth at the age of 16 in 1962. After receiving surgery, Gashe helped out by making beds and assisting Australian surgeon Catherine Hamlin and New Zealand surgeon Reginald Hamlin.	Suffering from obstetric fistula, Gashe was brought to the Princess Tsehai Hospital that offered free surgery for the condition.	Fue llevada al Hospital Princess Tsehai sufriendo de una fístula obstétrica porque ofrecía cirugías gratuitas para esa condición.
His research examined politics and society in late-19th century Otago. Between 2001 and 2006 he was the principal advisor in the Ministry of Social Development.	In 1977 [pr] became a social worker with the Department of Social Welfare in Dunedin, until moving into an advisory role in the department in Wellington 10 years later.	En 1977, se desempeñó como trabajador social en el Departamento de Bienestar Social de Dunedin y luego ocupó un puesto de asesoría del organismo en Wellington, 10 años después.
