src	trg	src_ctx	gender
I couldn't have done it without you. - Hey.	Sans toi, je n'aurais pas réussi.	Listen, I'm sorry about freaking out there toward the end. - You know, I hate to admit it, but you were right. - - I got caught up. - I thought I was in love. - - Whatever. Here. Fuck Sara, and fuck Wendy!	 
Of course, if you must know, it was an Alpine guide.	Cela dit, si vous tenez à le savoir... c'était un guide alpin.	-Somebody else? Who? - -Aren't you getting a little personal? - Notice I'm not asking you any questions. - You're absolutely right. - Let's forget all about it.	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
- How long will it take?	- Ça va être long ?	We'll never win. - - Five to zero. - How do you like that? - - You should've stayed in bed. - Where the hell are they going?	 
- We should check it out.	- On devrait aller voir.	Your human admirer may not sense it, but I can smell the exquisite stench... of what you really are! - Youknow,I'mstarting not to like this so much. - - You know, I was just thinking the same thing. - - Well, maybe... - Shit!	 
But he spit it out.	Mais, il a recraché le poison.	And you killed the son of a bitch! - That's absurd. - I couldn't possibly hang a grown man from up there. - I can see it. - You tried to poison him!	 
To me, it means everything.	Pour moi, ça veut tout dire.	So do you live around here? - No, i am visiting for one week. - Then i'm going home to my husband. - Well, "married" is an interesting word. - It means different things to different people.	 
spit it out.	- Avale-le ou crache-le.	what are you interventioning me for? - because you can't be banging gail the snail. - i'm not banging gail the snail. she followed me home. - oh, she was doing that the whole time. - yeah, she does that, and now she knows where this bar is.	 
Yeah, it was great.	C'était bien.	We'll have to make that happen. - Uh, it was lovely to meet you. - Joe, always a pleasure. - - Everything okay? - - Yeah.	 
I've been thinking about it for a while...	Tu sais, j'y pense depuis un bout de temps déjà...	I think it's fantastic that you came. - Truly. - Joy is really fond of you. - Yeah? - Well... that's nice to hear.	 
You can throw it away if you want.	Tu peux le jeter si tu veux.	Look under the water. - Spit the water out, strong. - Strong. - Here it is, Daddy. - Daddy, this one is broken.	 
- That thing above my head, turn it full ahead.	- Le truc au-dessus de ma tête, enclenche-le.	What do you expect me to do all the work? I never knew. I thought if a gun was wet. - Only in the cowboy movies, Poncho. - Now come on, we got to get this puppy up and running. - Okay. Okay. Turn the telegraph full ahead. - - What's a telegraph?	 
I'll build a bridge to connect it to the palace.	Je ferai bâtir un pont relié au palais.	It bears two kinds of fruit - the sweet and the bad. - They've certainly had a t-terrifying crop this season. - (CALIGULA) This isn't their house. - This is our house. - We shall spend most of our time here.	 
Shut it down!	Arrêtez !	Initiate laser. - Initiate laser. - Hydrogen separation in progress. - Initiate hydrogen burn. - Two million kelvin and rising.	 
Shall we go and visit it now?	Voulez-vous que nous allions la visiter maintenant ?	I received a letter from the notary. - You want to buy a house? - Yes, I nearly forgot. - It's a big, beautiful house with lots of rooms. - I'm sure that you'll both like it.	 
- Shut it down!	- Arrête ça! - Maintenant!	What? - Uh... - Um... - Uh... - Shut it down!	 
Just try turning it off and on again.	Essayez juste de l'éteindre et de le rallumer à nouveau.	'..do my homework... - 'I've done my homework... - 'I know my rights...' - This internet's not working. - I can't connect.	 
I know where it is. But I can't tell you where it is. I kinda have to find it again, if you can understand?	Je sais où il est mais je ne sais pas le dire... ll faut que je le retrouve.	Tell him, Billy Joe. - I can't. - You don't believe I'll kill you? - It was pitch-dark. And I was scared near outta my pants. - I went this way and that way, and... well...	 
You got an idea, spit it out.	T'as une idée, donne-la !	First things first, okay? - Stayin' here's goofy. We gotta book up. - So what do you suggest we do? Go to a hotel? - We got a guy who's shot in the belly, who can't walk, bleeds like a stuck pig. - And when he's awake, he screams in pain.	 
I came to the surface to get it back.	Je suis venu à la surface pour le récupérer.	Damn it! - Don't hit them. - We'll let them lead us to it. - That jewel... - This clavis?	 
I couldn't have done it without you.	Je n'aurais pas pu réussir sans toi	But with that artificial program you did it. - When I think of that time. - I still feel faint. - Do you know how nervous I get... watching you go from crisis to crisis? - What would I do without you?	 
And now you can't even get it up?	Et maintenant, tu bandes même plus ?	You do not own me, Jason Stackhouse. - And if I want you out of my house, you better get your sorry ass out of here. - - I go nowhere. - - Oh, yes, you are. - You are obnoxious and full of yourself and dumber than a box of hair.	 
There's no reason to make it a press event.	Il n'y a aucune raison d'en faire un évènement médiatique.	He was a criminal. - Armed or not, it will be difficult to paint him as sympathetic. - Regardless, his mother is grieving. - She deserves my condolences. - So do it privately.	 
I didn't mean to take it out on you.	Je n'avais pas l'intention de m'en prendre à toi.	Are you thinking what I'm thinking? - - Gabriel, you got a sec? - - Not if you're gonna snap my head off. - I'm really sorry about that. - I was having a bad day, and...	 
And I know I don't really know you that well, so...this might be out of line, but I'm gonna say it anyway.	Je ne te connais presque pas, peut-être c'est hors de propos, mais je vais le dire.	I'll see you upstairs. Yes. - I'll be up in a second. - - You know, it's funny. - - Hmm? It doesn't matter how rich, how famous. They're all just little kids who need their mommies and their daddies. - Here's hoping.	 
Where's it going?	Où va-t-il ?	Find Malvado's hideout. - Tell me where. - What the hell you doin'? - Hey, Skippy. Wake up. - Where'd you send that truck?	 
I know it isn't very feminine, but I felt so strongly about it, I thought it was worth a try.	Je sais que ce n'est pas très féminin, mais ça me tient tellement à coeur qu'il fallait essayer.	I'm not sure how professional it is of me to point that out. - Well, it's jolly nice of you. - So, er... business! - Now, I've read your piece. - The plight of ex-soldiers is not an obvious topic for a woman's column.	 
I can publish it on multiple platforms.	Je peux publier sur différentes plateformes	I don't know. - Mixing business and friendship didn't work so well with the film rights to "Inside." - All right, first of all, that was Serena. - This is me. - Second, "The Spectator" has an entire print arm now.	 
Look, we'll take it from here.	On s'en occupe à présent.	I'm familiar with them. - I served in the Marines. - Well, then, you should understand protocol. I understand protocol. - I just don't like following it. - Did Russell go AWOL?	 
I should have it for you in about a month.	Je devrais l'avoir dans un mois.	Oh,that's right. - You told me you'd been wearing a mask all your life, but with me,you felt-- - Like i could finally take it off and be myself. - Anyway,i faxed it to the shop in venice. - They said they could make a new one.	 
You should buy it and ask John to sign it.	Et le faire signer par John.	- It's amazing. It's really real. - - It's flawless, really. - I know. - I came all the way from Hawaii just to get his autograph. - You should buy it.	 
Oh, come on. Can I try it out for a little while longer?	Allez, je peux encore en profiter un petit peu?	Never ask that question, Speedy. - DEADMAN: You ain't kidding about this Nth-metal stuff. - Thanks for the assist, Deadman. - No sweat, Bats. - Ahem. Aren't you forgetting something?	 
But we can talk about it later.	Mais nous pouvons en parler plutard.	I came as fast as I could - Well, what happened? - What took so long? - I don't know. - They don't know.	 
You should use it more often.	Tu devrais t'en servir plus souvent.	Come on, you were just 17. - Even at the hospital, I couldn't hold her properly. - I couldn't nurse her. - She always intimidated me. - Tell her that.	 
What's it about?	- De quoi s'agit-il ?	Well the point is that it only came to Holmes' notice because the depths which the parsley had sunk into the butter on a hot day. - So you see I cannot afford to smile at your three busts, Lestrade. - However, I would be obliged if you would keep me informed as to developments. - Listen to this Holmes Come I nstantly, 1-3-1 Pitt S treet, Kensington. - Lestrade.	 
I don't wanna hear it Kung Fury.	Je ne veux rien entendre Kung Fury,	Knuckles. - As a memento, I put on a strip of cloth from the dead Kung Fu master. - I decided I would use my new super Kung Fu powers to fight crime. - So, I became the best cop in the world. - I became, Kung Fury.	 
We all have to wear it now.	Nous devons tous la porter, désormais.	Davai! - Where were you last night? - Were you with that girl again? - What are you doing? - The newest Idea by Herrn Doktor Joseph Goebbels.	 
Put it back.	Reposez-ça.	I sabotaged the motor. - Move, and I shoot. - I thought you'd be more impressed. - Well, I'm not. I told you I don't need your help. - An ideal butler provides service without being asked.	 
Well, I'm sure we can heat it up.	Je pense qu'à nous deux, on le réchauffera.	Tell me how I can make it up to you. - - Uh, bring me back a hot pretzel. - - You got it. - One hot pretzel coming up. - Wait a minute, it's not gonna be hot by the time I get it to you.	 
I haven't decided if I'm gonna take it yet.	Je n'ai pas encore décidé si j'allais accepter.	It's one of the top PR firms in the country. - Wow. That is amazing. - Yeah, yeah. It, um, it's in Miami. - Okay, maybe a little less amazing. - But you know what?	 
You must reserve it before others do.	Il faut la réserver avant les autres.	Your skin drives me crazy. - Aren't you ashamed of being so beautiful? - Be serious. - Have you reserved that house in Fregene? - Yes.	 
You can wear it in a locket.	Vous pouvez le porter en pendentif.	If I-- if I kill him-- just like she said, - I kill the boy and the curse'II be lifted. - Cormac: It was just here. - Jesus Christ. - I've got something for you.	 
You'll pick it up at 9:30.	Tu iras la chercher à 9h30.	Yeah, well you got to pick it up. - Yeah, let me think. - 81 Powis Square, Notting Hill Gate. - He can come here. - 81 Powis Square, Notting Hill Gate. 81 Powis Square, Notting Hill Gate.	 
I don't know how to say it in English.	Je ne sais pas comment dire cela en anglais.	Objection overruled. - Herr Schmidt, describe the events of a certain morning when Karin Steinhof was aware of being watched. - She was again standing before the window when she turned around and she saw me looking at her... - -...and she had the frechheit-- -"Impertinence." - To....	 
- How long will it take? - A day.	Combien de temps faudra-t-il?	It's not as bad as I feared. - Our equipment is still usable. - We must go to work and get it in shape as quickly as possible. - Turn on the steam. - Steam will soften the tissues so that the high-frequency current will go through them.	 
You had to know that Grandma would take it personally.	Tu aurais du savoir que Grand-mère le prendrait personnellement.	Why did you do that? - Excuse me? - Just giving them that check like that. - Rory, I borrowed that money. - I know you did, but you had to have known that they'd get upset.	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
Okay, I'm gonna throw it all away.	Ok je vais tout jeter.	Isn't violence against the Bible? - God, please... - Give me a sign that I should continue being The Crimson Bolt. Or if I should just throw everything away before it's too late. - I'll even turn myself in, if that's what you want me to do. But please, don't want me to do that. - Okay, did you just say throw it all away, or was that just me thinking throw it all away?	 
You can get it pretty much anywhere.	Vous pouvez l'attraper à peu près partout.	What is it? - I'm pretty sure you have something called rocky Mountain spotted fever. - It's a potentially lethal infection spread by ticks. - It can have severe effects on your respiratory and central nervous system, and your hearts. - But... I've never been to the rockies.	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
You have to think of it more as an organ transplant.	Pensez-y comme à une transplantation d'organe.	Here. - With these. - These are made from reprocessed human tissue from cadavers. - You mean from dead bodies? - Oh, I know it sounds gross, but it's completely natural.	 
Where's it going?	Où ça va ?	The rest of the world is broken, but these panels are intact. - Well, we can fix that. - What the hell is that? - It's a drone. - Don't lose sight of it.	 
You could put it up in you and your sister's room.	On pourrait la mettre dans votre chambre.	Yeah. - You miss home. - Yeah. - I miss Mom, too. - You know, I was thinking. Maybe this would be a good thing to get for the house.	 
You can win it back at poker if you want.	Vous pouvez la regagner au poker.	Nothing. - - You remember this? - Hey! - My good-luck piece. - The medal I won in the war. - Lost it at poker, remember?	 
Just let me run it by Allison when she gets up.	Laisse-moi en parler avec Allison quand elle se lèvera.	What? - She's bringing the money that I asked to borrow. - Besides, it's not like we have anything else to do. - I was thinking about maybe taking the kids to Disneyland. - Mom? I'm sure that it's fine, but, You know we're, three hours earlier here.	 
If you want, I can help you burn it all down.	Si vous voulez, je peux vous aider à brûler tous les vôtres.	- Well, you did send her away. - She was so angry... - Yes, today of all days. When you had your concert. - Typical woman! - Under the stairs is a lot of spirit.	 
- We can talk about it later.	Nous en parlerons plus tard.	You mustn't. - - Why? - What's the matter? - - Please go. - Please.	 
Whatever this is, whatever this is, all right, we can make it go away.	Peu importe ce que c'est... ça peut se résoudre.	What did he say? - I don't know what you mean. - What did he say? ! - I don't know what you mean, Ian! - I don't know what you mean, all right, help me here, I'm lost.	 
Don't take it personally.	Ne le prenez pas personnellement.	Can't wait to meet her. - Well, don't get too excited. - If she loses, you're out of a job in two weeks. - Okay, with the balloon guy-- we're selling America here, not cell phones, people! - Come on!	 
Just keep it behind your desk.	Gardez le derrière votre bureau.	I told you not to make a big deal of my birthday. - Is "Happy Birthday" a big deal? - From the partners, Mrs. D. You're officially a member of cheese of the month. - - See, that's a big deal. - - No, that's a big wheel.	 
Mommy, let's watch it again!	Maman, regardons-la encore !	- That's what I told him. - -He'll never get into a good school now. - -No, he won't make it. - - Never make it. - - Never.	 
Let's not mess it up now.	Ne gâchons pas tout maintenant.	Social order? - How far do they go on the first date? - We'll play it by ear. - When Ambassador Kosh arrives, we'll have representatives from all four of the major alien governments on board. - This is what we've been working toward from day one.	 
We need to find something to stick under it to keep it open!	Il faudrait la coincer pour la maintenir ouverte!	The water's rising too fast! - Let's get that door open so we don't all drown! - Ben, it slopes down! - It's a drainage tunnel. - It fills with water when you open the door!	 
We're doing it again.	On la refait.	Get out. - Beat it! - NO! - NO, - Sweetie, don't make this difficult on yourself.	 
What's it about?	C'est à quel propos?	It's fine, that's the way it happened anyway. - hello? - The boss around? - He's sleeping. - I'm replacing him.	 
I'd hate to have to smash it in.	Je détesterais avoir à l'écraser.	Charlie, come over here. - - She's beautiful. - - Charlie, come here. - Yeah. - Such a pretty face.	 
We're gonna have to cook it off by hand.	On va devoir déclencher manuellement.	Evac ETA two minutes. - This is Red 2, give me actual. - Red 2, this is actual. What's taking you so long? - They're gonna be on you any second. - Our nuke's remote detonator is still fried.	 
It was great.	C'était super.	But Gibbs had your phone? Yeah. - I left it in the diner last night. - He said he'd leave it here and I could pick it up. - Sorry I made you sit through dinner. - Oh, no, don't be.	 
- What's it about?	- De quoi s'agit-il ?	- What do you want? - - A loan. - - I can't talk about this in public. - - Then let's to go your house. - - Here is better.	 
People need to be able to take it anywhere.	On doit pouvoir l'emporter partout.	I'm gone? - What? - No. - N-no, no, who told you that? - Portability.	 
Could you read it aloud for us?	Pouvez-vous le lire pour nous à voix haute ?	Is that it? - No amount of good behavior can justify my release. - Mr. Gomez, at the time of your conviction, you were a 16-year-old gang member and a high-school dropout. - Yes, sir. - We've read your prepared statement, and we're impressed with the writing.	 
I should take it to the vet.	Il faut l'emmener chez le véto.	Gordon, is it breathing? - Barely. - Yeah, watch out for mites. - Well, is there something we can do? - - Give it some water, or... - I think we're beyond that.	 
I've been thinking about it for a long time now.	Voilà longtemps que j'y réfléchis.	- Start psychologically? - - No. - Now, listen carefully, Miss Randolph. - Has it occurred to you why criminal activity should change a man's entire personality? - I'm afraid I've never thought about anything like that.	 
I want you to get it for me.	Apporte-la-moi.	I got a job for you. Hit the morgue. - D.O.A. was brought in today named Ross Herrfeldt. - He's my cousin. Oh, I'm sorry to hear that. - Thanks. - He's got a diamond pinkie ring on his left hand.	 
Let me put it this way. If you found a little red jar with an eight-sided bottom, would you get promoted?	Si vous trouviez un petit pot rouge avec un fond octogonal, seriez-vous promu ?	Sorry to disturb you, ma'am, but I have a court order here to search these premises. - All right, you fellows check back in there. You stand here. - Excuse me, ma'am. - This is outrageous. Who's responsible for this? - What are you looking for?	 
You have two hours to figure it out.	Tu as deux heures pour trouver.	We are going to surprise them with an overwhelming and unassailable response. - Thank you. - No, thank you so much for coming in. - Okay, I'll bite. - What's our overwhelming and unassailable response?	 
Let me give you some advice. You can take it or leave it.	Je vais te donner un bon conseil.	- I don't know. - - They probably can't be bothered. - Let me ask you straight out... - Do they sign a list to shoot their wads up your cunt? - I don't think we know each other well enough for me to answer.	 
Fondue pot. Well, technically it's from me and Chris, but, problem is we already used it. We're having trouble fitting it back in the box.	Un service à fondue, techniquement c'est de ma part et celle de Chris mais on s'en est déjà servi et nous avons eu du mal à le remettre dans la boite.	It'll be fun. - Housewarming. - What'd you get Andy? - My company's gift enough. - You?	 
I've still got some change and if I can reach India, that's fine. Ijust want to cross it on foot.	Il me restait encore un peu d'argent et si je pouvais atteindre l'lnde, ce serait parfait, je veux juste la traverser à pied.	These islands, The Moluccas, are the extreme point of the East. - Turkey being the other extreme, the front door. - I arrived peacefully without having to wait forthe boat. - Forget the complications. - I did it the easy way.	 
Elaine, it has to be stopped.	Elaine, il faut empêcher cela.	- No. I've been excited before. - Ted, what are you doing here? - - Are you on that shuttle? - - Both of us. - When we return, we're getting married.	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
You can touch it if you want.	Tu peux toucher si tu veux.	You deserved it. - Just -uh- get those to my lawyer, whenever. - Thanks. - Don't doubt yourself. - As you were.	 
You can't see it, but you know it when you feel it.	Elle ne se voit pas, vous pouvez juste la sentir.	Besides, everyone's idea of beauty varies. - It's in the eye of the beholder. - Wrong. - Pretty is in the eye of the beholder. - Beauty is in the soul.	 
Yes, but eventually they're gonna figure it out.	Non, mais éventuellement, ils le découvriront.	See what happens when I'm not obsessed with things that go bump in the night? - I know, but I think we should still be a little bit worried, considering. - Especially now that we know whoever's behind it all was after me. - Except, I don't think that they know who you are, yet. - It doesn't sound like Bob and Carol got a chance to tell them.	 
It was great.	C'était génial.	What? - Fiancé. - You'll have to learn the word for "husband" soon. - Not soon enough. - How was the concert?	 
I know it's needless to say, but I'm gonna say it anyway.	Je sais que c'est pas la peine, mais je vais le dire quand même.	Little eight ball, corner pocket? - Yeah, I taught you that. - You didn't teach me that. - I definitely taught you that. - You say my memory's going.	 
Well, let me put it this way:	Laisse-moi t'expliquer.	You have to speak louder, it's very noisy here. - Sorry. What is all that noise? - That's why I'm calling. - Your father and I have decided to surprise you. - What?	 
Sure, it was great.	Oui, c'était très bon.	When you know the place, it's really great. - The name was Charles, wasn't it? - Charlie. - No foam on it. - Didn't you eat on the plane?	 
- Set it up from the outside.	Leurrez-les de l'extérieur.	I like that! - We have information they don't have. - That's how you take somebody out. - Wait a minute. Won't they see the sun's still out? - - You'll have to take care of that. - Me?	 
I think it might be worth putting her under surveillance.	Je pense que ça ne serait pas plus mal de la garder à l'oeil.	We're working up their new identities now. - She hasn't asked to visit her parents or some other relative, has she? - No. - Why? - Nothing.	 
And shake it up a little bit with the riff-raff.	Et la remuer un peu avec l'aide de la racaille.	Danielle Steel. - - Ethan Hawke. - - Judy Blume. - Exactly. - I can wallow in the harsh under belly of prison life.	 
I wish I could take it back.	J'aimerais revenir en arrière.	I don't know what happened, haddie. - Uh, it was an accident. - I, I messed up. - I, I was drinking and he was being nice, and I just-- something is wrong with me. - I'm sorry.	 
I mean, I can't leave it hanging around, can I?	Je ne peux le laisser en suspens.	Only scumbags run away. - You can't trust someone who does that, can you? - I mean, would you trust them, Tom? Would you? - No, no, I wouldn't. - So you see why this is a problem I have to deal with, don't you?	 
Well, I like to think of it more as... Sanctuary.	Je le vois plus comme... un refuge.	You did. - Then why am I here, Ms. Johnson? - You have spent a lot of time protecting people who have done very bad things. - Now they have a chance to step up and protect you. - So, basically, you're holding me hostage.	 
-What's it about?	- Sur quoi ?	-You'II feel better after you eat. - -If I want to eat, I'II make it. I can cook. - only in the microwave. - Madison's really cooking. - -Whatever. I got a paper to write.	 
Then what's it about?	Alors de quoi s'agit-il ?	I'm persona non grata at the moment. - What about the assistant director? - Callen and Sam are on that sub, sir. - I'm well aware of that, Blye. - I will do anything to get my people back, but this isn't about them.	 
I'll put it back.	Je la remet.	"I live with someone I don't trust". - - What do you mean, "trust"? - Mean? - We live together. - Look what you're doing to my life.	 
The least we can do is check it out.	On doit au moins vérifier.	Just be glad you're on the right side of things. - Look, I know this is the right address, but you're sure this place is it? - Shouldn't there be guards everywhere? Not if they want to keep it under the radar. - There's no cameras either. - Michael went through a lot of trouble to get this intel.	 
I never could get it right, though.	Je n'y arrivais pas.	Hi, nice to meet you. - Nice to meet you. - It's a lovely day. - Hi, nice to meet you. - It's a lovely day.	 
We can work it out...	On peut s'arranger, non ?	- It runs in the family, pal. - - Daniel, you've been shafted up to the hilt. - You owe me 200. - Very classy. - English public school style? - C'mon, Caro.	 
When you do, can you wrap it for me?	Quand tu le feras, tu pourras me l'envelopper ?	You know what? - You used to be a much better liar. - Nice tie. - Thanks. - I can't wait to take it off.	 
Let me put it this way. Are you familiar with mass hysteria?	Dit d'une autre manière, savez-vous ce qu'est l'hystérie collective ?	Hey, Billy. - Tell me something. Do you really buy into all this spirit in the house stuff, you know? - No, I do not. Buy it. - I know such stories are around, but while I'm here. Let me ask you. - Have either of you gentlemen ... ever witnessed first hand a verifiable paranormal event.	 
Well, you can't take it personally.	Eh bien, tu ne peux pas le prendre personnellement.	All right. Talk to me, girlfriend. - Tell me what's on your mind. - Do you find it odd that Alexis has gone. To everyone but me on this case? - She hasn't gone to perlmutter yet. - Yeah, well, no one does if they can help it.	 
Life is not worth living unless you find someone to share it with.	La vie ne vaut pas d'être vécu si vous ne trouvez pas quelqu'un avec qui la partager.	Love is what brings two people together. - ♪ Oh, I'm afraid ♪ - ♪ Ah, ah, ah ♪ - ♪ somebody found me here ♪ - ♪ ah, ah, ah ♪	 
Maybe I can use it to get back.	Je peux peut-être l'emprunter.	We only know that an accident occurred. - We don't know how or why. - Well, that's not good enough. - There's got to be something we can do. - Where is this time-stream of yours?	 
Okay, let's try it again.	Ok, on essaie encore.	Try it again, okay? - You can't mess up, okay? - Ready? - This way. - One, two, three...	 
It didn't move like it was supposed to.	Il ne s'est pas propagé comme il était censé le faire.	Kessler-- Him and his wife. - How? - After we got back, I was crashing on their couch for a while. - And this one night, I woke up and their house was on fire. - JeMarcus and Lana were trapped down a hall. I tried to get to them, but the fire moved.	 
You're looking at a week. If not, we can bust it up.	Sinon, on le fait sauter.	It's the beaver dam. It's a good one, too. - It's blocking the drainage about 30 yards in. - How long's that gonna set us back? - - There we go. - Back. - Well, you want me to keep the beaver dam?	 
You can have it as soon as he leaves though.	Je te la rends dès qu'il sera parti.	This way. - Hello, Gus. - Got my room ready for me? - Well, if it isn't 'Sailor Boy' Hansen. - I'm sorry, but they put a guest in your room for the weekend.	 
So what's it about?	Et ça... parle de quoi ?	How about you come up? - Oh,my god. - Want some? - No,thanks. - I'm workingon a triptych.	 
And I haven't heard you say it once.	Et je ne t'ai pas entendu le dire une fois.	I am trying to get to know you, but you're doing everything you can to avoid me! - That's because you're stiff, you're humorless, you're a control freak. - You operate from this place of fear. - You know... - My mom used to tell me every day that she loved me.	 
- It was great.	- C'était génial.	- Sure, I do. - Well, you see, they made a choice. - Anthony and Gail made a choice to stay on Baronne Street and keep their hands on what they were serving. - They cooked. - Every day they cooked until they could cook no more.	 
But... well, put it this way...	Mais... bon, vu comme ça...	Course it bothers me! - I'm not stupid! - There's not a lot we can do about that, is there? - Look, I know it's not an ideal situation. - Anything but.	 
Maybe it'll help us find it.	Peut-être que cela nous aidera à la trouver.	What if this thing is still after her? - We don't know anything about it, Nathan. - I think we need to reconsider our deal with The Darkside Seekers. - You made a deal with those little weasels? - No, not yet, but they have footage of this thing.	 
It breaks my heart to see her in that place, but she is strong.	Ça me brise le coeur de la voir là, mais elle est forte.	== sync, corrected by elderman == @elder_man - Come on. Move along. - This way. Downstairs. - I hope everything will be resolved while we're away. - How is she?	 
Leslie Chow. He's an international criminal. Look it up.	Leslie Chow, criminel international.	Is this record accurate? - I did that. - Masturbating on a city bus. Yep, that was me. - Look, we've been here for 5 hours. We already told your guys everything. - You told them a story about a little Chinese man.	 
I could make it disappear.	Je pourrais le faire disparaître.	But I was backed into a corner... - I was just pissed off at being manipulated, sir. - If you need my help, just ask. - As Buckells goes through Jackie's finances... there's going to be a link to you, isn't there? - No, there's not.	 
He thought I'd tried to steal it or something.	Il pensait qu'essayais de le voler ou quelque chose comme ça.	Where did you get this? - Graham. - Police technicians were able to enhance the audio so we could discern some of what Titus was saying. - As far as we can make out, someone had attempted to access his tablet without his permission and he was upset about it. - He was crazy that day.	 
Okay, you don't have to read it out loud.	Ok. Ne lis pas à haute voix.	- Ohh! Hey. - - Sir, I need you to hold still. - - Ow! - "Rule number 3... do not talk to your ex for 60 days." - Ooh, well, good thing you guys don't work together.	 
And what's it about?	Et ça parle de quoi?	- Don't know. - - Have you been writing? - - Something. Yes. - How odd, at night. - I was sitting here. It got late.	 
- How long will it take? - About an hour and a half.	- Combien de temps ça prendra?	I was told he's a family member. - - Is that wrong? - - He's from my father's family! - He's my enemy! Enemy! - Enemy!	 
