src	trg	src_ctx	gender
But you can find it in the dictionary.	Puedes encontrarlo en el diccionario.	I'd never really signed up for anything before except an after-school Weight Watchers program, which I was asked to leave anyway because they said I wasn't motivated and because I gained 11 pounds in three weeks. - Now, here's some advice, Russell dear. - That nice Mrs. Maretto is married to a boy whose father is a pillar of the Italian-American community, and if he knew how you had insulted his only beloved daughter-in-law, he would make one phone call and a man would show up in the middle of the night and turn you into a eunuch. - You know what a eunuch is, Russell? - Of course you don't.	masculine
He thinks he can make it all disappear!	Cree que puede hacerlo desaparecer.	You heard him. - He's too powerful! - He thinks he can make it all disappear. - He thinks he can sue us. - He thinks he can make it all disappear, everything we've worked for!	masculine
It makes me ill just looking at it.	Me pongo enferma con sólo mirarlo.	"Right ahead"? - Sorry, trance, - You're going to have to do - A little better than that. - that place.	masculine
We're doing it again.	Vamos a hacerlo una vez más.	Exercise is terminated. - Good work. - We foiled a Sarin attack. - Excellent job. - Everybody get set up.	masculine
- Put it with the others.	- Ponlo ahí con los otros.	I got it. - - Hello, Bryan. - - Lenore. - I just wanted to give Kim her present. - We're letting the kids have their space.	masculine
Maybe he can switch it back.	Quizá pueda dejarlo como antes.	I don't think "scrunchy" is a word. - Why not, if "crunchy" is a word? - Then I'm using that same argument for "fligament." - - Ross, he's got the remote again. - - Good.	masculine
I can't really explain it now.	No puedo explicarlo ahora.	I'm Andy Vine. - Greg's brother. Is he in? - No, Greg's in Hawaii, Marilyn's in Dublin. - Really? - Why?	masculine
I didn't handle it very well.	Yo no pude manejarlo muy bien.	And then his mother got sick. - When was that? - Just over a year ago-- cancer. - I'm sorry. - I mean, one minute she was here, and within a few months...	masculine
I don't know why I wouldn't just admit it yesterday.	No sé por qué no quise admitirlo ayer.	- Hey, Terry. - - Where's your boyfriend? - He had to work. - I never forget a... a face. - God, it feels so good just to say it.	masculine
(Chloe) Oliver, we have to track it down.	Oliver tenemos que buscarlo.	Maybe not. - Maybe not. - [ siren wailing ] - Oh, yeah, I got a peek inside lockup. - Pemberton's glow stick is M.I.A.	masculine
I, m trying to take that sound and stretch it out.	Quiero tomar el sonido y alargarlo.	He manages some great bands. - - I, ve heard a lot about you, Charlie. - - Oh, man, man. - I wish someone would have let me know that you were coming down, man. - This is what I, m trying to do, man.	masculine
I can't take it anymore, Fujiko!	¡Ya no puedo soportarlo, Fujiko!	Oh, no! - Help me... - I'm losing control... - - Ah. I'm gonna tickle you! - - I'm ticklish... ticklish!	masculine
I think we're gonna work it out.	Creo que vamos a resolverlo.	Political activist in the early '90s. - She had a habit of getting herself arrested at protest marches. - Well, that would explain the hostility. - Any progress with you and Michael? - Yeah.	masculine
- Keep it short, very good.	- Mantenerlo corto, muy bien.	- No. - - Cheers. - - Cheers. Which one! - Arch, hat. - I'd better do this.	masculine
We are not painting it green.	No vamos a pintarlo verde.	Wind energy reduces toxic and greenhouse gas, if used to replace fossil fuel-derived electricity. - How does he know all this stuff? - Chase,that's it. - Not the "really cool thing to climb on" thing but the other part. - We'll turn the Blue Antelope green.	masculine
I just wanted to leave it all behind me.	Quería dejarlo atrás en mi vida.	You are? - I'm proud of you. - You're a brave girl. - You're brave. - Why didn't you tell me?	masculine
You can 't help it or stop it!	No podrá evitarlo ni detenerlo!	- Please... - Go on . - Do as I tell you . - - We will be married. - -Not if I can help it.	masculine
It moves over your body, healing you.	Circula por el cuerpo curándolo.	Now we're going to open the green door, the heart chakra... - I wasn't really dying. - I wasn't host to cancer or parasites. - I was the warm little centre that the life of this world crowded around. - Imagine your pain as a white ball of healing light.	masculine
We may have to burn it before we get through.	- Habrá que quemarlo para pasar.	We've done our best. - I'm sure you have... Now will you get me a report on the water and sewerage conditions in this Kom Pol section. - But many other people in these other sections are stricken. - Very likely. Now this stream is the main source of infection. - Kom Pol may be the nest.	masculine
So I don't wanna hear it again!	Entonces no quiero volver a oírlo.	Took an academic leave anyway. - Small hands, that was your problem. - Oh yeah, Daddy always said that. - That's not the point. - The other day you said it.	masculine
It won't be easy, but I can try.	No será fácil, pero puedo intentarlo.	- Remember Crown Heights? - - Yeah, you're right. - Little guy. Yeah, my nose was nice and small. - I was all out of proportion. - Can we have one conversation that doesn't involve your peen?	masculine
You-you think you can pull it out of the river?	¿Crees que podrías sacarlo del río?	Oh, yeah, sure! Yeah! - Who doesn't like babes? - Now, I want that for you, Bob. - There she is. - I'm sorry. Are you talking about the car in the river? Yeah.	masculine
I can't explain it right now.	no puedo explicarlo ahora.	- That's what must have happened. - - What? - Yeah, but where.. - Where was I? I.. - Natalie, I.. I can't..	masculine
We always work it out.	Siempre conseguimos arreglarlo.	I feel horrible. - I wouldn't do that to a friend,and we're supposed to be more than friends. - But we are more than that. - We're more than friends,Ethan. - And we've fought before.	masculine
Go up there and give it one more shot.	Sube ahí e inténtalo una vez más.	Don't tell me you played bad cop. -You weren't up there to stop me. - -I knew you could handle this. - Ninety percent of the time, yes. - But 1 0 percent, there's a connection. - -Please don't say I complete you.	masculine
Can you pack it in your bag?	¿Puedes ponerlo en tu bolsa?	- We're leaving - - How did he take it? - - Cute. - Here - - What's this?	masculine
It was an accident.	Fue un accidente, olvídalo.	I found after following the yellow left. - But how did he die? - I do not think we'll never know. - Coroner to examine it, he can find. - Shut up, Vlad!	masculine
- Yes, if you want to looking at it that way.	- Sí, si quieres verlo de esa manera.	Can not you see I'm busy? - - I do not know what I would say. - Excuse us. - If you do not want to expose me I must take my paintings back. - Are you threatening me?	masculine
You were busted trying to hock it at a pawn shop.	Te atraparon tratando de empeñarlo.	At the YMCA off industrial, near the underpass. - Nice. How's work? - I don't have a job. - I used to. - Yeah. Yeah, two years ago, your aunt reported a pearl necklace stolen.	masculine
..came to sell it at my shop.	.. vino a venderlo a mi tienda.	I've found my ring. - So, I've come here to return the money. - You found the ring? - Where? - The woman who stole the ring..	masculine
That I'd do anything to take it back.	Haría lo que fuera por borrarlo.	Okay. - Saul. - My medication is working. - So you understand what you did. Yes. - Tell the other girls I'm sorry.	masculine
No time to explain, mostly 'cause it makes me look bad.	No puedo explicarlo sin que me vea mal.	I've got to get up there and put my lips on his forehead. - You can't stay away, can you? - You're crazy. - If stealing a van and trying to break into my own home so I can snuggle my boy is crazy, then I don't want to be sane. - You stole a van?	masculine
Can you send it back?	¿Puedes enviarlo de vuelta?	Oh, I got it. I'm good. - Just... just keep reading the code. - Well, keep your head still. - Am I good? - Kensi versus Renko-- who remembers their Morse code?	masculine
You can throw it or kick it.	Puedes lanzarlo y golpearlo.	Then his mother danced. - Mum smells nicer than dad. - When you hit mum, she screams. - When you pull the cat's tail, he screams. - The plane doesn't scream.	masculine
I think you should take it a step at a time.	Creo que debes tomarlo de a poco.	No, really. - This is a big deal. - Start of a new life. - You gonna quit teaching? - You think I should?	masculine
I'd prefer it that way, if you don't mind.	Prefiero hacerlo, si no le importa.	No. - Don't interfere, Clara. - But, mister, I.... - I'm sorry. I don't know your name. - Rocklin, miss.	masculine
Said they were going to sell it at auction.	Dijo que iban a venderlo en la subasta.	Sir, a builder's turned up, claiming he unscrewed the Gooders' cupboard from the wall. - What? - Julia Gooders? Yeah. - Let me get this absolutely straight. - You're saying that Julia Gooders asked you to unscrew the large drinks cupboard from the wall in the living room, yeah?	masculine
Yes, because it has to.	Sí, porque tiene que hacerlo.	With dealbreakers? - Yeah. The set looks great, I'm ready. - We just need an audience. - I just want to make sure we're not forgetting anything, because this has to work. - Has to work?	masculine
- Get something and wipe it off, Luke.	-Traiga algo para borrarlo, Luke.	- Can you read it? - - No. - What? - No. - Crazy is the word for it, all right.	masculine
Do it and damn the consequences.	Hágalo y enfrente las consecuencias.	Why are you no longer with them? - I'm not sure they need me anymore. - Eve, you can't let others define you. - You know who you are. - You know what you can do.	masculine
Why announce it now?	¿Por qué anunciarlo ahora?	I'm just excited about all this. - A new adventure! - You're in the employee section. - I want to talk to you about something. - You've done nothing but talk.	masculine
You need to get it valued.	Tendrías que hacerlo tasar.	He's a supportive husband, the perfect father. - A bit too perfect, too supportive. - I need to be unsettled. - How much is this place worth? - I don't know.	masculine
Are you telling me it can't be done?	- ¿Crees que no podemos hacerlo?	Then we'll break in. - [Together] Break in? - Would you all excuse Miss Holt and me for a moment? - Step this way. - Laura... before we go raising the hopes out there any higher... you might recall that we're talking about... the Federal Reserve bank of your esteemed government... not some local liquor store with a simple trip alarm... a trusty dead bolt and a sleepy schnauzer.	masculine
Take it to that house over there, okay?	Llévalo a esa casa, ¿está bien?	I wish he could be here. - And my mother, who taught me... patience and persistence. - And who would never let me be ashamed. - I wish she could be here today. - Thank you.	masculine
Do I have to write it again?	¿Tengo que escribirlo sola?	A few days ago, she was wondering why her face was always pixelated. - She's a bit strange, isn't she? - But now, they're not doing it anymore, becuase Satomi-san can't watch - I'll ask around a bit more before I go back. - What about the article?	masculine
- Would you have it any other way?	- ¿Podrías imaginarlo de otra forma?	- The two American girls from yesterday? - - I don't know. - The next rib drives into your lungs. - The two American girls, where are they? - - Just like the old days.	masculine
Put it on audio, Lieutenant Uhura.	Póngalo en el audio, teniente Uhura.	In comparison, we're all still children. - In this one's case, Kirk Captain, this one is still an eggling. - Take us out of orbit, Mr Sulu. - Let's go home. - Captain, I'm picking up a message.	masculine
- I'll guard it like it was my very own.	- Voy a guardarlo como si fuera mio.	Don't worry, ma'am. - - Where's the sheriff? - - He must have got away. - - Here's the money. - - Hang onto this, Gus.	masculine
so may be we you should give it a try?	- Tal vez deberíamos de intentarlo.	Ok... - How was the medidation group? - Did you have an epiphany or something? - Julie had told me about this special couple's retreat at this... boudhist monestary in Vermount. - I love Vermount.	masculine
I needed to say it anyway.	Aún así tenía que decirlo.	Cara, not now. - We came for Richard. - May I speak with you? - I just want you to know I regret what I did in Valeria. - I can't accept your apology.	masculine
Shouldn't we try to figure it out?	¿No deberíamos de intentarlo?	Rick, I threw them up. - I screwed up. - I don't know how we do this. - How? - Tell me how.	masculine
Give it up, partner.	En realidad olvídalo, compañero.	We've searched this gaseous planetoid from top to bottom... with no sign of the missing personnel. - - Hey! - Come on, buddy. - Nobody ever reads those reports. - Warp, my friend... procedure is what separates us from the wicked forces of chaos. - Oh, man.	masculine
If they want it, just fill it in.	Si es lo que quieren, hazlo.	- There're many things to my liking. - I'm not in charge of animals, but paperwork. - I'm a personnel manager for livestock. - I've a file on each calf: - its family background, what sort of stud its father was, what sort of cow its mother was.	masculine
That girl dare not say it out.	Esa chica no se atreve a decirlo.	Swindler, kapow! - Shin Ae, kapow! - Medical fee 1,500,000 won, kapow! - Wh... What's this 1,500,000 won you're talking about? - Grandma, your medical examination fee amounted to 1,500,000 won.	masculine
Do it right next time.	Háganlo bien la próxima vez.	In Ha said that he wants to do the same thing. - In Ha will only paint the person he loves right? - I'm going to make In Ha paint me. - Switch your legs. - Switch your arms.	masculine
I don't even know if I can fit it in my schedule	No sé si podré cuadrarlo en mi agenda	You may hang up or press tab for more options - Oh, this is Conrad. - Leave a message - Give me a ring when you get in - Oh, uh... regarding your birthday present Um... things are a little crazy right now	masculine
- Save it for the next boat.	Guárdalo para el próximo barco.	Manager's only interested in how I look. - Why weren't you on that boat? - I didn't know there was a law I had to get out of town. - There's no law I had to give you $200, either. - Here's your money!	masculine
Wear it around your neck.	Llévalo siempre al cuello.	A babe I met in a disco! She's hot! - She gave me her number. Hope I've got it. - She may have a chick for you! - We only have an hour to make the flight to the Amazon. - Wanu gave me this for you.	masculine
I mean, we can run it again.	Podríamos hacerlo otra vez.	See, last night, you said you thought Daniel had been drinking when he showed up. - I did. - Yeah. - But the M.E.'s report shows no alcohol in his system. - All right, so, that's weird.	masculine
Can't take it like a man!	No puedes aguantarlo como hombre.	Turtle! In the blue corner, from the Sunshine State, two-time X-Box Southeast Conference Champion, Herby Green! - You're a bum! - We go to first-round action. - Come on, Turtle! - One and two, kid!	masculine
There's no point in saying it now.	No tiene sentido decirlo ahora.	I bet her real skirt's only half that length. - Sexually provocative teenager. - They dress her up so he looks like the evil-doer. - Don't want to risk the jury feeling too sorry for him. - Of course I know we should have got a taxi.	masculine
I shut it down after I decrypted it.	Lo apagué después de decodificarlo.	What does that mean? - That Harkness played you. - I swear I turned that off. - What? - Marko's phone.	masculine
If I could make it myself, you'd be out on the curb!	Si pudiera hacerlo, te habría echado.	And just what magazine are you in, Frank? - "Bald and Gassy?" - Hey, my problem is, I got a lifetime subscription to you! - And I can cancel it at any time! - Make me somethin' to eat!	masculine
Yeah, well, live it up while you can.	Pues disfrútalo mientras puedas.	Hey, Frank. - Can I get a puréed meal for Trauma 1? - - You're asking me because...? - - Somebody's getting bossy in her old age. - - I'm only 28.	masculine
Let's just take some time to figure it out.	Tomemos unos minutos para entenderlo.	Courtship, all that. - I'm... - Yeah. - Yeah. - I think there's... I think there's something here... between us.	masculine
Still taking it in, really.	aún estoy asimilándolo, en realidad.	That's amazing. - You're happy, right? - Oh, yeah, of course. - Oh, but, wow! - And you, are you excited?	masculine
Maybe you can keep it in the basement.	Podrías dejarlo en el sótano.	Why won't she let you keep it in your room? - No wait. I can't talk to her right now. - Ok. Alright. - Put her on. - Hiya?	masculine
Look it up.	Búsquelo en el diccionario.	- Sorry. - Forget it. - My wedding present. - - We'll make it. - " Pre" what?	masculine
And are you gonna share it with me?	¿Y vas a compartirlo conmigo?	She's right, you don't. - I know you cut me loose on the Wall. - Cut her loose, too. - Do you see her sulking about it? - That's because she understands the way things are.	masculine
We could mix it up and add banana.	Podríamos mezclarlo y ponerle plátano.	What am I gonna do? - Whatever you decide, I'm here, okay? - You wanna get a grilled cheese and chili fries? - We always get that. - Milkshake?	masculine
Do it again.	De nuevo, puedes hacerlo de nuevo.	She expecting you, sheriff? - No. Well, I'm sorry, sir, - - but without the prior clearance - - Get the clearance. - I'll wait.	masculine
Father's right, we'll have to blow it up.	Es cierto, tenemos que volarlo.	Thank you, Father. - First thing tomorrow, we'll go out to the ship... take off everything we might possibly need... - - and then blow her up. - - With gunpowder? What for? - I'm hoping that with hundreds of islands, thousands of reefs... they won't remember exactly where we are.	masculine
I just don't think I have it in me.	Simplemente no creo que pueda hacerlo.	I don't know what you mean. - Spencer, stop it. - Dr. Griggs's office called, I know. - Mom, I'm sorry. - I can't go through this with you again.	masculine
59 minutes to figure it out.	59 minutos para adivinarlo.	- A reminder. - - Of what? - - Can't remember. - Guess. - I guess we have till midnight.	masculine
You can't hog it all to yourself.	no puedes guardarlo para ti.	A forgotten weapon. - "The Weapon Of Lorraine." - And Gruber has a tattoo on his arm...the Cross of Lorraine. - We have to tell the French team. - Everyone's involved in this now.	masculine
But we can work it out.	Pero podemos solucionarlo.	No. - I'm sorry. - Look, Ellie, you chose to leave NSA and take this job. - No one pushed you. - I know.	masculine
Well, this is a fine time to find it out!	¡Buen momento para averiguarlo!	Did you tell anybody Mr. Ball said steel was going down? - Uh, only Mr. Hulgar. Only Mr... - And all the principal cities. - Oh! You don't mean E.J. Hulgar and Company! - That must have been the screwball in the hall.	masculine
We just have to plan it carefully.	Wejust tiene que planearlo con cuidado.	- Shut up! - Lindenkrone is right. - - How? - Kidnap them. - I know which school they attend.	masculine
It needs the unlock code.	Necesito el código para desbloquearlo.	Is anybody gonna notice this missing? - In a few minutes, yes. - Make your call. - Did he hurt you? - No.	masculine
R$20 more to carry it upstairs.	20 reales más por subirlo.	What are you doing with the trash? - Doing your job... - How long is this fridge staying here? - R$40 to take the fridge to my house? - I'll go with you.	masculine
Well, he knew we'd figure it out.	Bueno, sabía que íbamos a averiguarlo.	And we got this. - We got it. - Police! - He's gone. - He's gone!	masculine
I put it there, so I wouldn't forget it.	Lo dejé allá para no olvidarlo.	Great bookshelf, huh? - Excuse me. - - Isn't the phone working? - - Disconnected. - Is anything wrong?	masculine
Can't you see they can't get it inside?	¿No ve que no pueden meterlo?	Can't you see we can't get it inside? - You can chop wood, but learn to appreciate the piano. - You got a strong heart, boss. - Getting thrown out of your own house! - The man's right.	masculine
allow me to place it on your bosom.	permítame ponerlo junto a su pecho.	Onstage! Everyone onstage in 5 minutes! - - They're calling for me - excuse me. - - Please, Mademoiselle. - We're looking forward to quite an exciting performance. - You've forgotten to apply a beauty spot;	masculine
Why don't you come and watch it at my house?	¿Por qué no vienes a verlo a mi casa?	Chantal. - You must be so happy. - I'm much more nervous than I thought. - I don't even want to go to the recording. - I'll sure be watching tonight.	masculine
Dare me to make it go faster.	Rétame a hacerlo latir más rápido.	That good? - No, not good. A little closer. - That's it. - What's that sound? - I think that's my heart, beating like really fast.	masculine
No, I'm not doing it on the couch.	No, no voy a hacerlo en el sillon.	Let me just finish this chapter. - How long you gonna be? - Just go down and do her on the couch! - Mom! - So, what do you think?	masculine
I think you can work it out for yourself.	Creo que puedes averiguarlo tú mismo.	Thank you, thank you. - Thank you. - Alright. - Scream like a girl if you need backup, yeah? - You have a name for me?	masculine
I seem to recall it differently.	A mí me parece recordarlo de otro modo.	What are you doing here? - You're not a very nice girl. - I mean, why the fuck would you do something like this to somebody who has an earnest interest in you? - An earnest interest in raping me. - Is that how you remember it?	masculine
I'll think about it and let you know.	Déjame pensarlo y te lo diré.	They're the ones needing chaperones. - Come on, sis. - Let's go. - They dance pretty good for brothers, but I'm glad I got to dance with you. - Maybe.	masculine
I couldn't take it out of the business.	No pude sacarlo de mi negocio.	Oh, my God. - Talking to his shoe. - Where'd you get it? - Ruth's foundation. - Jesus, Ezra.	masculine
You didn't tell me you were going to put it here.	No dijiste que fueras a ponerlo aquí.	Okay, Pa. - Much obliged for everything. - - Hey, Betty, what's this? - - My kitchen garden. - I told you about it.	masculine
Why should it be?	¿Por qué habría de tenerlo?	I don't know what you mean. - But surely you were aware of your husband's symptoms? - I think this has gone far enough. - But this is of great interest to the public. - Is it?	masculine
- You could put it on silent.	- Puedes ponerlo en silencio.	You know, I can really feel this in my quads. - I can tell I'm getting stronger. - You really wouldn't feel those kinds of results - - after one session. - - I don't know.	masculine
He's not smart enough to turn it off.	No es tan listo como para apagarlo.	I'm taking my daughter home now. - Sheriff Lamb's on his way in. - He wanted to talk to her. - I called you from Moe's phone. - You've got his number saved on your phone now.	masculine
You can't pick it out yourself.	No puedes escogerlo tu misma.	- Who picked up the phone? - Your future husband? - Yeah. - Anyway, how are the preparations going? - I'm the one who picks out your dress, right?	masculine
Look, I know you're trying to smoke it out.	Miren, sé que quieren atraparlo.	Try being under investigation for 18 months. - Yeah. - We just knock heads. - You went the extra mile, didn't you? - What's he want?	masculine
If she couldn't pull it off, well, then...	Si no podía lograrlo, entonces...	Oh, B.P.'s 210 over 130. - Venous infarction. - Ventriculostomy tube now. - She's coding. - You didn't force her to try your approach.	masculine
You kick it or you lick it.	En darle una patada o en lamerlo.	When this war's over, that will amount to something. - And, Dick, I hope you get my meaning. Because, by all that's holy you better have your ass well-covered. - - Well, Bronson. - - Sir? - - Sir?	masculine
I don't wanna throw it away.	No quiero echarlo a perder.	What's that? - Scotland as well? - I haven't any warm clothing. - Yes, but I'm doing well here. - Building up some fabulous contacts.	masculine
I'm still trying to figure it out.	Todavía estoy tratando de comprenderlo.	I don't expect that. - That's not what I want. - Then what do you want? - I... - I want to move on with my life. cashmere mafia Season 1 Episode 4	masculine
I'll have to check it out in the back.	Tendré que revisarlo en el fondo.	Someday, you will learn to fully control your powers. - I shall wait for you in the bookstore. - Mutant. - - Not again. - - Can it be fixed ?	masculine
She doesn't have anyone to have it with.	No tiene a nadie con quien tenerlo.	Betty. - She brought me soup. - Previously on Masters Of Sex... - Allow me to introduce my wife, Celeste. - All I want is a baby.	masculine
Why can't I discuss it with you?	¿Por qué no puedo discutirlo contigo?	So what is this? - An intervention? - No, I just wanted you to be able to discuss it with someone. - Why not you? - Why not what me?	masculine
I think we should plan it tonight.	Deberíamos planearlo esta noche.	This party's going off. - There's loads of hot chicks. - Bruce's beauties. - I've always dreamed of going there. - - Are you serious?	masculine
It was all my fault, but I didn't mean it.	Fue mi culpa, no quise hacerlo.	- He's hurt? - - Yeah. - He's over in a church at 19th and Dodge. - Hello? - ...and I pray for Pee Wee.	masculine
Do it fast, or I'll blow your brains out!	Hazlo rápido, o ¡te vuelo los sesos!	Oh, hey, Rex. - 'Sup, bro? - So what do we do now? - Now we ignore everyone's prayers. - Put the money in the bag.	masculine
She wanted to plant it for her mother.	Quiso plantarlo por su madre.	Has he ever done anything like this before? - I don't know. - Well, go about your business. - Agent hawkins will schedule another meeting. - And, uh, we'll see.	masculine
We can't leave it in the box.	No podemos dejarlo en la caja.	- Mom? - - What? - This box is meowing. - She wrapped up her damn cat. - - And have a cat running around?	masculine
Do it as soon as possible.	Hazlo tan pronto como sea posible.	A human life with a human name. - Sharon Valerii. - Water? - Someone just has to get in there and attach explosives to the tank. - All right.	masculine
I just thought I'd give it one try.	Solo pensé en intentarlo una vez.	Neither are you. - Just one of the many things we have in common. - We don't have anything in common. - Why don't you just go? - What did you expect?	masculine
There's no point hiding from it anymore.	Ya no tiene sentido esconderlo.	You know, I understand this. - I lost my father too. - But I also know that what happened between us was real. - - Norman-- - - Just let me finish.	masculine
Couldn't you say it just once?	¿No podrías decirlo una sola vez?	I was just a kid and no more sense than I got now, heading' down the grade with no brakes on. - I loved you then, Bill, just like I do now. - Looks like that moon's gettin' ready to show. - You never even gave me a picture, but you kept mine. - I know you care for me a little.	masculine
Didn't know it was something I had to.	No sabía que tuviera que hacerlo.	Um... Tom and Hannah are trying to have a baby. - Derek! What? - Yeah, I've heard you talking about it. - I knows what's going on. - Oh, they haven't told me.	masculine
I should just take it off and pawn it.	Debería quitármelo y empeñarlo.	I don't know. - - And Pete... - Well... I guess that's all on me, huh? I should probably take this thing off, you know? - I mean, after everything Heather did, - I should just take this thing off.	masculine
Who's paying you off to keep it a secret?	¿Quién le paga por ocultarlo?	You owe her. - You owe the both of us the truth. - Who killed my mother? - Who killed my mother? - Miss Parker, please, he can barely breathe.	masculine
Can't put it off another day!	No puede ponerlo de otro día !	! - Time has come today! - ! - Young hearts can go their way! - !	masculine
When you are ready, please go ahead and drink it down.	Cuando esté listo, por favor bébalo.	Fast and beautiful. - I'll handle it. - In here. - Start cleaning up. - I am pleased to announce to Mr. Kojima once you drink down the sake you'll officially become the new Godfather of this family.	masculine
We need to try it again but slower.	Debe repetirlo, pero más lento.	We know the program was flashed The only trace left,an extra space on one of the mother board's bio chips. - Memory stick.Sd card. - We just need to find it. - And when we do,we'll have the killer code and a clue to who wrote it. - I think we lost him.	masculine
We were supposed to say it again.	¿Hay que volver a decirlo?	Good day, how are you? - Good day, how are you? - Good day, how are you? - Good day, how are you? - (Speak up, jerk)	masculine
You can have it when I'm done!	Puedes tenerlo cuando acabe.	I need this more than you. - Oh. please! You've had plenty of dips in the love pool. I'm still in the cabana. - Okay. - - Gimme the phone. - Put it in my hand!	masculine
Leave it there, I'll clean up later.	Dejalo ahí, después yo lo junto.	Sure. - Do you have something to cut the thread? - Bichi! - Here. - Thank you.	masculine
Don't ever touch it again!	No vuelvas a tocarlo otra vez!	I heard Parsifal blasting loudly coming from this room. - Mi casa, su casa, right? - - Like I care. - - Okay. - I see.	masculine
I can't picture it in my mind.	No puedo verlo en mi mente.	I don't know. - I can't think. - Then, looking at the x-ray, which way do you think the liver turned? - Dr. Park. - I can't see.	masculine
It wasn't a lynching, you understand.	No era un linchamiento, entiéndelo.	Sure hope he knows what he's doing. - I seen a man choke-hung once. - Didn't break his neck proper. - Did they shoot him? - No.	masculine
I want to use it in the story.	Quiero utilizarlo en el reportaje.	-ls that clear? - -Yes. - Good. - Mrs. Baily, l`m really sorry to bother you but I really am trying to help your son. - I was wondering if he has a horse or a dog.	masculine
They must also detonate it immediately.	Deben detonarlo de inmediato.	Counsellor, you must communicate with the other ship within two minutes of REM sleep. - Two minutes! - - Is that all, Data? - - Unfortunately, yes. - We have only enough power to emit hydrogen for that long.	masculine
It should be spent doing something that you love.	Deberías gastarlo en algo que te guste.	Anyway, - I have time to sort it out, so... - Your mom is right. - Life is short. - We spend all our time working.	masculine
I thought she could handle it all, but, uh,	Pensé que podría manejarlo, pero,	What happened? - My partner. - - Christy? - - Yeah. - She has this other place across town.	masculine
Can they just put it off a little bit?	¿No pueden retrasarlo un poco?	This sounds ominous. - What do you think they want? - I don't know. - Honey, I'm in Florence. - I'm, like, 90 minutes away.	masculine
You want to think about it a little more.	Tal vez debas pensarlo un poco más.	Wake up. - Christ! - All right, I did my side of the bargain. - Here's your cup. - You gonna wake up now?	masculine
