src	trg	src_ctx	gender
That's great, so let's hear it then.	Das ist toll, nun, lass es mich dann hören.	Tell me what you're gonna say to the committee. - - I got it down, no worries. - - Good, let's hear it. - Nah, coach, I want it to sound spontaneous. - You know, from the heart.	 
If you could just point us in the right direction, we'll take it from here.	Zeig uns die richtige Richtung, dann schaffen wir's.	We're lost, aren't we? - I knew it. - Just follow the horse. That was your idea? - But you can't talk to a dead horse, now, can you? - You know what? Let me try.	 
You and I, all people kill others. Whether we want to accept it or not.	Du und ich und alle Menschen töten, ob wir das jetzt wahr haben wollen oder nicht.	I don't like to kill. - Lt will be very difficult for me. - But I kill, if it's necessary. And I won't be scarred for life. - I know that, because I've often killed people. And you, too. - Cecilia...	 
I haven't figured it out yet.	Das habe ich mir noch nicht zusammengereimt.	Well, in the meantime, here's a shiny new penny for you. - Are you sure about this? - Yes. - But what will you do? - Where will you live?	 
It glitters so I can hardly look at it.	Sie glitzert so, dass man kaum hinsehen kann.	- You may have them beaten. - - Immediately, Your Highness. - - Your Highness should come and look. - - Oh, is it really as splendid as all that? - Beautiful, exquisite, breathtaking.	 
- How long will it take?	- Wie lange wird das dauern?	I feel better already. - - Any luck getting the Doctor back? - - Not yet. - Someone put up one hell of a roadblock. - I have to break through at least six levels of encryption.	 
If I can find her, it'll all have value.	Wenn ich sie finde, wird alles von Bedeutung sein.	I know this is hard for you. - No, I'm happy for you, man. - Inside, I'm doing the camel walk. - But this is a good thing. - I've been waiting centuries for this.	 
I thought it was great.	Es ist großartig.	Did you hear the new record? - No. - Yeah. - What'd you think? - Ugh. You know, I wanted to hate it. I really did.	 
You shouldn't take it personally.	Nehmen Sie es nicht persönlich.	You really like him, don't you? - Then... why didn't you tell him that you felt the same way when he told you that he was attracted to you? - I don't know. - It all happened so fast. He just blurted it out. - He's very blunt.	 
It was great.	Das war wirklich schön.	He beat me so hard, I ended up in the hospital. - I told him, "Shove your money up your ass." - "I'll have a house and a car all my own." - Then I went to Sao Paulo, on my own. - I worked in a nightclub.	 
Uh, well, let me put it this way.	Nun, lass es mich so sagen.	She hot? - Yeah. - He rich? - Mm-hmm. Checks out. - So, how old is this guy?	 
So you're shoving it into a sack?	Also schieben Sie es in einen Sack?	Noah Drummer... condensed matter physicist. - Well, I'm sorry, Dr. Drummer. - There's no authorization for you to take your little ornament home. - Actually, it's crystallized hydrogen. - Can't leave it here unattended during the holidays... too unstable.	 
- I'm just saying she oughta show it off.	- Ich meine nur, sie soll ihn zeigen.	My little girl is throwing a party! - - Seriously? - - Mom, stop. - Now, Jo, you know you're not gonna have this little body forever. - - Mom!	 
- How long will it take?	- Wie lange wird es dauern?	- O'Brien here. - I could use some good news right now, Chief. - I think I may be able to shut down the force fields and access the sabotaged systems. - The problem is we may lose our force fields. - - Auto-destruct in seven minutes.	 
- I thought it was great.	Ich fand's toll.	Mr. Lugosi, why are you buying a coffin? - I'm planning on dying soon. - No! - - Yes! I'm embarking on another bus and truck tour of Dracula. Twelve cities in 10 days, if that's conceivable. - Do you know that I saw you perform Dracula in Poughkeepsie in 1938? - That was a terrible production. - Renfield was a drunk!	 
Well, she would need animals to test it on...	Nun, sie bräuchte Tiere, um es zu testen...	Dr. Scott can't have gone too far. - We'll find her again. - Well, you've found and lost her several times before. - Forgive me for not getting my hopes up. - If she were close to having a vaccine, where would she go?	 
Don't take it personally.	Nehmen Sie das nicht persönlich.	By tuesday, I could describe you in dutch. - Put them on. - She was right. - They do look good. - You're what they call a "pinched ovoid".	 
I thought it was worth a try.	Ich dachte, es ist den Versuch wert.	Then he had a heart attack. - - What brought you here? - - Well, I remembered the story. - He'd told us about a man in prison with him, who bought his life. - You know, you were there.	 
It was great.	Das war wunderbar.	Dzhamiliya and Sadyk lived together only four months. Then the war broke out. - Eat well, tomorrow morning we're setting out. - I didn't stay home, but went to the threshing-floor where I spent nights. - I took the horses to the lucerne field. - Now we were to deliver the grain to the station together.	 
Can I come pick it up right now?	Kann ich kurz vorbeikommen und sie holen?	Read it when it's done. - And I'll introduce you to this nice guy named Yuji. - It's me. - Yuji. - It appears that there is a page missing from the manuscript.	 
You should try it sometime.	Sie sollten das einmal versuchen.	Not while I'm on duty. - Well, you see, we Centauri are always on duty. - Duty to the Republic, to our houses, to one another. - And so we have made the practice of joy another duty. - One which must be pursued as vigorously as the others.	 
I never thought I'd see it again.	Ich hätte nie gedacht, daß ich sie wiedersehen würde.	I love you. - Look. - Right out there. - Beyond where you can see, there's-there's an island, and it's a very special island. - I left it a long time ago.	 
Let's try it again.	OK. Versuchen wir's noch mal.	I can't even believe I told you. - You have to promise me you won't tell anyone. - You can trust me. - That's very good. - Perfect. Okay.	 
I told you it had to be protected.	Ich habe Ihnen gesagt, dass er geschützt werden muss.	Thanks. - Candy cane? - No, thank you. - Look, there's a serious situation with your peace-on-earth crystal. - The containment lab is closing in on it.	 
I'm not sure you will be able to integrate it into your program.	Ich bin nicht sicher, ob Sie ihn in Ihr Programm integrieren können.	Can you erase the short-term memory of everyone on this ship, remove all knowledge of this event and allow us to proceed? - It would take time. - One of your days. - He is immune to our influence. - Data, I'm going to give you a most unusual order.	 
I know, I just like your voice. I wanted to hear it again.	Ich weiß, ich mag nur Ihre Stimme.	Ah, then, sure, yeah, I do want the spot. - Where am I looking? - Oh... the inside top of the right thigh. - That wasn't a pickup line. - I did think you wanted the spot.	 
I was just getting ready to ship it to the gallery.	Ich wollte es gerade für den Versand zur Galerie vorbereiten.	Hey, be careful with that. - You don't even have gloves on. - It's a bit more polished than the rest of this. - Better, too, to the untrained eye. - Yeah, it's the center of my whole exhibition.	 
We need to have it on the record.	Wir müssen das auf Band haben.	I'm sweet! - They won't even let me go to my wife's funeral. - All I wanted was to be left alone. - We need you to answer a few more questions. - You can't get your partner here to look inside my head?	 
You look it up.	Schau selber nach.	I know him. - Western Brotherhood. - If you want a hit done, you've got to go through Price. - - Have you got an address? - - I'm not 411.	 
I have seen nothing to settle it yet.	Aber noch sehe ich keinen Anlass dazu.	- Fifty pounds. - Fifty pounds? - A very worthy sum on a very worthy question. - Can a play show us the very truth and nature of love? - I bear witness to the wager... and will be the judge of it as occasion arises.	 
How long will it take? Twenty, thirty minutes.	Zwanzig, dreißig Minuten.	'Cop Confirms: They Didn't Do It' All right. - Yes! - What the hell is going on? - You sure you got authorization for this? - I got authorization.	 
I'm never gonna get it up tonight.	Ich werde ihn nie im Leben heut Nacht hochkriegen.	I really thought me and Lori might have had something. - I'm sorry, Charlie. - Oh, look, it's Friday. - You said morning. - You were wrong. I win.	 
Spit it out, spit it out.	- Was? Spick´s aus, spuck´s aus.	Anything more about the car? - I want every cop on the eastern seaboard looking for that damn thing. - Sir? - Yeah. - I'm sorry to bother you, but it's... What?	 
Let me put it this way... I don't know who killed those three women... but officially, I'm putting it down to the work of a criminally insane killer.	Lassen Sie es mich so ausdrücken, ich weiß nicht, wer diese 3 Frauen umbrachte, offiziell lege ich es als das Werk eines kriminellen irren Mörders ab.	Unless it is stopped, it will continue to infect others. - Please, let me help. - Professor, if any of my superiors had been listening... to what you've just said, they'd have you certified. - If they thought I was going to take any notice of it, they'd have me certified. - Are you going to take any notice, Inspector?	 
You won't be liking it too much.	Dir wird es weniger gefallen.	- We ditched it. - - Are you insane? - You'll send those kids out in the world without Snowboard Snowjob? - You won't be laughing when they start mangling Richard I I I. - As You Like lt.	 
Children can be a little cruel sometimes, but there's no need to take it personally.	Kinder können grausam sein, aber das musst du nicht persönlich nehmen.	They called you names. - Names? They said everybody from your planet was stupid. - They said your ears were funny. They said just looking at you made them laugh. - They said... I- l- l... - I get the idea.	 
What's it about?	Wovon handelt es?	Not Vic Mortus or Leonard Grey. - I wrote as objectively as possible. - You signed your own book? - That's great! - Could you pass me the rag, please?	 
SAY TO HIM, "LORD, I DON'T WANT IT ANYMORE." - I DON'T WANT IT ANYMORE.	Sagt zu ihm: "Herr, ich kann nicht mehr."	- OH, I'M SO HAPPY YOU CAME. - HE WAS JUST TALKING ABOUT... - SHH SHH. - - BEG THE LORD TO TOUCH YOU. - ASK HIM NOW WHILE THE HOLY SPIRIT - IS OVERFLOWING IN THIS ROOM.	 
- Yeah, so say it then.	Dann sag es.	So were you lying? - - When? - - When you said you loved me? - - I never said that. - - Yeah.	 
I don't know. I can't imagine doing it with someone else.	Ich weiß nicht, mit jemand anderem ginge das nicht.	Never. - It's your first time? - I don't really pose. Just with Emma. - You seem comfortable in the paintings. - Because they were at times when I -	 
You thought you could have it all.	Du wolltest alles haben!	Perfect! - Perfect! - Just burn the place! - Burn everything we own! - Have us living in a field, like cattle!	 
Just put it down.	Legen Sie sie einfach hin.	Yeah, we know. - But you did kill Sally. - Don't let Sean down again. - Come on, make him proud of you. - Just put the gun down.	 
- Shut it down!	Schalt ab.	This framework is not compatible. - The genetic coding tower is at 97%. - You have got to upload that schematic in the next three minutes. - - I'm gonna say this once. - - How about "none-ce"?	 
All right, this goes without saying, but I'm just going to say it anyway.	Alles klar, das gilt auch unausgesprochen, aber ich werde es dennoch aussprechen.	Given that when we met her, she was finishing law school and planning an internship at a large Indian car company, it's actually extremely plausible. - And your poll numbers just keep dropping. - I want to catch up with all of you, but first I really must visit the loo. - I'm going, too; - I'll show you where it is.	 
I was trying to take a part of me and make it go away.	Ich versuchte, einen Teil von mir loszuwerden.	Where's your laundry? - I've been here everyday this week, all my laundry is clean. - I know I screwed up with you over and over and over. - It just took me a long time to realize what I was doing. - Yes, it did.	 
And it was great. I've never been with that many little people, filming one big thing at once, and it was awesome.	Und es war toll, Ich war noch nie mit so vielen Liliputanern zusammen, um eine große Nummer zu filmen, und es war der Hammer.	Hello, there. - They probably didn't know what they were gonna be doing. - What's up? - Wee Man. - The next thing you know, they're all getting painted blue and wearing orange wigs.	 
I can't get it out of my head.	Ich kann es nicht vergessen.	What do you want to talk about? - What happened the last time I was here. - Yeah, that was obviously important. - Yeah. - Ethan, you're so good at articulating exactly what it is that I'm feeling in a way that I can't even do, and it's everything that I've been wanting to hear, but now I don't know what to do.	 
We're gonna need it as evidence.	Wir werden es als Beweis brauchen.	Diego? - Did you fall? - Diego? - I didn't touch it. - I didn't think you'd want me to.	 
Oh, no, boy, we're gonna load it on my horse.	Nein, Freundchen, wir laden es auf mein Pferd.	Damn! - Why didn't you shoot me a little while ago with that little gun? - Well, Sheriff, I need protection. - This here gold needs my protection, too. - Come on, Sheriff.	 
I was gonna call you. It was great.	Ich wollte dich anrufen.	Here. - We get 'em for free 'cause I drink it on the show. - - Gotta love them perks. - I love them perks. - Brad, did you get a chance to read my script? - I'm sorry.	 
Well, let's figure it out then.	Nun, dann lassen Sie es uns herausfinden.	I mean, I don't know what's wrong with me. - My stomach hurts so bad, - And I just get so nauseous, I just wish I would die. - Please. - You--you got to help me.	 
They couldn't believe it either.	Das konnte nur glauben, wer es gesehen hat.	No, please. Just here, against the tree. - You could cast a line... ... intoa poolof water under the trees, sidearm. - Maybe just a foot of clearance between the branches and the water. - Eleven years old. - The newspaper people came out to take your picture.	 
I haven't even admitted it to myself yet.	Ich habe es nicht mal mir selbst zugestanden.	I confronted him, told him it was her or me, and he chose her. - I threw some things in a bag and took off. - I just needed to get out of there, and I couldn't think of anywhere else to go. - Why didn't you tell me this? - Lynette, my life is about to fall apart.	 
Lois, you might wanna think about it for a minute.	Lois, überleg dir das noch mal.	Something I was testing at Lex Labs. - Well, well, well. - Guess what I just found out. - Johnny Corbin has a rap sheet. - Two previous arrests for grand theft auto, plea-bargained to probation and half a dozen misdemeanors. I'm calling Lucy.	 
But what's it about?	Worum geht es?	- You smell so good. - - Do you like it? - You're so light. - And how's your project going? - Better? Well, I don't think I've had any major breakthroughs.	 
If it ain't broke, don't fix it.	Wenn es nicht gebrochen ist, dann repariere es nicht.	And, unless I'm mistaken, uh, that relationship is also friendly, genuinely friendly. - I agree. - Okay. - Thank you. - Now, I completely understand the concept of not rockin' the boat.	 
Of course, I could give it a shot... sir.	Ich kann es natürlich probieren,... Sir.	It's on one of the lower levels. - It was probably damaged in the firefight. - Think you can hot- wire this thing? - I'd assume there's some safety mechanism to ensure against that. - Otherwise it'd be pretty stupid to lock us in here, wouldn't it?	 
And it says a lot about you for protecting her.	Und es sagt viel über dich aus, dass du sie schützt.	Well, quite frankly, the final chance to see this piece is not why I came by. - Well, that's why I chose the Fontana-- because I knew you'd come. - Never doubt those instincts of yours. - You know, they're always spot on. - I know that my daughter came to see you, and it says a lot about her.	 
He must have hated leaving it behind.	Er muss es gehasst haben sie zurück zu lassen.	- Hey, Dexter, better bundle up. - - I like the cold. - You know, hypothermia can easily sneak up on you. - Yeah, and so can hypochondria. - And a home setup like this would take years to put together.	 
Someone's gone to a lot of trouble to make it look like the same phone.	Jemand hat sich sehr bemüht, es gleich aussehen zu lassen.	Of course I read his blog. - We all do. - Do you really not know that the Earth goes round the sun? - It isn't the same phone. - This one's brand new.	 
It has to happen when he's in his car.	Es muss passieren, wenn er in seinem Auto ist.	Or they're dead. - Griffin. - What? - When? - No, can't be done at the airport.	 
Let's narrow it down, shall we?	Grenzen wir es doch ein. Sollen wir?	Should we give you a minute to gloat? - We still don't know what kind of infection-- could be bacterial, viral, fungal. - Until the cultures-- you are the worst gloater ever. - Her starting those cultures when she did means we're 24 hours closer to the answer. - "We're sorry your husband croaked, but at least we were 24 hours closer to the answer."	 
Let me put it this way.	Ich sag's mal so:	Hell, no. - Nobody's ever given you a break, right? - Did you listen to my story? - Yeah, and you excelled during your service training. Excelled. - You have skills you've never had the chance to use and I can give you that chance.	 
I didn't want to leave it in the middle of the floor.	Ich wollte es nicht mitten auf dem Boden liegen lassen.	But you don't eat nothing. - - Have you seen my shine Kit? - I put it on the top of the closet. - - the children coming this weekend? - No. - You need to put things back where you found them.	 
- Where's it going?	- Wo kommt das hin?	So don't think your smelly feet are getting any special attention. - There's gonna be a sign right there that says "no shoes" and a basket right there to house them. - You might want to get a sign and a basket for bras, 'cause these sorority girls, they sound kinda freaky. - They just better be neat. - - Grab that end.	 
Just enjoy it while it lasts.	Genießen Sie es, solange es dauert.	You know, I know that you have had your troubles, but you are overthinking this. - That's very easy for you to say, of course, isn't it? - You know, because you're the one that's with him now. - You're the one that gets to be special. - Well, you know, just take it from someone who's been there.	 
Troy has something we need, and since you guys were such good butt- buddies, you're gonna go get it for us.	Wir brauchen das, was Troy hatte. Und da ihr ja jetzt intim geworden seid, wirst du es uns jetzt besorgen.	- Both of you guys get out of here, OK? - Oh. I don't think she asked him. - Ask me what? - What are they talking about? - Here's the deal, psycho.	 
- They'll keep it safe.	- Sie werden ihn sicher aufbewahren.	Did you hide the pendant? - Yeah. - We have friends here. - Some of the guards are with the rebels. - If you tell me where it is, the rebels can go and get it... Before Monroe does.	 
Well, let's put it this way.	Also, sagen wir es mal so.	This way, please. - Thank you. - You changed your mind. - - l'm glad. - - Are you?	 
I can't turn it off.	- Ich kann es nicht ausschalten!	What is it? - What can you see? - It's him. - There's something wrong... - It seems to be affecting the President.	 
Enjoy it while it lasts.	Genieß es, solange es andauert.	Battalion, fix bayonets! - Fix bayonets! - Fix bayonets! - Fix bayonets! - That's the loudest quiet I ever heard, Boss.	 
I know a place where we can keep it safe.	Ich kenne einen Ort, wo wir es sicher ausbewahren könne.	Isn't that what you would do for the people you love? - Things that seem reckless to everyone else? - Not everyone gets that. - Not everyone's been in love. - Do you want to protect it with me from now on?	 
I can't make it tonight.	Ich kann heut' Abend nicht.	God, how I hate this. - Have you been sleeping behind the stove again? - No, I was with Dennis. - - When'll you come tonight? - I'm off early, so maybe I'll cook something for us.	 
No, she needs to hear it from his wife.	- Sie muss es von seiner Frau hören.	- You do? - - I make it my business to know. - That is a scary thought. - She's heard the rumors about Peter - and she needs to know it's a lie. - - So tell her.	 
I hope I never see it again.	Ich hoffe, ich seh es nie wieder.	He's going, everybody! - Come on! Hugs! - Poor wed team. - Their Captain weawy got waped. - I never seen a kid get screwed by a shark before.	 
You can look it up.	Kannst du nachprüfen!	I met him when I was fifteen. - - I worked in perfume. - - Where, exactly? - Well, four blocks that way, as it happens. - Used to be Bonwit Teller.	 
I would normally describe it as being terrified.	Normalerweise würde ich sie als "Angst" bezeichnen.	- Why? - Because you're the closest thing I have to a friend, Jean-Luc. - - Sir, he is reading as fully human. - - Is there an echo in here? - I am sensing an emotional presence.	 
What's it about?	Worum geht's?	I know nothing about your child! - Not now! - I'm sorry, there's a certain Dr. Maywald. - She says it's urgent. - What? !	 
I can't use it on myself.	Ich kann sie nicht für mich nutzen.	I know it's bad. - I guess I need to work on my poker face a little bit, huh? - You know, Leo, didn't you tell me that whitelighters had the ability to heal? - - Why can't you just...? - - No. My power is for others.	 
So, I put a bullet in my mouth, and the other guy spit it out.	Ich habe mir in den Mund geschossen! Der Andere hat die Kugel ausgespuckt.	The cell was just in case... - In case you needed to kill me. - But you can't. - I know, I tried. - I got low. I didn't see an end.	 
For my birthday, let's shake it up a little... have a key lime pie instead of a cake.	Für meinen Geburtstag versuchen wir mal etwas Anderes... einen Limettenkuchen anstatt einer Torte.	Frank, I can't tell you how sorry I am. - Well, we were both victims. - Right? - You know I have to ask. - I had no idea.	 
No, you're trying to suppress it, to lock it away.	- Nein, du versuchst es zu unterdrücken, es wegzusperren. Aber das Schloss wird nicht halten.	I can promise you that if you don't get off my ass, something bad is gonna happen. - What's that supposed to mean? - That if I don't control my need, it's gonna control me. - That's what I am trying to help you do! - I am trying to help you control it.	 
"Sorry" isn't going to mean anything to you right now, but I want to say it anyway.	"Entschuldigung" wird nichts bedeuten... in diesem Augenblick... aber ich will es trotzdem sagen.	He said there's no such thing as an ex-con. - Because I used to think there was a way we could wipe the slate clean, - make up for everything we've done. - The hat's over the wall, Linc. - For everyone.	 
How hard can it be to find him?	Wie schwer kann es schon sein ihn zu finden?	Sit down, red. - Where is he? Right now? - Yeah. - At big Sandy, then headed back to Lexington. - But don't worry, we can help you find him.	 
